Italian,English
Data Center Service Execution,Data Center Service Execution
Finanza Retail,Retail Finance
Gestione Integrata dei Valori,Integrated Management of Values
Sala Conta,Counting room
Regolamento Prodotti Finanziari ,Financial Products Regulation
CIB Commodity Solutions,CIB Commodity Solutions
Depositario Esterno,External custodian
Caveau,Vault
Filiale con magazzino interno,Branch with internal warehouse
Gestore ,Manager
Supranational Agencies Origination,Supranational Agencies Origination
Capo Progetto,Project leader
Team di Progetto,Project team
Rappresentante Operativo,Operational Representative
Rappresentante Operativo Fornitore,Supplier Operational Representative
Local Bank Operations Support,Local Bank Operations Support
Local CSIRT/Local ISO,Local CSIRT/Local ISO
Global Resilience & Complex Incident Management (GRe.CIM),Global Resilience & Complex Incident Management (GRe.CIM)
"Liquidity, Capital Measurement e Governo del Valore","Liquidity, Capital Measurement and Value Governance"
TIT - DC Tesoreria e Finanza di Gruppo,TIT - DC Group Treasury and Finance
Asset & Liability Management Strategico,Strategic Asset & Liability Management
Servizio Coordinamento e Controllo di Gestione Tesoreria,Treasury Management Coordination and Control Service
Servizio Tableau de Bord e Controllo di Gestione,Tableau de Bord Service and Management Control
Servizio Capital & Liquidity Management e Recovery Plan,Capital & Liquidity Management and Recovery Plan service
Ente di Acquisto,Purchasing body
Unità Incaricata,Unit in Charge
Patrimonio Artistico,Artistic heritage
Ente proprietario dei beni artistici,Body that owns the artistic assets
Direzione Centrale Audit Funzioni Centrali e Rischi,Central Department Audit Central Functions and Risks
Destinatario dei beni,Recipient of the goods
Perizie Immobiliari e Logistica Integrata,Real Estate Appraisals and Integrated Logistics
Normative Speciali,Special Regulations
Responsabile Unità organizzativa,Organizational unit manager
Personale e Assistenza Rete - Direzione Regionale,Personnel and Network Assistance - Regional Management
Dipendente CIB,CIB employee
Struttura di Direzione Centrale,Central Management Structure
Struttura Territoriale,Territorial structure
ECM Origination,ECM Origination
Engagement Committee - Divisione IMI CIB,Engagement Committee - IMI CIB Division
Corporate Finance BDT,Corporate Finance BDT
Responsabile Structured Finance - Direzione Investment Banking & Structured Finance,Head of Structured Finance - Investment Banking & Structured Finance Department
FICC Sales,FICC Sales
Financial Institutions Solutions,Financial Institution Solutions
Responsabile Loan Syndication - Direzione Global Markets Solutions & Financing,Head of Loan Syndication - Global Markets Solutions & Financing Department
Loan Agency & Portfolio Management,Loan Agency & Portfolio Management
Loan Management and Advisory,Loan Management and Advisory
Sovereign Wealth Funds,Sovereign Wealth Funds
Financial Sponsor Group,Financial Sponsor Group
Legal - Filiale Estera Hub,Legal - Foreign Branch Hub
Legal Advisory Finanza Strutturata e OtS,Legal Advisory Structured Finance and OtS
Perfezionamento Leasing,Leasing improvement
Corporate Domestic Operations,Corporate Domestic Operations
Lending Support,Lending Support
Trade Finance GTB,Trade Finance GTB
Banche della Divisione International Subsidiary Banks,Banks of the International Subsidiary Banks Division
Intesa Sanpaolo Brasil S.A. - Banco Multiplo,Intesa Sanpaolo Brasil S.A. - Multiple bank
Banca Intesa (Federazione Russa),Banca Intesa (Russian Federation)
Intesa Sanpaolo Bank Ireland Plc,Intesa Sanpaolo Bank Ireland Plc
Data Quality Contabilità e Vigilanza e Reporting Operativo,Data Quality Accounting and Supervision and Operational Reporting
Payments,Payments
Intesa Sanpaolo Bank Luxembourg S.A.,Intesa Sanpaolo Bank Luxembourg S.A.
Sistemi di Pagamento,Payment systems
Società Assicurativa Gruppo ISP,ISP Group Insurance Company
Accounting & Operations - Filiale Estera,Accounting & Operations - Foreign Branch
Accounting & Administration - Filiale Estera Hub,Accounting & Administration - Foreign Branch Hub
Direzione Centrale Organizzazione,Central Organization Directorate
Network Management,Network Management
Cash Products and Payment Management,Cash Products and Payment Management
International Network - DBP Aree di Business ,International Network - DBP Business Areas
Property Management,Property Management
Adempimenti Amministrativi delle Società Strumentali,Administrative obligations of instrumental companies
Fornitore,Supplier
"Asset, Advisory e Property Management","Asset, Advisory and Property Management"
Program Management,Program Management
Analisi del Territorio e Strategie di Posizionamento,Analysis of the Territory and Positioning Strategies
Direzione Global Markets Solutions & Financing - Divisione IMI CIB,Global Markets Solutions & Financing Department - IMI CIB Division
Direzione Investment Banking & Structured Finance - Divisione IMI CIB,Investment Banking & Structured Finance Department - IMI CIB Division
Financial Control & Daily P&L,Financial Control & Daily P&L
Sistemi Interni Rischi di Mercato e Controparte,Internal Systems Market and Counterparty Risks
Derivatives,Derivatives
Soluzioni Infrastrutturali Legacy,Legacy Infrastructure Solutions
Domain Crediti ,Domain Credits
Contabilita' Industriale,Industrial Accounting
Desk Structured Finance - Hong Kong,Structured Finance Desk - Hong Kong
Desk Structured Finance - New York,Desk Structured Finance - New York
London Branch - International Structured Finance Desk - Divisione IMI CIB,London Branch - International Structured Finance Desk - IMI CIB Division
Credit Officer International Network,Credit Officer International Network
Concessione Real Estate e Securitization BdT,Concession Real Estate and Securitization BdT
Concessione Finanza Strutturata BdT,BdT Structured Finance Concession
Credit Administration - New York,Credit Administration - New York
Credit Administration - Hong Kong,Credit Administration - Hong Kong
"Rating Desk Real Estate, International e Banche Estere","Rating Desk Real Estate, International and Foreign Banks"
Desk Pricing Nord Ovest Toscana e Umbria,North West Tuscany and Umbria Pricing Desk
Portfolio Analysis & Business Coordination,Portfolio Analysis & Business Coordination
Desk Pricing Nord Est Centro e Sud,North East Center and South Pricing Desk
Capital Structure Trading,Capital Structure Trading
Equity & Credit Synthetic Trading,Equity & Credit Synthetic Trading
Securitised Products & Loans Trading,Securitized Products & Loans Trading
Global Markets Development,Global Markets Development
Structured Equity Risk Trading,Structured Equity Risk Trading
Equity Volatility Trading,Equity Volatility Trading
Flow Credit Trading,Flow Credit Trading
Global Markets Trading,Global Markets Trading
Fideuram Intesa Sanpaolo Private Banking - Execution Desk ,Fideuram Intesa Sanpaolo Private Banking - Execution Desk
Investment Strategies,Investment Strategies
Fideuram Intesa Sanpaolo Private Banking - Middle Office Finanza,Fideuram Intesa Sanpaolo Private Banking - Finance Middle Office
Forex Money Market & Collateral Management,Forex Money Market & Collateral Management
Domain Investimenti,Domain Investments
FI Network Management,FI Network Management
Servizi di Logistica,Logistics Services
GTB Support,GTB Support
Global Custody,Global Custody
Adempimenti Societari Capogruppo,Parent Company Compliance
Gestione e Monitoraggio Funding Collateral,Funding Collateral Management and Monitoring
Cybersecurity Controls and Certifications,Cybersecurity Controls and Certifications
ICT Compliance,ICT Compliance
Capital Measurement e Governo del Valore,Capital Measurement and Governance of Value
Pianificazione e Budget,Planning and Budgeting
Reyl Intesa Sanpaolo,Reyl Intesa Sanpaolo
Country Risk,country risk
Comitato di Direzione,Management Committee
Consulenza Territoriale Firenze,Territorial Consulting Florence
Consulenza Territoriale Milano,Territorial Consulting Milan
Consulenza Territoriale Roma,Territorial Consulting Rome
Consulenza Territoriale Napoli,Naples Territorial Consulting
Consulenza Territoriale Torino,Turin Territorial Consulting
"Credito, Trade Finance e Finanza Specialistica","Credit, Trade Finance and Specialist Finance"
Consulenza Territoriale Padova,Padua Territorial Consulting
Legal Advisory Finanziamenti IMI CIB,Legal Advisory IMI CIB loans
Desk Structured Finance - Filiale Hub Londra,Structured Finance Desk - Hub London Branch
Risk Transfer & Financing,Risk Transfer & Financing
Operations - New York,Operations - New York
Accounting & Operations - Shanghai,Accounting & Operations - Shanghai
Operations - Hong Kong,Operations - Hong Kong
Gestione Garanzie,Warranty Management
Head of Accounting & Operations,Head of Accounting & Operations
Canali,Channels
Coordinamento Marketing e Finanziamenti Retail,Marketing Coordination and Retail Financing
Prodotti di Risparmio,Savings products
Protezione e Welfare,Protection and Welfare
"Partnership, Loyalty e Acquisition","Partnerships, Loyalty and Acquisition"
Pricing - Divisione BdT,Pricing - BdT Division
Specialista Coordinamento Territoriale Prodotti e Segmenti - Direzione Regionale,Territorial Coordination Specialist for Products and Segments - Regional Management
Contratti di Service,Service contracts
Utenti SLM,SLM users
ECM ISP IMI SEC,ECM ISP IMI SEC
Legal Advisory Corporate Finance,Legal Advisory Corporate Finance
ECM London - Divisione IMI CIB,ECM London - IMI CIB Division
London Branch - Legal - Divisione IMI CIB,London Branch - Legal - IMI CIB Division
ECM Transaction,ECM Transactions
Compliance ISP IMI SEC,Compliance ISP IMI SEC
Gestione Dirigenti,Executive Management
Equity Capital Markets,Equity Capital Markets
Direzione Personale - Divisione IMI CIB,Human Resources Management - IMI CIB Division
Work Transformation,Work Transformation
Deal Advisory,Deal Advisory
Titoli,Titles
Legal ISP IMI SEC  ,Legal ISP IMI SEC
Debt Syndication ISP IMI SEC ,Debt Syndication ISP IMI SEC
Intesa Sanpaolo IMI Securities Corporation - Chief Executive Officer,Intesa Sanpaolo IMI Securities Corporation - Chief Executive Officer
 ISP IMI SEC US Brokerage & Equity Sales   , ISP IMI SEC US Brokerage & Equity Sales
Partecipazioni,Holdings
FICC Financial Institutions Sales London - Divisione IMI CIB,FICC Financial Institutions Sales London - IMI CIB Division
Equity Sales,Equity Sales
Corporate Solutions London - Divisione IMI CIB,Corporate Solutions London - IMI CIB Division
Intesa Sanpaolo IMI Securities Corporation - Corporate Risk Solutions,Intesa Sanpaolo IMI Securities Corporation - Corporate Risk Solutions
Unita' Risk locale,Local Risk Unit
 Segnalante, Reporter
Delegato dal Responsabile sistemi interni di segnalazione ,Delegated by the Head of internal reporting systems
Comitato per il Controllo sulla Gestione,Management Control Committee
Funzione incaricata dell'accertamento,Function in charge of the verification
Funzione Personale ,Personal function
Funzione Operativa,Operational function
Chief Audit Officer,Chief Audit Officer
Il Fornitore,The supplier
Concessione Credito al Consumo e Reti Terze,Concession of Consumer Credit and Third Party Networks
Gestore di Riferimento,Reference Manager
Pensioni e Operations Welfare,Pensions and Operations Welfare
Direttore/Gestore,Director/Manager
Fondo Pensione titolare del trattamento pensionistico,Pension Fund owner of the pension treatment
SEPA e Incassi Commerciali,SEPA and Commercial Collections
Amministrazione Dirigenti,Executive Administration
Fondo Pensione/Società,Pension Fund/Company
Rates & Currency Sales,Rates & Currency Sales
Currency & Commodity Trading,Currency & Commodity Trading
Credit Granting,Credit Granting
Network Italia,Network Italy
Metodologie e Strumenti Pricing,Pricing methodologies and tools
Budget e Controllo di Gestione,Budget and Management Control
Anticipatore e Presidio Dati,Anticipator and Data Presidium
Analisi e Gestione Pricing,Analysis and Pricing Management
Global Markets & Investment Banking - Divisione IMI CIB,Global Markets & Investment Banking - IMI CIB Division
Fideuram Intesa Sanpaolo Private Banking,Fideuram Intesa Sanpaolo Private Banking
Fixed Income & Macro Portfolio Management,Fixed Income & Macro Portfolio Management
Resource Management & Market Financing,Resource Management & Market Financing
DCM & Debt Syndication,DCM & Debt Syndication
Corporate Finance ISBD,ISBD Corporate Finance
Principal Investments,Principal Investments
Procedimenti del Lavoro,Labor Processes
Digital Transformation & Legal Management,Digital Transformation & Legal Management
Professionista,Professional
"Contenzioso Penale, Amministrativo e Crisi d'Impresa","Criminal Litigation, Administrative and Corporate Crisis"
Contenzioso Civile,Civil Litigation
Mutui,Mortgages
Private Equity,Private Equity
Private Debt,Private Debt
Fideuram Vita,Fideuram Life
Hedge Funds & Alternative Investments,Hedge Funds & Alternative Investments
Consulente Legale Esterno,External Legal Advisor
Securitisation,Securitisation
Operations - Hub Londra,Operations - Hub London
Direzione Legal Advisory IMI CIB - Divisione IMI CIB,IMI CIB Legal Advisory Department - IMI CIB Division
Consulente Legale esterno,External Legal Advisor
Finanza di Gruppo - DC Legale e Contenzioso - Group General Counsel,Group Finance - DC Legal and Litigation - Group General Counsel
Debt Pricing and Analysis,Debt Pricing and Analysis
Treasury - Filiale Estera Hub,Treasury - Foreign Branch Hub
Destinatari reportistica di escalation,Recipients of escalation reports
Filiale Hub Hong Kong,Hub Hong Kong Branch
Filiale New York,New York branch
ALM Operativo,Operational ALM
Filiale Londra,London branch
Gestione Portafogli,Portfolio Management
Governo Outsourcing,Government Outsourcing
Autorizzazioni Rapporti con Clientela,Authorizations for relations with customers
Interfaccia Processing e Business Support,Processing Interface and Business Support
Coordinatore ingresso in ambiente di Collaudo Utente,Entry coordinator in the User Testing environment
Soluzioni Infrastrutturali Dati,Data Infrastructure Solutions
Direzione Centrale Innovazione,Central Innovation Department
HR Development Models,HR Development Models
Intesa Sanpaolo Innovation Center,Intesa Sanpaolo Innovation Center
Learning Account e Impact Learning,Learning Accounts and Impact Learning
Operations - Filiale Estera Hub,Operations - Foreign Branch Hub
Desk Global Markets - Filiale Estera Hub,Global Markets Desk - Foreign Branch Hub
Concessione ISB,ISB concession
Servizi Accessori Conti,Services Accessories Accounts
Carte e Incarichi,Cards and Assignments
Business Development,Business Development
Fiscalità Finanziaria,Financial Taxation
Prodotti di Protezione e Servizi Welfare,Protection Products and Welfare Services
Direttore Commerciale Agribusiness,Agribusiness Commercial Director
Direttore Commerciale Terzo Settore,Commercial Director of the Third Sector
Direttore di Area Imprese,Director of the Business Area
Direttore Commerciale Imprese,Business Commercial Director
Direttore di Area Terzo Settore,Director of the Third Sector Area
Società Cliente,Client company
Contabilita' Analitica,Analytical Accounting
"CIB Equity, Rates & Credit Solutions","CIB Equity, Rates & Credit Solutions"
Equity Cash Sales,Equity Cash Sales
Fideuram Intesa Sanpaolo Private Banking - Bilancio Consolidato e Segnalazioni,Fideuram Intesa Sanpaolo Private Banking - Consolidated Financial Statements and Disclosures
Struttura amministrativa Banca / Società in perimetro,Administrative structure Bank / Company within the perimeter
Digital Markets Structure,Digital Markets Structure
Client Service,Client Service
Portfolio Financing,Portfolio Financing
Planning & Optimization,Planning & Optimization
Analysis & Monitoring,Analysis & Monitoring
Stock Lending,Stock Lending
Specialista Prodotti Copertura e Gestione Liquidità,Specialist in Hedging Products and Liquidity Management
Gestore BdT,BdT manager
Front Office,front office
Risk Technology,Risk Technology
Group Banking Book Modelling and Measurement,Group Banking Book Modeling and Measurement
Posizionamento di Gruppo e Iniziative Trasversali,Group positioning and transversal initiatives
MLT Funding & Programmes Management,MLT Funding & Programs Management
MLT Domestic Funding Management,MLT Domestic Funding Management
Assegni,Checks
Service esterno,External service
Ministero dell'Economia e delle Finanze,Ministry of Economy and Finance
OMR e Outsourcing,OMR and Outsourcing
Referente della Società Cliente,Representative of the Client Company
Strutture Eroganti,Paying Structures
Market and Counterparty Risk Monitoring,Market and Counterparty Risk Monitoring
Market Risk Policies and Governance,Market Risk Policies and Governance
Financial Markets Analytics & Digital Solutions,Financial Markets Analytics & Digital Solutions
Assistenza Rete e Coordinamento Esigenze Logistiche BdT,Network Assistance and Coordination of BdT Logistics Needs
Specialista Assistenza Rete - Direzione Regionale,Network Assistance Specialist - Regional Management
Service,Service
Prodotti Fondi e Gestioni,Funds and Management products
Servizi di Investimento BdT,BdT Investment Services
Prodotti Transazionali,Transactional Products
Funding Strutturato e Infragruppo,Structured and Intercompany Funding
Sussidiaria Estera,Foreign subsidiary
MLT Debt Origination & Sustainability Bond Structuring,MLT Debt Origination & Sustainability Bond Structuring
Monitoraggio Banking Book di Gruppo,Group Banking Book monitoring
Money Market & Settlement,Money Market & Settlements
Finanza di Gruppo,Group Finance
Soggetto facoltizzato,Facilitated subject
Budget Oneri Operativi,Budget Operating Expenses
Centro di Responsabilità (CdR),Responsibility Center (CdR)
Treasury - Filiale Estera,Treasury - Foreign Branch
ALM Integrated & Innovative Management,Integrated ALM & Innovative Management
Credit Portfolio Management,Credit Portfolio Management
Bank Resource Management,Bank Resource Management
DVA Management & Cross Asset Investments,DVA Management & Cross Asset Investments
Fixed Income Portfolio Trading,Fixed Income Portfolio Trading
Equity & Credit Trading,Equity & Credit Trading
Equity Portfolio Management,Equity Portfolio Management
EM & Macro Portfolio Management,EM & Macro Portfolio Management
Market Treasury,Market Treasuries
Derivatives Markets Regulation and Reporting,Derivatives Markets Regulation and Reporting
Middle Office - Filiale Estera Hub,Middle Office - Foreign Branch Hub
Capital Markets ISDA Advisory,Capital Markets ISDA Advisory
Controllo di Gestione Tesoreria,Treasury Management Control
Rendicontazione ALM,ALM reporting
FX Cash Trading,FX Cash Trading
Front Office Banca Fideuram,Banca Fideuram Front Office
Conti Estero,Foreign accounts
Market Abuse,Market Abuse
Autorità Competente,Competent authority
Sistemi Compliance,Compliance Systems
Global Banding & Performance Management,Global Banding & Performance Management
Politiche e Sistemi di Remunerazione e Incentivazione,Remuneration and Incentive Policies and Systems
Reporting Direzionale e Consolidato di Gruppo,Group Management and Consolidated Reporting
Normativa Aziendale,Company Regulations
Legale e Consulenza del Lavoro,Legal and Employment Consulting
Business Analyst - Direzione Internazionale,Business Analyst - International Management
Emerging Markets Banks & ECAs,Emerging Markets Banks & ECAs
"Asset Management, Insurance & Government","Asset Management, Insurance & Government"
Redazione e Analytics,Editing and Analytics
Consulente finanziario abilitato all'OFS con contratto misto,SFO-qualified financial advisor with mixed contract
Learning Account,Learning Accounts
Media Lab,Media Lab
Coordinamento Fabbisogni Formativi BdT,Coordination of training needs BdT
Progetti Private Banking e Fideuram,Private Banking and Fideuram projects
Progetti Dati e Regulatory,Data and Regulatory Projects
Progetti Credito,Credit projects
Product and Solution,Product and Solution
Progetti BdT e Coordinamento Monitoraggio Applicativi,BdT Projects and Application Monitoring Coordination
Direzione Centrale Risk Management BdT,Risk Management BdT Central Department
Direzione Centrale Data Office,Data Office Central Management
Direzione Global Transaction Banking - Divisione IMI CIB,Global Transaction Banking Department - IMI CIB Division
Direzione Strategie e Marketing - Divisione IMI CIB,Strategies and Marketing Department - IMI CIB Division
"Digital Business Partner BdT, Private, Prodotti e Canali Digitali Retail","Digital Business Partner BdT, Private, Products and Digital Retail Channels"
Direzione Centrale Amministrazione e Fiscale,Central Administration and Tax Directorate
Direzione Centrale Convalida Interna e Controlli,Central Management for Internal Validation and Controls
Cantieri di Progetto,Project yards
Audit Internal Model & Capital Adequacy,Internal Model & Capital Adequacy audits
Validazione Interna,Internal Validation
Raccordo con Cost Management e Monitoraggio NPL,Connection with Cost Management and NPL Monitoring
Budget e Reporting Direzionale di Gruppo,Budget and Group Management Reporting
Analisi Performance Capogruppo e Centro di Governo,Performance Analysis of Parent Company and Corporate Centre
Addetto Monte Pegni,Pawnshop clerk
Perito Tecnico (Estimatore),Technical expert (Estimator)
Assetti Organi e Governo Societario,Organ Structures and Corporate Governance
Società del Gruppo interessate,Group companies concerned
Antitrust Affairs,Antitrust Affairs
Bilancio e Vigilanza Consolidati,Consolidated Financial Statements and Supervision
Rendicontazioni Contabili C-C,Accounting Reports C-C
Conti Italia,Accounts Italy
Consulenza Specialistica Settori MLT,MLT Sector Specialist Consulting
Banca IMI - Global Markets,Banca IMI - Global Markets
Global ICT e Centro di competenza FlexCube,Global ICT and FlexCube Competence Center
Info Providers,Info Providers
"ICT Contracting, Procurement e Altri Servizi di Gruppo","ICT Contracting, Procurement and Other Group Services"
Consulenza Internazionale,International Consulting
Struttura Erogante,Lender Structure
Service e UX Design,Service and UX Design
Test Factory,Test Factory
Digital Business Partner ISBD,ISBD Digital Business Partner
Digital Business Partner Aree di Governo,Digital Business Partner Governance Areas
Digital Business Partner IMI CIB,Digital Business Partner IMI CIB
Business Owner,Business Owner
Cybersecurity Group Architecture Cloud Integration and Innovation,Cybersecurity Group Architecture Cloud Integration and Innovation
Networking & Collaboration,Networking & Collaboration
Responsabile di struttura,Facility manager
Referente di Sicurezza,Safety Representative
Network Hub,Network Hubs
Credit Controls - Divisione IMI CIB,Credit Controls - IMI CIB Division
Assistente,Assistant
Corporate Analyst - Filiale Estera Hub,Corporate Analyst - Foreign Branch Hub
Finanziamenti Imprese e Terzo Settore,Corporate and Third Sector Loans
VUB bank,VUB bank
Banche e Società del Gruppo,Group banks and companies
Trustee ,Trustees
Banca Centrale Europea,European Central Bank
Specialista GTB Cash,GTB Cash specialist
"RFP, Onboarding and Execution","RFP, Onboarding and Execution"
Cash Management GTB,GTB Cash Management
International Corporate Cash Management Sales,International Corporate Cash Management Sales
Referente Unità Organizzativa,Organizational Unit contact person
"Servizio Capital Budget, Controllo Costi e Monitoraggio Investimenti","Capital Budget Service, Cost Control and Investment Monitoring"
Responsabile della Spesa,Expenditure manager
Acquisti Servizi al Business e alla Persona,Purchasing Business and Personal Services
Supporto Organizzativo,Organizational Support
Specialista Pianificazione e Controllo di Gestione - Direzione Regionale,Planning and Management Control Specialist - Regional Management
Ente di Supporto e Controllo,Support and Control Body
Accounting & Administration - Hong Kong,Accounting & Administration - Hong Kong
Accounting & Administration - New York,Accounting & Administration - New York
Accounting & Administration - Londra,Accounting & Administration - London
Rating Desk Validations,Rating Desk Validations
Ente Richiedente,Applicant body
Audit Funzioni Centrali e Controlli Remoti,Audit Central Functions and Remote Controls
Proponente interno/esterno Struttura Acquisti,Internal/external proponent of the Purchasing Department
Engagement Committee - Sessione OtS,Engagement Committee - OtS session
Finanza Agevolata,Facilitated Finance
Rating Coordination & Desk Institutions,Rating Coordination & Desk Institutions
Contenzioso Fiscale,Tax litigation
Filiale Dubai,Dubai Branch
Entity del Gruppo,Group entity
Banche Estere,Foreign Banks
Perfezionamento Factoring,Factoring improvement
Hub Factoring,Hub Factoring
Filiere e Strumenti Imprese,Supply Chains and Business Tools
Network Management & Development - Divisione IMI CIB,Network Management & Development - IMI CIB Division
Factoring e Leasing,Factoring and Leasing
Accounting Advisory,Accounting Advisory
Servizi Creditizi,Credit Services
Fiscalità Internazionale,International taxation
Planning & Control,Planning & Controlling
Controllo di Gestione di Gruppo,Group Management Control
Costi ICT,ICT costs
Addetto Portineria,Porter's office
Banca IMI - M&A Advisory,Banca IMI - M&A Advisory
Banca IMI - London Branch Structuring London,Banca IMI - London Branch Structuring London
Banca IMI - London Branch ABCP Conduit Management,Banca IMI - London Branch ABCP Conduit Management
Banca IMI - Finanza Strutturata,Banca IMI - Structured Finance
Banca IMI - London Branch M&A Advisory London,Banca IMI - London Branch M&A Advisory London
Banca IMI - London Branch Sales & Distribution London,Banca IMI - London Branch Sales & Distribution London
Banca IMI - Finance & Investments,Banca IMI - Finance & Investments
Banca IMI - London Branch Loan Syndication London,Banca IMI - London Branch Loan Syndication London
Banca IMI - Global Markets Structuring and Solutions,Banca IMI - Global Markets Structuring and Solutions
Banca IMI - Equity Capital Markets,Banca IMI - Equity Capital Markets
Banca IMI - Debt Capital Markets,Banca IMI - Debt Capital Markets
Banca IMI - London Branch Equity Capital Markets Estero,Banca IMI - London Branch Equity Capital Markets Abroad
Banca IMI - London Branch Debt Capital Markets Londra,Banca IMI - London Branch Debt Capital Markets London
Banca IMI – Trading,Banca IMI – Trading
Banca IMI – Sales & Distribution,Banca IMI – Sales & Distribution
Stress Testing & Enterprise Risk Projection,Stress Testing & Enterprise Risk Projection
Macro & Fixed Income Research,Macro & Fixed Income Research
Group Banking Book Methodologies and Governance,Group Banking Book Methodologies and Governance
Credit Risk Measurement,Credit Risk Measurement
Derivatives Pricing and Analysis,Derivatives Pricing and Analysis
Supervisory Oversight,Supervisory Oversight
Comitati Consiliari,Advisory Committees
Divisioni e Strutture di Business,Divisions and Business Structures
Struttura Area CFO competente,Competent CFO Area structure
Commodity Trading,Commodity Trading
Scuola dei Capi,School of Chiefs
Live Learning,live learning
Talent Management,Talent Management
People Management,People Management
People Development & Experience,People Development & Experience
Direzione Personale e Change Management - Divisione Insurance,Personnel and Change Management Department - Insurance Division
Digital Learning,digital learning
Learning Experience,Learning Experiences
Strutture committenti,Client structures
Comunicazione Interna,Internal communication
Phygital Learning Design,Phygital Learning Design
LGD NPL Models and Infrastructure,LGD NPL Models and Infrastructure
Funzioni di Incident Management,Incident Management functions
Funzioni Impattate,Functions Impacted
Funzioni Competenti,Competent Functions
Ufficio Acquiring di Nexi,Nexi Acquiring Office
Sales Network Italia,Sales Network Italy
Società in perimetro Service,Company within the Service perimeter
Responsabile del Gestore BdT/Gestore IMI CIB,Manager of the BdT Manager/ IMI CIB Manager
"Specialisti MLT/Leasing e Factoring Veneto, Trentino Alto Adige e Friuli Venezia Giulia","MLT/Leasing and Factoring specialists in Veneto, Trentino Alto Adige and Friuli Venezia Giulia"
"Specialisti MLT/Leasing e Factoring Piemonte, Valle d’Aosta, Liguria e Sardegna","MLT/Leasing and Factoring specialists Piedmont, Valle d'Aosta, Liguria and Sardinia"
Specialisti MLT/Leasing e Factoring Centro,MLT/Leasing and Factoring Centre
Specialisti MLT/Leasing e Factoring Sud,MLT/Leasing and South Factoring specialists
Audit Attività Finanziarie,Audit Financial Activities
Sistemi Interni Rischi Operativi e ICAAP,Internal Systems Operational Risks and ICAAP
Foreign Banks Validation,Foreign Banks Validation
Audit Banche Estere,International Bank Audit
Direzione Pianificazione e Controllo - Divisione ISB,Planning and Control Department - ISB Division
"Reporting, Sustainability & Methodologies","Reporting, Sustainability & Methodologies"
Comitato Rischi,Risk Committee
FI Solutions & Securitized Products London - Divisione IMI CIB,FI Solutions & Securitized Products London - IMI CIB Division
Ulteriore struttura non appartenente a Div. IMI CIB,Additional structure not belonging to Div. IMI CIB
Capital Markets e Concessione Private Banking,Capital Markets and Private Banking Concession
Prodotti di Tutela e Previdenziali,Protection and social security products
Prodotti Vita e Previdenza,Life and pension products
Servizi di Investimento e Prodotti Assicurativi,Investment Services and Insurance Products
"Trasparenza e Desk Pricing Agribusiness, Terzo Settore e Reti Terze","Transparency and Desk Pricing Agribusiness, Third Sector and Third Party Networks"
Richiedente,Applicant
"Identity, Logical-Physical Access Solutions","Identity, Logical-Physical Access Solutions"
Organizzazione competente,Competent organization
Consulenza Privacy,Privacy Consulting
Responsabile del PO,PO manager
Cybersecurity Service Quality Management,Cybersecurity Service Quality Management
Dirigente Preposto alla redazione dei documenti contabili societari,Manager responsible for preparing the corporate accounting documents
Strutture contributrici,Contributing structures
Revisori,Reviewers
Contabilità e Bilanci,Accounting and Balance Sheets
Servizi di Corrispondenza,Correspondence Services
Funzione Personale,Personal function
Responsabile UO,OU manager
Funzione Sicurezza Fisica,Physical Security Function
Funzione Tecnica,Technical function
Funzione Cybersecurity,Cybersecurity function
ORMD,ORMD extension
ORMR,ORMR
Funzione Immobili,Real estate function
"Operational, Technology & Information Risk Management","Operational, Technology & Information Risk Management"
Funzione Continuità Operativa,Business Continuity Function
Funzione Governo e Sviluppo Processi,Governance and Process Development Function
Funzione Organizzazione,Organization function
Foreign Banks ALM & Liquidity Risk Management,Foreign Banks ALM & Liquidity Risk Management
"Cyber, IT & Data Quality Risk Management","Cyber, IT & Data Quality Risk Management"
Process Risk Analysis,Process Risk Analysis
Valutazione e Monitoraggio Benefici e Spese Progettuali,Evaluation and Monitoring of Project Benefits and Expenditures
Corporate,Corporate
Investigations and Support,Investigations and Support
Corporate e Investment Banking - DC Sistemi Informativi,Corporate and Investment Banking - DC Information Systems
Struttura valutatrice dei rischi,Risk assessment structure
Normativa di Vigilanza,Supervisory Regulations
Utilizzi ed Evolutive Data Service Hub,Uses and Evolutionary Data Service Hub
Attivatore nuovo prodotto,New product activator
Vettore,Vector
Trade Finance & Cross Border Transaction,Trade Finance & Cross Border Transactions
Ottimizzazione Pricing,Pricing optimization
Sviluppo del Personale BdT ,BdT Personnel Development
Fideuram Intesa Sanpaolo Private Banking - Formazione,Fideuram Intesa Sanpaolo Private Banking - Training
People Management Dirigenti,People Management Executives
Payments Investigation,Payments Investigation
Strutture Richiedenti,Applicant Structures
IT Governance e Digital Transformation (Area Chapter Governance),IT Governance and Digital Transformation (Area Chapter Governance)
Cybersecurity By Design,Cybersecurity By Design
Data Owner,Data Owner
Structuring & Execution,Structuring & Execution
Origination Support,Origination Support
Loan Origination Strategies,Loan Origination Strategies
Credit Risk Mitigation,Credit Risk Mitigation
Transaction Management - DC Active Credit Portfolio Steering,Transaction Management - DC Active Credit Portfolio Steering
Credit Market Strategies,Credit Market Strategies
Global ICT,Global ICT
Funzione organizzazione Società Controllata,Organization function Subsidiary
Organismo di Vigilanza,Supervisory body
