risk,riskID,riskType,financialDisclosureRisk
Failure to comply with mandatory occupational health and safety training,100589,Other risks (operational),False
Non-compliant and/or non-quality training plans,103833,Other risks (operational),False
Presence of rejects in the flow,101925,Financial Information Risk (ex 262/2005),True
Incorrect data,101186,Other risks (operational),False
Failure to balance the flows produced by the system,103327,Financial Information Risk (ex 262/2005),True
Presence of rejects in the flow,103176,Financial Information Risk (ex 262/2005),True
Wrong CU,102258,Financial Information Risk (ex 262/2005),True
Errors in the consolidated flow,101934,Financial Information Risk (ex 262/2005),True
Incorrect or incomplete Supplier data,103750,Financial Information Risk (ex 262/2005),True
Incorrectly formalized threats,105411,Other risks (operational),False
Incorrectly formalized threats,104029,Other risks (operational),False
Failure to identify solutions that resolve the root cause of the Major Incident.,104410,NA,False
Failure to investigate and diagnose the causes of the Major Incident,103859,NA,False
Location inconsistent with Company values and strategies,100025,Other risks (operational),False
Incorrect / incomplete data entry,100024,Other risks (operational),False
Failure to activate the interventions following the release of the opinion,100955,Financial Information Risk (ex 262/2005),True
No practical cloning to be reviewed,103066,Other risks (operational),False
Failure to close the file and/or active repentance,100071,Other risks (operational),False
Higher approval level,102682,Other risks (operational),False
Incorrect management of the position and related costs,101713,Financial Information Risk (ex 262/2005),True
Incorrect assignment of positions,105027,Financial Information Risk (ex 262/2005),True
Possible cancellation of the operation,101393,Other risks (operational),False
Incorrect cancel operation,105024,Other risks (operational),False
Possible cancellation of the operation,104748,Other risks (operational),False
Operation not permitted,103461,Other risks (operational),False
Wrong/inconsistent structuring of the loan in the GIC procedure during the final disbursement phase,103676,Financial Information Risk (ex 262/2005),True
Failure to comply with the time limit for communication of the resolution,104000,Other risks (operational),False
Failure to comply with the time limit for communication of the resolution,101849,Other risks (operational),False
Failure to meet the deadline established for signing and disbursement.,105029,Other risks (operational),False
Incorrect data communication to the Body,104856,Other risks (operational),False
Wrong/inconsistent structuring of the loan in the GIC procedure,100601,Financial Information Risk (ex 262/2005),True
Wrong/inconsistent structuring of the loan in the CMLT procedure,100600,Financial Information Risk (ex 262/2005),True
Incorrect payment to the Entity of installments of third-party funds,102100,Financial Information Risk (ex 262/2005),True
Failure to meet the deadline established for approving the loan.,105028,Other risks (operational),False
Incorrect or incomplete manual integration of information,103340,Other risks (operational),False
Incorrect determination of installments of third-party funds to be paid to the Entity,101260,Financial Information Risk (ex 262/2005),True
Possible incorrect distribution of credit,100236,Financial Information Risk (ex 262/2005),True
Wrong inclusion of covenants in the contract,100234,Financial Information Risk (ex 262/2005),True
Incorrect acquisition/processing and accounting of guarantees,100233,Financial Information Risk (ex 262/2005),True
Wrong completion,100210,Financial Information Risk (ex 262/2005),True
SPPI Test failed,100235,Financial Information Risk (ex 262/2005),True
Failure to enter Syndicated Contract Identifier,100211,Legal and non-compliance,False
TEG over threshold,100237,Financial Information Risk (ex 262/2005),True
Incomplete request,104472,Financial Information Risk (ex 262/2005),True
Incorrect board integration,100259,Financial Information Risk (ex 262/2005),True
Incorrect attribution,104473,Financial Information Risk (ex 262/2005),True
Incorrect system power supply,101476,Financial Information Risk (ex 262/2005),True
Incorrect update,100258,Financial Information Risk (ex 262/2005),True
Failure or inconsistent execution of the defined training plan,100172,Other risks (operational),False
Incorrect trader requirements,104383,NA,False
Invalid requirements,104384,NA,False
Incorrect trader requirements,102088,NA,False
Incorrect trader requirements,102089,NA,False
Settlement errors,102662,Financial Information Risk (ex 262/2005),True
Payment error,102663,Financial Information Risk (ex 262/2005),True
Request not correctly managed on the information systems,103094,Legal and non-compliance,False
Request not correctly managed on the information systems,104951,Legal and non-compliance,False
Incorrectly handled request / Illegal processing and/or disclosure of third party data,102310,Legal and non-compliance,False
Request not correctly managed on the information systems,103795,Legal and non-compliance,False
Request not properly handled,103882,Legal and non-compliance,False
Correction/integration not carried out,101599,Legal and non-compliance,False
Request not correctly managed on the information systems,104721,Legal and non-compliance,False
Incorrectly handled request / Illegal processing and / or dissemination of third party data,103881,Legal and non-compliance,False
Correct receipt of the confirmation of the delivery instruction settlement and therefore a correct and coherent feed between the sectional accounting system and the regulated movements,103527,Financial Information Risk (ex 262/2005),True
Misalignment of findings between Market and procedures,104751,Other risks (operational),False
Risk of squaring,104752,Financial Information Risk (ex 262/2005),True
Incomplete matches,100799,Other risks (operational),False
No service deactivation,104370,Other risks (operational),False
Sectional accounting power supply error,100437,Financial Information Risk (ex 262/2005),True
Incorrect acquisition of guarantees,102523,Other risks (operational),False
Incorrect data entered,100355,Other risks (operational),False
 Incorrect data entry in WL,102185,Other risks (operational),False
Timing not respected,101732,Other risks (operational),False
Risk of non-provision of payments,105064,Financial Information Risk (ex 262/2005),True
Timing not respected,102665,Other risks (operational),False
No data extraction,104900,Financial Information Risk (ex 262/2005),True
No data extraction,104899,Financial Information Risk (ex 262/2005),True
Incomplete and/or incorrect report data,104466,Financial Information Risk (ex 262/2005),True
Failure to send communication,101982,Financial Information Risk (ex 262/2005),True
Timing not respected,101733,Other risks (operational),False
Timing not respected,102664,Other risks (operational),False
Incorrect invoice data,105408,Other risks (operational),False
Incomplete and/or incorrect calculation results,105194,Financial Information Risk (ex 262/2005),True
No data extraction,104901,Financial Information Risk (ex 262/2005),True
Incomplete and/or incorrect calculation results,100141,NA,False
Timing not respected,105407,Other risks (operational),False
Inconsistent data,101225,Other risks (operational),False
Inconsistent data,104186,Other risks (operational),False
Failure or incorrect acquisition of documentation,104578,Other risks (operational),False
Incorrect data consolidation,100352,Financial Information Risk (ex 262/2005),True
Incorrect data received,103331,Financial Information Risk (ex 262/2005),True
Limits not updated correctly,100353,Other risks (operational),False
Operating limits not respected,105436,Other risks (operational),False
Incorrect or incomplete loading of the supporting tables,100354,Financial Information Risk (ex 262/2005),True
Incorrect acquisition of credit risk data,102358,Financial Information Risk (ex 262/2005),True
Incorrect update,105091,Financial Information Risk (ex 262/2005),True
Incorrect entry and incompleteness of accounting data,105059,Financial Information Risk (ex 262/2005),True
Inconsistency with actual data,104196,Financial Information Risk (ex 262/2005),True
Existence and occurrence of unauthorized transactions,100714,Financial Information Risk (ex 262/2005),True
Unconfirmed order,102873,Other risks (operational),False
Wrong/incomplete Purchase Order,103726,Other risks (operational),False
Wrong square,102764,Financial Information Risk (ex 262/2005),True
Incorrect data download between procedures,102396,Financial Information Risk (ex 262/2005),True
Incorrect accounting of the Generic Reserve,102763,Financial Information Risk (ex 262/2005),True
Misalignment between general accounting and the financial statements application,100793,Financial Information Risk (ex 262/2005),True
Incorrect determination of the Generic Reserve,105030,Financial Information Risk (ex 262/2005),True
Presence of misalignments between calculation and accounting of the generic reserve,101546,Financial Information Risk (ex 262/2005),True
Incorrect determination of the generic reserve with respect to the expected loss,100794,Financial Information Risk (ex 262/2005),True
Incorrect determination of the generic reserve with respect to hedge accounting hedges,103353,Financial Information Risk (ex 262/2005),True
Incorrect determination of the Generic Reserve for operating credits,102022,Financial Information Risk (ex 262/2005),True
Incorrect determination of the Generic Reserve for ISP,105031,Financial Information Risk (ex 262/2005),True
Wrong data acquisition,102863,Financial Information Risk (ex 262/2005),True
Incorrect management of the position and related costs,101977,Financial Information Risk (ex 262/2005),True
Wrong discharge of warranty,104404,Financial Information Risk (ex 262/2005),True
Inconsistent form data,100568,Other risks (operational),False
"Accompanying document absent, inaccurate or incomplete",100567,Other risks (operational),False
Absence of privacy consent C6 - Consent to the processing of particular data,101008,Other risks (operational),False
Incorrect data,104652,Financial Information Risk (ex 262/2005),True
Incorrect data,100769,Financial Information Risk (ex 262/2005),True
Incorrect data,102491,Financial Information Risk (ex 262/2005),True
Performance data inconsistency,100518,Financial Information Risk (ex 262/2005),True
Incomplete and/or incorrect data upload,101451,Financial Information Risk (ex 262/2005),True
Incorrect data,101258,Financial Information Risk (ex 262/2005),True
Incorrect signage flow,100558,Financial Information Risk (ex 262/2005),True
Wrong / failure to send the report,101452,Other risks (operational),False
Incomplete and/or incorrect processing,100016,Financial Information Risk (ex 262/2005),True
Uncertified data,100768,Financial Information Risk (ex 262/2005),True
Incorrect data,100770,Financial Information Risk (ex 262/2005),True
Incorrect signage flow,102029,Financial Information Risk (ex 262/2005),True
Incorrect signage flow,100767,Financial Information Risk (ex 262/2005),True
Incorrect data,104910,Financial Information Risk (ex 262/2005),True
Incomplete data,104909,Financial Information Risk (ex 262/2005),True
Incorrect and/or inconsistent data,101130,Financial Information Risk (ex 262/2005),True
Incorrect data,101129,Financial Information Risk (ex 262/2005),True
Incorrect accounting entry,100790,Financial Information Risk (ex 262/2005),True
Privileges not pertaining to the performance of the new job maintained,101308,Other risks (operational),False
Administrative privilege conferred improperly and without assuming the related responsibilities (failure to read the letter of authorization for processing),103574,Other risks (operational),False
Incorrect RWA calculation,103616,Financial Information Risk (ex 262/2005),True
Incorrect RWA calculation,103618,Financial Information Risk (ex 262/2005),True
Incorrect RWA calculation,103619,Financial Information Risk (ex 262/2005),True
Incorrect RWA calculation,103615,Financial Information Risk (ex 262/2005),True
Form 770 incorrect or incomplete,104540,Financial Information Risk (ex 262/2005),True
Incorrect totals,105118,Financial Information Risk (ex 262/2005),True
Incorrect data,102907,Financial Information Risk (ex 262/2005),True
Anomalous interruption of processing,102906,Other risks (operational),False
Data inconsistent with available evidence,105387,Financial Information Risk (ex 262/2005),True
Incompleteness and incorrectness of the data entered,102332,Financial Information Risk (ex 262/2005),True
Incorrect registration of documents,100472,Financial Information Risk (ex 262/2005),True
Possible lack of completeness/correctness of the guarantee,102531,Financial Information Risk (ex 262/2005),True
Wrong preparation of the text/text inconsistent with what was resolved,102530,Financial Information Risk (ex 262/2005),True
Incomplete or incorrect Warranty Certification Form,104280,Financial Information Risk (ex 262/2005),True
Presence of operations not corrected correctly,100388,Financial Information Risk (ex 262/2005),True
Presence of correct authorizations,100282,Other risks (operational),False
Presence of open positions,100283,Financial Information Risk (ex 262/2005),True
Data not loaded,100121,Other risks (operational),False
Incorrect data,104870,Financial Information Risk (ex 262/2005),True
Data not provided,104548,Other risks (operational),False
Enabling not done,104547,Other risks (operational),False
Incorrect census of elementary accounts,105433,Financial Information Risk (ex 262/2005),True
Incorrect/incomplete registration of Prime Notes,103614,Financial Information Risk (ex 262/2005),True
Misalignment between ledger and accounting,104219,Financial Information Risk (ex 262/2005),True
Incorrect automatic loading of operations,103368,Financial Information Risk (ex 262/2005),True
Presence of accounting squaring,103481,Financial Information Risk (ex 262/2005),True
Incorrect/incomplete registration of Prime Notes,101294,Financial Information Risk (ex 262/2005),True
Incorrect census of elementary accounts,103369,Financial Information Risk (ex 262/2005),True
Incorrect integration of supervisory reporting,103613,Financial Information Risk (ex 262/2005),True
Incorrect supervisory flow fittings,105048,Financial Information Risk (ex 262/2005),True
Incorrect supervisory reporting,103367,Financial Information Risk (ex 262/2005),True
Agreement not respected,101203,Other risks (operational),False
Agreements not respected,101204,Other risks (operational),False
Incorrect voluntary mortgage census,103816,Financial Information Risk (ex 262/2005),True
Incorrect data entry,105016,Financial Information Risk (ex 262/2005),True
Incorrect judicial mortgage census,103815,Financial Information Risk (ex 262/2005),True
Incorrect collateral amount to be exchanged,103250,Financial Information Risk (ex 262/2005),True
Incorrect or late movement of collateral,101471,Financial Information Risk (ex 262/2005),True
Wrong or missing collateral movement,100678,Financial Information Risk (ex 262/2005),True
Titles not available on the custodian,101212,Financial Information Risk (ex 262/2005),True
Not timely and effective response to user requests or failure to restore normal service. Failure to register requests and/or relevant information.,102674,NA,False
Incorrect classification of incidents and service requests,102673,NA,False
Incorrect prioritization of incidents,102678,NA,False
Incorrect prioritization of incidents,104700,NA,False
Lack of documentation of identified solutions and application of remedial actions,102675,NA,False
Failure to verify that an Incident has been closed satisfactorily and within an agreed/acceptable time frame.,102677,NA,False
Inability to carry out trend analyzes due to failure to register requests and/or relevant information or from maintaining a complete history.,102676,NA,False
Incomplete or incorrect input of contributed bond prices,100784,Financial Information Risk (ex 262/2005),True
Incorrect proposed price,103989,Financial Information Risk (ex 262/2005),True
Feeding from infoprovider incomplete or incorrect,100785,Financial Information Risk (ex 262/2005),True
Incomplete or incorrect bond revaluation price feed,100783,Financial Information Risk (ex 262/2005),True
Correct power supply and alignment,104905,Financial Information Risk (ex 262/2005),True
Deviations found in processing phases,103173,Financial Information Risk (ex 262/2005),True
Incorrect reporting preparation,102859,Financial Information Risk (ex 262/2005),True
Incorrect reporting,101835,Financial Information Risk (ex 262/2005),True
Incorrect data aggregation,103658,Financial Information Risk (ex 262/2005),True
Incomplete system power supply,101689,Financial Information Risk (ex 262/2005),True
Differences in performance on operations were identified,103172,Other risks (operational),False
Operation not permitted,102589,Other risks (operational),False
Incorrect loading in procedure,103261,Financial Information Risk (ex 262/2005),True
Incorrect data entry into the system,102448,Other risks (operational),False
Incorrect data update,102449,Other risks (operational),False
Wrong/incomplete documentation,100863,Financial Information Risk (ex 262/2005),True
Incomplete or incorrect non-linear market data feed,104984,Other risks (operational),False
Parameter used not consistent with limits,100838,Other risks (operational),False
Position keeping data feed incomplete or incorrect,101779,Other risks (operational),False
Start of operations in foreign market not allowed,102012,Other risks (operational),False
Wrong loading of data,104549,Other risks (operational),False
Incorrect or incomplete transmission of reports,104579,Other risks (operational),False
Incorrect data population,104408,Financial Information Risk (ex 262/2005),True
Mismatch between applications,101494,Financial Information Risk (ex 262/2005),True
Mismatch between applications,101641,Financial Information Risk (ex 262/2005),True
Mismatch between applications,105012,Financial Information Risk (ex 262/2005),True
Wrong generation of the balance sheet,104954,Financial Information Risk (ex 262/2005),True
Mismatch between balances received and balances on file,103810,Financial Information Risk (ex 262/2005),True
Incorrect/incomplete loading of data during import,104261,Financial Information Risk (ex 262/2005),True
Incomplete transposition of the parameters,103216,Financial Information Risk (ex 262/2005),True
Wrong criticality level assigned,102237,Other risks (operational),False
Wrong criticality level assigned,102218,Other risks (operational),False
Unauthorized access to cloud systems,101172,Other risks (operational),False
Violation and viewing of content for which you have not been authorized,102501,Other risks (operational),False
Use of utilities that are no longer operational,103887,Other risks (operational),False
Operational disservice and inconvenience to customers and to the operations of colleagues and suppliers,102599,Other risks (operational),False
Incorrect and/or inconsistent data,105074,Other risks (operational),False
Incorrect format,100811,Other risks (operational),False
Incorrect and/or inconsistent data,104830,Other risks (operational),False
Incomplete data and/or incorrect data format,101865,Other risks (operational),False
Incorrect and/or inconsistent data,101866,Other risks (operational),False
Personal data not updated,103421,Other risks (operational),False
Incorrect data upload to the system,101209,Financial Information Risk (ex 262/2005),True
Risk of non-payment,101242,Financial Information Risk (ex 262/2005),True
Balancing between billing and SDD flow,102403,Financial Information Risk (ex 262/2005),True
Non-payment to the Fund,101633,Financial Information Risk (ex 262/2005),True
Incorrect documentation,100383,Financial Information Risk (ex 262/2005),True
Incorrect documentation,105384,Financial Information Risk (ex 262/2005),True
Incorrect entry of the amount,101632,Financial Information Risk (ex 262/2005),True
Correctness of data in LRS,102927,Financial Information Risk (ex 262/2005),True
Inconsistency of the aggregations produced,104891,Financial Information Risk (ex 262/2005),True
Presence of discrepancies between Risk data and Matrix reports,102928,Financial Information Risk (ex 262/2005),True
Incorrect data entry,104660,Financial Information Risk (ex 262/2005),True
Banking Book database error,102670,Other risks (operational),False
Error on data entered in the system,102671,Other risks (operational),False
Inconsistent data,102937,Financial Information Risk (ex 262/2005),True
Incorrect and/or incomplete data,103073,Financial Information Risk (ex 262/2005),True
Incorrect data,105350,Other risks (operational),False
Incomplete and/or incorrect data acquisition and/or inconsistent data,102938,Financial Information Risk (ex 262/2005),True
Wrong Identification of Applicant,101043,Other risks (operational),False
Incorrect identification of the Applicant,105050,Other risks (operational),False
Incorrect identification of the Applicant,105049,Other risks (operational),False
Incorrect accounting,100659,Financial Information Risk (ex 262/2005),True
Incorrect quantification of the provision for risks,101238,Financial Information Risk (ex 262/2005),True
Incorrect accounting of interest and accruals,103950,Financial Information Risk (ex 262/2005),True
Incorrect determination of interest and accruals,101237,Financial Information Risk (ex 262/2005),True
Incorrect quantification of the provision for risks,101992,Financial Information Risk (ex 262/2005),True
Incorrect accounting of the registration of adjustment of the liability provision,104723,Financial Information Risk (ex 262/2005),True
Incorrect quantification of the provision for risks,102066,Financial Information Risk (ex 262/2005),True
Incorrect accounting of the adjustment entry of the active fund,104409,Financial Information Risk (ex 262/2005),True
Incorrect data exposure for investors,103661,Financial Information Risk (ex 262/2005),True
Incorrect statement,104587,Other risks (operational),False
Incorrect statement,103164,Other risks (operational),False
Failure to identify the conditions of the delay,100346,Other risks (operational),False
Incorrect statement,101232,Other risks (operational),False
Need to modify or introduce a new credit line,101652,Other risks (operational),False
Failure to send the Issuer the Pricing Policy and the Allocation Policy.,104463,Other risks (operational),False
Mandate not compliant with company policies,101545,Other risks (operational),False
Acquisition of consent not occurred,101350,Other risks (operational),False
Need to change or need to open a new line of credit,103659,Other risks (operational),False
Incorrect compilation of the contractual documentation,101725,Financial Information Risk (ex 262/2005),True
Lack of validity of the contractual documentation produced,101727,Financial Information Risk (ex 262/2005),True
Incorrect loading of data into the system,101726,Financial Information Risk (ex 262/2005),True
Incorrect compilation of the contractual documentation,101728,Financial Information Risk (ex 262/2005),True
Incorrect loading of data into the system,101729,Financial Information Risk (ex 262/2005),True
Lack of validity of the contractual documentation produced,101730,Financial Information Risk (ex 262/2005),True
Incorrect compilation of the contractual documentation,100754,Financial Information Risk (ex 262/2005),True
Incorrect loading of data into the system,102645,Financial Information Risk (ex 262/2005),True
Incorrect compilation of the contractual documentation,100755,Financial Information Risk (ex 262/2005),True
Lack of validity of the contractual documentation produced,102646,Financial Information Risk (ex 262/2005),True
Incorrect loading of data into the system,101723,Financial Information Risk (ex 262/2005),True
Lack of validity of the contractual documentation produced,101724,Financial Information Risk (ex 262/2005),True
"Failure to verify the truthfulness, completeness, adequacy of the data and information",103771,Legal and non-compliance,False
"Failure to verify the truthfulness, completeness, adequacy of the data and information",103772,Legal and non-compliance,False
Improper data entry,105033,NA,False
Improper data entry,105034,NA,False
Block tax positions concerned,104510,NA,False
Block tax positions concerned,104511,NA,False
Incorrect statement to be sent to customers,100777,NA,False
Incorrect statement to be sent to customers,100778,NA,False
Master not correctly reset,100775,NA,False
Master not correctly reset,100776,NA,False
Incorrect debit transactions,100012,NA,False
Incorrect debit transactions,100013,NA,False
Incorrect operating results,100010,NA,False
Incorrect operating results,100011,NA,False
Wrong execution of the procedure,103904,NA,False
Debits not recorded on current accounts,103906,NA,False
Wrong execution of the procedure,103905,NA,False
Debits not recorded on current accounts,103907,NA,False
Certification to be sent to the wrong customer,105422,NA,False
Certification to be sent to the wrong customer,105423,NA,False
Unworked positions,105359,Other risks (operational),False
Failure to enter necessary information and impossibility of correct census of users,100245,Other risks (operational),False
Technical user not updated,102158,Other risks (operational),False
Disabling of a technical user necessary for carrying out processes that are still active,103108,Other risks (operational),False
Technical user not updated,102157,Other risks (operational),False
Elimination of a necessary technical user,102983,Other risks (operational),False
Failure to enter the necessary information and impossibility to correctly process the request,103109,Other risks (operational),False
Census of a potentially risky technical user,102717,Other risks (operational),False
Unjustified disclosure of the credentials of a technical user,102984,Other risks (operational),False
Census of a user who does not comply with the safety rules (non-approved derogation),100247,Other risks (operational),False
Credential disclosure not approved by Security,101800,Other risks (operational),False
Census of a user who does not comply with the safety rules (absence of derogation),100246,Other risks (operational),False
Technical user not updated,100367,Other risks (operational),False
Failure to enter Syndicated Contract Identifier,104379,Other risks (operational),False
Wrong data,102616,Financial Information Risk (ex 262/2005),True
Incorrect data entry,102478,Financial Information Risk (ex 262/2005),True
Incorrect or incomplete data entry into the system,100963,Financial Information Risk (ex 262/2005),True
Failure to carry out the required checks,104438,Other risks (operational),False
Incorrect reporting flows,100989,Financial Information Risk (ex 262/2005),True
 Presence of variations compared to the previously verified conditions.,104241,Financial Information Risk (ex 262/2005),True
Incorrect accounting of the use of funds,103737,Financial Information Risk (ex 262/2005),True
Exceeding the loss limits on the assignment of performing single name credits,104591,Other risks (operational),False
 Incorrect determination of economic loss,104592,Financial Information Risk (ex 262/2005),True
Incorrect or incomplete compilation of the document/email,104240,Financial Information Risk (ex 262/2005),True
Wrong payment arrangement,103462,Financial Information Risk (ex 262/2005),True
Wrong payment arrangement,104089,Financial Information Risk (ex 262/2005),True
Incorrect registration of the asset,103408,Financial Information Risk (ex 262/2005),True
Failure to carry out accounting records,103409,Financial Information Risk (ex 262/2005),True
Wrong payment arrangement,104091,Financial Information Risk (ex 262/2005),True
No formal documents available,104144,Other risks (operational),False
Wrong payment arrangement,104090,Financial Information Risk (ex 262/2005),True
Wrong payment arrangement,104088,Financial Information Risk (ex 262/2005),True
Incomplete or incorrect documentation,104005,Other risks (operational),False
Incomplete or incorrect documentation,101011,Other risks (operational),False
Production of documentation on time,100433,NA,False
Incomplete or incorrect documentation,104004,Other risks (operational),False
Production of documentation on time,100582,NA,False
Incomplete or incorrect documentation,101010,Other risks (operational),False
Incomplete or incorrect documentation,100434,NA,False
Production of documentation on time,100583,NA,False
Failure or incomplete implementation of the required adjustments,104405,Financial Information Risk (ex 262/2005),True
Failure or delay in responding to the Servicer,101020,Other risks (operational),False
Incorrect extinction in procedures,103432,Financial Information Risk (ex 262/2005),True
Wrong accounting excerpt,103757,Financial Information Risk (ex 262/2005),True
Absence of master data models relating to movements,102313,Other risks (operational),False
Incorrect extracted movements,102314,Other risks (operational),False
Completeness/correctness of documentation,100837,Financial Information Risk (ex 262/2005),True
Incorrect / incomplete data entry,100442,Other risks (operational),False
Calculation of the fifth wrong,100998,Financial Information Risk (ex 262/2005),True
Wrong severance indemnity skills,101031,Financial Information Risk (ex 262/2005),True
Message not received by Banca dItalia,102854,Other risks (operational),False
Squaring detected,105115,Financial Information Risk (ex 262/2005),True
Loading anomaly,102421,Financial Information Risk (ex 262/2005),True
System upload anomalies,104729,Financial Information Risk (ex 262/2005),True
Incomplete note,103788,Financial Information Risk (ex 262/2005),True
Not timely and effective response to user requests or failure to restore normal service. Failure to register requests and/or relevant information,104491,NA,False
Incorrect classification of incidents and service requests,104490,NA,False
Incorrect prioritization of incidents.,104492,NA,False
Incorrect prioritization of incidents.,104495,NA,False
Inability to carry out trend analyzes due to failure to register requests and/or relevant information or from maintaining a complete history.,104494,NA,False
Lack of documentation of identified solutions and application of remedial actions,104493,NA,False
Failure to verify that an Incident has been closed satisfactorily and within an agreed/acceptable time frame,104496,NA,False
Concordance opinion not collected,100570,Financial Information Risk (ex 262/2005),True
Non-compliance with the Rules,103832,Other risks (operational),False
Not published,102635,Other risks (operational),False
Update not done,102759,Other risks (operational),False
Non-compliance with the Rules,103556,Financial Information Risk (ex 262/2005),True
Failure to account,102610,Financial Information Risk (ex 262/2005),True
Failure to close miscellaneous consignment,105347,Financial Information Risk (ex 262/2005),True
Failure to close miscellaneous consignment,105348,Financial Information Risk (ex 262/2005),True
Incorrect data,100199,Financial Information Risk (ex 262/2005),True
Communication not sent,100207,Other risks (operational),False
Incorrect and/or incomplete data,103011,Financial Information Risk (ex 262/2005),True
Incorrect data,102500,Financial Information Risk (ex 262/2005),True
Inconsistent data,101385,Financial Information Risk (ex 262/2005),True
Incorrect data entry,102502,Other risks (operational),False
Possible regulatory violation on the subject of AML/CTF contrasting the financing of terrorism,103718,Other risks (operational),False
Incorrect accounting,103719,Financial Information Risk (ex 262/2005),True
Cancellation performed incorrectly or incompletely,105340,Financial Information Risk (ex 262/2005),True
Not published,102201,Other risks (operational),False
Wrong documentation,102503,Other risks (operational),False
Wrong documentation,102504,Other risks (operational),False
Not published,102202,Other risks (operational),False
Misalignment of actual data from reported data,102970,Other risks (operational),False
Operation not validated,103555,Other risks (operational),False
Perimeter deals discarded,100465,Other risks (operational),False
Incorrect data,100157,Financial Information Risk (ex 262/2005),True
Incorrect data provided upon request by the Bank of Italy,101161,Financial Information Risk (ex 262/2005),True
Operation not validated,101331,Other risks (operational),False
Deal in perimeter not included in the report,102969,Other risks (operational),False
Incorrect data,104156,Financial Information Risk (ex 262/2005),True
Incorrect entry into the system.,103645,Financial Information Risk (ex 262/2005),True
Incorrect entry into the system,100080,Financial Information Risk (ex 262/2005),True
Incorrect entry into the system,103130,Financial Information Risk (ex 262/2005),True
Mismatches,102925,Financial Information Risk (ex 262/2005),True
Incorrect entry into the system,102097,Financial Information Risk (ex 262/2005),True
Presence of operations not corrected correctly,100804,,False
Presence of correct authorizations,100805,,False
Presence of open positions,100749,,False
Presence of squares,100116,Financial Information Risk (ex 262/2005),True
Incorrect accounting of differences,102899,Financial Information Risk (ex 262/2005),True
Failure to settle with the counterparty,100885,Financial Information Risk (ex 262/2005),True
Incorrect instructions,100952,Financial Information Risk (ex 262/2005),True
Failure to settle claims,104925,Financial Information Risk (ex 262/2005),True
Lack of consent for privacy purposes,100869,Other risks (operational),False
Wrong adoption of the resolution,104769,Financial Information Risk (ex 262/2005),True
Wrong/incomplete documentation,103707,Financial Information Risk (ex 262/2005),True
Wrong/incomplete documentation,104768,Financial Information Risk (ex 262/2005),True
Wrong adoption of the resolution,102016,Financial Information Risk (ex 262/2005),True
Wrong transaction accounting,103656,Financial Information Risk (ex 262/2005),True
No forborne license plate,103655,Financial Information Risk (ex 262/2005),True
Incorrect and/or incomplete data,100672,Financial Information Risk (ex 262/2005),True
Incomplete and/or incorrect data consolidation,100671,Financial Information Risk (ex 262/2005),True
Inconsistent consolidated data,100670,Financial Information Risk (ex 262/2005),True
Incorrect signage flow,104613,Financial Information Risk (ex 262/2005),True
Report submission incomplete and/or incorrect,101775,Other risks (operational),False
Incorrect and/or incomplete data,100673,Financial Information Risk (ex 262/2005),True
Basic provision of inconsistent signage,101773,Financial Information Risk (ex 262/2005),True
Incomplete and/or incorrect data,101774,Financial Information Risk (ex 262/2005),True
Incorrect and/or incomplete data,101458,Financial Information Risk (ex 262/2005),True
Incorrect and/or incomplete data,100669,Financial Information Risk (ex 262/2005),True
Incorrect and/or incomplete data,101459,Financial Information Risk (ex 262/2005),True
Incomplete and/or incorrect data,100676,Financial Information Risk (ex 262/2005),True
Uncertified phase,100674,Financial Information Risk (ex 262/2005),True
Inconsistent data,100675,Financial Information Risk (ex 262/2005),True
Presence of rejects or anomalies in the automatic process,101388,Other risks (operational),False
"Partial compilation errors, calculation of results, incorrect interpretation",100508,Other risks (operational),False
Incorrect entry of data into Electronic Loan Practice,104052,Financial Information Risk (ex 262/2005),True
Incorrect execution of the SPPI Test,104053,Financial Information Risk (ex 262/2005),True
Incorrect and failed execution of SPPI test,101397,Financial Information Risk (ex 262/2005),True
Attribution of Deliberative Competence inconsistent with the Credit Regulations,103766,Financial Information Risk (ex 262/2005),True
Incorrect eligibility requirements,102413,Financial Information Risk (ex 262/2005),True
Incorrect data extraction,101280,Financial Information Risk (ex 262/2005),True
Incorrect flow arrangement,101281,Financial Information Risk (ex 262/2005),True
Incorrect accounting of commissions,100058,Financial Information Risk (ex 262/2005),True
Incorrect accounting of commissions,102109,Financial Information Risk (ex 262/2005),True
Failure to complete/partial execution of interventions aimed at increasing the security levels on the Network with consequent unchanged/increased vulnerabilities,105331,Other risks (operational),False
Failure to meet the deadline established for signing the loan agreement,103978,Other risks (operational),False
Incorrect entry of the resolution communication on the external portal,105342,Other risks (operational),False
Presence of obstacles to ordinary operations with the Bank,102842,Other risks (operational),False
Incorrect entry of the stipulation communication on the external portal,104621,Other risks (operational),False
Prototype not compliant with the request.,103336,Other risks (operational),False
Failure to report criticality detected,102044,Financial Information Risk (ex 262/2005),True
Operation carried out in the absence of the enabling requirements,102447,Other risks (operational),False
Incorrect data aggregation,105167,Financial Information Risk (ex 262/2005),True
Incorrect update of the file useful for the declaration and settlement,105153,Financial Information Risk (ex 262/2005),True
Failure to receive the requested information,105160,Financial Information Risk (ex 262/2005),True
Incomplete communication,105177,Financial Information Risk (ex 262/2005),True
