controlCategory,controlType,controlPeriodocity,control,controlID
NA,Manual,1.0,Check the reporting,5150
NA,Manual,0.1,Verify the correct variation of the exemption in relation to administered deposits,3356
NA,Manual,0.1,Verify the correct variation of the exemption relating to current accounts,3378
NA,Manual,0.1,Check the documentation delivered,3377
NA,Semi-automatic,30.0,Verify correct classification of NDG,5068
NA,Manual,365.0,Verify the existence of the requirements for the exemption from stamp duty,3598
NA,NA,,Check the documentation supporting the request,3880
NA,Manual,0.1,Verify completeness of supporting documentation,5604
NA,Manual,0.1,Verify correctness of activities carried out in Auction Support,334
NA,Manual,0.1,Check data transposition,2520
NA,Manual,0.1,Certify the perimeter sent by the system,3614
NA,Manual,0.1,Check the ten-year results of the collection engine,4963
NA,Manual,0.1,Perform merit checks,3615
NA,Manual,0.1,Perform merit checks,5615
NA,Manual,0.1,Check data transposition,618
NA,NA,,Compare the original document and the prepared one,2356
NA,NA,,Compare the original document and the prepared one,2357
NA,NA,,Check the correctness of the entered data,2962
NA,NA,,Check the correctness of the entered data,2963
NA,Manual,0.1,Check the correspondence of the property subject to guarantee and the guarantee data entered in the system,1995
NA,Manual,0.1,Check the data entered in the application,3720
NA,Manual,0.1,Check the data of any non-mortgage guarantees entered in the system,5202
NA,Manual,0.1,Verify the reservation of decision-making powers,1876
NA,Manual,0.1,Check the correct attribution of the OCI flag,5201
Operational,Manual,0.1,Check the supplementary data of the modification,4944
Operational,Manual,0.1,Check the Contractual Proposal for modification and the supplementary guarantee text to be attached,5250
Operational,Manual,0.1,Check the contract details,2930
NA,Manual,1.0,Verify alignment of dividends,3767
NA,Manual,0.1,Check the disposition data,5134
NA,Manual,0.1,Verify the correct acquisition of the guarantee to cover the supply,53
NA,Manual,0.1,Verify the need to acquire a guarantee to cover the delivery,1578
NA,Manual,0.1,Check the documentation supporting the disbursement request,2835
NA,Manual,0.1,Check the correct insertion of the dispensing data,54
NA,Manual,0.1,Check whether the conditions are met for the reporting of a crime prosecutable ex officio by a public service officer,2836
NA,Manual,0.1,Evaluate the completeness of the documentation supporting the disbursement proposal,1580
NA,Manual,0.1,Verify the decision-making competence of the requested disbursement.,1579
NA,Manual,0.1,Check the disbursement arrangement,3655
NA,Manual,0.1,Check dispensing arrangement,3241
NA,Manual,0.1,Verify the communication to the facilitating body for the disbursement of funds to the beneficiary,5133
NA,Manual,1.0,Monitor the status of confirmations,2925
NA,Manual,0.1,Check deal validation,2276
NA,NA,,Check the compliance of the signature,2470
NA,Manual,0.1,Check financial data of the confirmation with those present in the term-sheet,3467
NA,Manual,7.0,Check for high priority evidence and machining of all intercepted positions,3613
NA,NA,,Verify the correct and complete collection of the necessary information,5117
NA,Manual,365.0,"Final balance, invoice and analyze the deviations to be submitted for signature",4028
NA,Manual,0.1,Make changes in the relevant procedure,1038
NA,Semi-automatic,0.1,Check for correct processing,137
NA,Manual,0.1,Oversee the consistency of the amounts,2593
NA,Manual,365.0,Sharing data with companies,1306
NA,Semi-automatic,30.0,Check the monitors generated during the preparation of the flows,481
NA,Manual,30.0,Verify that the ETL process database is consistent,2787
NA,Manual,30.0,Verify that the data has been uploaded correctly,211
NA,Manual,30.0,Check the trend of expected loss at 12 months and lifetime and detect anomalous deviations,5353
NA,Manual,30.0,Check for any errors,5352
NA,Manual,0.1,Verify the correct census of the guarantee,3207
NA,Manual,0.1,Verify the correctness and completeness of the format,1847
Operational,NA,,Verify that you have evaluated all the suppliers involved in the events that occurred,4892
NA,Manual,30.0,Verify the correctness of the values and level of Fair Value of the Hedge Funds,455
NA,Manual,30.0,Check the correct loading of fund fair value,456
NA,Manual,30.0,Check the correct loading of the funds fair value update,457
Operational,Manual,30.0,Check the correctness of the fittings,231
Professional,Semi-automatic,30.0,Verify the correct data certification,962
NA,Manual,30.0,Verify that manual adjustments are correct,961
NA,Manual,30.0,Check the trend on the account balances of the fees for which you are responsible,5599
NA,Manual,30.0,Verify the outcome of the controls of the DCOs involved,5600
Operational,Manual,30.0,Check the type and adequacy of the data received,4197
Operational,Manual,30.0,Verify the correct drafting of the VAT registers,4687
NA,Semi-automatic,30.0,Check the type and adequacy of the data uploaded to the aggregation tool,4141
NA,Semi-automatic,30.0,Check the correct adjustment of the VAT balances in the accounting following manual adjustments,2806
NA,NA,,Approve changes to the Branch Key Register,1277
NA,NA,,Check the collected data,1932
NA,NA,,Check the collected data,1931
NA,NA,,Check the collected data,1566
NA,NA,,Verify the quantitative data received,1796
NA,NA,,Check the qualitative data received,1797
NA,Manual,30.0,Analyze SIMM reports,1479
NA,Manual,0.1,Check Unit Test,4683
NA,Manual,0.1,Verify configuration correctness,4684
NA,Manual,1.0,Check the alert mails and logs generated by the LDM system,3289
NA,Manual,0.1,Verify the correctness of the provision of the sum to the customer,2023
NA,Manual,0.1,Verify and certify the consistency of the economic conditions indicated in the contract with what is present in the system,1948
NA,Manual,0.1,Check documentation,1947
NA,Manual,0.1,Check the data loaded into the system,1946
NA,Manual,0.1,Verify the correct contractualization of the credit lines and ascertain the powers of the related subscribers,2218
NA,Manual,0.1,Verify the correct inclusion of the covenants in the contract,922
NA,Manual,0.1,Verify the correct acquisition/perfection/accounting of guarantees,1192
NA,Manual,0.1,Verify the correct inclusion in the contractual draft of the necessary clauses in the event that the contract constitutes a Public Administration as debtor,2217
NA,Manual,0.1,Check that the TEG has been checked,1189
NA,Manual,0.1,Verify the congruence with the resolutions of the data entered in the System,3847
NA,Manual,0.1,Check the draft of the final contract,884
NA,Manual,0.1,Verify the correctness of the disbursement accounting,883
NA,Manual,0.1,"Verify that you have re-run the SPPI Test for changes during the approval/improvement stage and, based on the outcome of the Test, carry out the necessary activities",12
NA,Manual,0.1,Verify the correct acquisition of the contractual scheme,2651
NA,Manual,0.1,Verify and certify the consistency of the economic conditions indicated in the contract with what is present in the system,2652
NA,Manual,0.1,Verify the correctness of the disbursement accounting,2049
NA,Manual,0.1,Verify the correct contractualisation of credit lines,5276
NA,Manual,0.1,Verify the correct acquisition of the contractual scheme,2048
NA,Manual,0.1,Verify the correct acquisition/loading of the guarantees in the procedure,2322
NA,Manual,0.1,Verify the exact allocation of credit,5275
NA,Manual,0.1,Check documentation,4819
NA,Manual,0.1,Verify the correctness of the disbursement accounting,4492
NA,Manual,0.1,Check that the TEG has been checked,3867
Operational,Manual,0.1,Check the effective interest rate and the catch-up adjustment for the forborne renegotiation in modification accounting,28
NA,Manual,0.1,Verify correct contracting of credit lines,744
NA,Manual,0.1,Check the contractual texts,1280
NA,Manual,0.1,"Verify, if changed at the time of stipulation, the correct inclusion of the economic conditions in the application",402
NA,Manual,0.1,"Verify, if changed at the time of stipulation, the correct entry of the economic conditions into the System",2055
NA,Manual,0.1,Check draft conditional agreements,2668
NA,Manual,0.1,Verify the correct acquisition of the policy,4491
NA,Manual,0.1,Check the amount distributed,29
NA,Manual,0.1,Verify formal completeness of the documentation,3814
NA,Manual,0.1,Verify and certify the consistency of the economic conditions indicated in the contract with what is present in the system,3813
NA,Manual,0.1,Check the data loaded into the system,3815
NA,Manual,0.1,Check draft contracts,3785
NA,Manual,0.1,Check the correctness of the accounting,2321
NA,Manual,0.1,Check digital slips,296
NA,Semi-automatic,30.0,Carry out spot checks,712
NA,Manual,0.1,Check the expense report,4098
NA,Manual,0.1,Check the activities carried out by the assistant in all phases of the Application,4574
NA,Manual,0.1,"Verify exact identification, census and update of the corporate structure.",4573
NA,Manual,0.1,Verify the correctness of the acquired documentation and the correct entry of the relative data in the procedure,2281
NA,Manual,0.1,Check the Group Administrative Status assigned to the counterparty.,197
NA,NA,,Verify correspondence of the definitive pdf of the file,1142
NA,NA,,Check English translation,1723
NA,Manual,92.0,Check the balance of the Enasarco contributions,4418
NA,Manual,0.1,Verify the correctness of the amounts,66
NA,Manual,365.0,Check and forward the MAV relating to FIRR payments to Enasarco,3664
NA,Manual,365.0,Verify the reconciliation of the FIRR contributions,472
NA,Semi-automatic,0.1,Verify MCT machining,1546
NA,Manual,92.0,Verify and forward the MAV relating to Enasarco payments,2007
NA,Semi-automatic,0.1,Verify MCT machining,1545
NA,NA,,Verify that the outcome of the automatic flows is positive,1548
NA,Manual,0.1,Verify the completeness and consistency of the option exercise request with the contractual details and time constraints,1846
NA,Manual,0.1,Verify the completeness and consistency of the option exercise request with the contractual details and time constraints,1845
NA,Manual,0.1,Update the economic conditions,2239
NA,NA,,Validate list and possibly update,5381
NA,Manual,0.1,Make adjustments to the sent flow,5473
Operational,Manual,92.0,Carry out the check between stock and flow data of the transferred assets and formal checks,1586
Operational,Manual,92.0,Check the completeness of the accounting data received,1587
Operational,Manual,92.0,Verify the correctness and balance of the accounting evidence received and perform diagnostic checks,2028
NA,Manual,0.1,Verify the correct processing of the ANF amount,2373
NA,Semi-automatic,30.0,Check the adequacy of the data and the positions not automatically managed by the system,2372
NA,Manual,30.0,Check the entered data,3220
NA,Manual,30.0,Verify correct accounting,3222
NA,Manual,30.0,Verify the correspondence between the definitive mandate and the related payment flow net of the reported compensations,188
NA,Manual,30.0,Verify the balance of the data communicated with the accounting,5130
NA,Manual,30.0,Verify the correct preparation of the payment provisions,3221
NA,Manual,30.0,Check the payment and the correct zeroing of the PV charged by the system against the payment,2682
NA,Manual,30.0,Check the data entered manually against those obtained from the payroll procedure,851
NA,Manual,0.1,Check the completeness and correctness of the documentation sent to the insurance company,3008
NA,Manual,0.1,Verify the completeness of the required documents and the correctness of the compilation,3009
NA,Manual,0.1,Check receipt accounting,5497
Professional,Manual,0.1,Certify the definitive Flows,5193
NA,Manual,0.1,Certify the definitive flows,1762
Professional,Manual,0.1,Verify the correct execution of the drains,3469
Professional,Manual,0.1,Check the flows for supervisory reporting,3779
Professional,Manual,0.1,Verify correct entry of attribute R722 Assets/Liabilities held for sale,1343
Professional,Semi-automatic,0.1,Verify accounting for losses/gains on disposal,4134
Professional,Manual,0.1,Check the migration account,1449
Professional,Manual,0.1,Check accounting for use of funds,4745
Professional,Manual,0.1,Check documentation,3173
Professional,Manual,0.1,Verify the correct entry of the reason for blocking the mortgage cancellation,1344
Professional,Manual,0.1,Check the correct feeding of the procedures,3877
NA,Manual,0.1,Certify the flows to be transferred,2191
Professional,Manual,0.1,Check the amount received,5496
Professional,Manual,0.1,Certify unloading data,3876
Professional,Manual,0.1,Verify the correct allocation of the value adjustment,4283
Professional,Manual,0.1,Check the correctness and completeness of the prepared pilot flow,2906
Professional,Manual,0.1,"Verify accounting data,",2030
NA,NA,,Verify the correct calculation of the VaR,2283
NA,NA,,Verify the correct calculation of the VaR,2284
NA,NA,,Verify correct and complete data acquisition for exchange rate and interest rate risk,3080
NA,NA,,Verify correct and complete data acquisition for participations,85
NA,NA,,Verify correct and complete data acquisition for exchange rate and interest rate risk,3081
NA,NA,,Verify correct and complete data acquisition for participations,86
NA,NA,,Verify correct and complete reporting processing phase,4455
NA,NA,,Verify the performance consistency of the VaR metrics,4457
NA,NA,,Verify correct and complete reporting processing phase,4456
NA,NA,,Verify the performance consistency of the VaR metrics,4458
NA,NA,,Verify the correct acquisition of the input files,74
NA,NA,,Verify the correct acquisition of the input files,75
NA,Manual,0.1,Verify the opening of the game varies,2586
NA,Manual,0.1,Verify the opening of the game varies,2585
Professional,Manual,0.1,Verify the correctness of the prepared flows,4501
NA,Manual,0.1,Verify successful accounting,2418
NA,Manual,0.1,Check the data entered in the system,2417
NA,Manual,0.1,Check the correctness of the personal data,4914
NA,Manual,0.1,Check the correctness of the reclassified data,114
NA,Semi-automatic,30.0,Analyze and share the calculated bid-ask adjustment value,1324
Operational,Semi-automatic,30.0,Verify net position and acquire reference spreads,1362
NA,Semi-automatic,1.0,Check sensitivity for completeness,3578
NA,Manual,0.1,Verify correct data acquisition,2801
NA,Manual,0.1,Verify correct data acquisition,2800
NA,Manual,365.0,Check the correspondence of the tax results with the accounting balances,3596
NA,Manual,365.0,Verify the correct correspondence between the balance of the accounts handled and the receipt of the financial regulation,3595
NA,Manual,365.0,Verify the correspondence between the value on account and the balance communicated with the amount paid to the Treasury,3597
NA,Manual,365.0,Check the correct compilation of the GN part facsimile and RZ part facsimile,2738
NA,Manual,365.0,Confirm the verification of the correct compilation of the facsimile of part GN and part RZ,2739
NA,Manual,365.0,Verify the correspondence between the results of the calculation made and what to communicate to the accounting structures,3581
NA,Manual,365.0,Check the calculation of the taxable IRES and IRAP and of the taxes on the balance and 1st advance,1268
NA,Manual,365.0,Verify the calculation of the balance and 1st advance taxes,2737
NA,Manual,365.0,Verify the correct manual input of the information received,1267
NA,Manual,365.0,Verify the calculation of the tax due as a 2nd advance,3580
NA,Semi-automatic,365.0,Verify the success of the electronic transmission of the UNICO SC declaration and of the IRAP declaration,4800
NA,Manual,365.0,Verify the substantial correctness of the UNICO SC declaration and of the IRAP declaration,4799
NA,Automatic,365.0,Verify the correctness of the UNICO SC declaration and of the IRAP declaration,4798
NA,Manual,365.0,Check the correspondence between the results of the calculation made and what to communicate to the accounting structure,2242
NA,Manual,365.0,Verify the completeness and correctness of the requested information,1266
NA,Manual,365.0,Verify the correctness of the information received,1708
NA,Manual,365.0,Verify the accounting and payment of taxes,1364
NA,Manual,365.0,Verify the correspondence between the value on account communicated and the amount paid to the Treasury,1365
NA,Manual,0.1,Verify proposal completion,2728
NA,Manual,0.1,Check data entry in procedure,506
NA,Manual,0.1,Verify correct identification of the Deliberating Body,1806
NA,NA,,Verify the correct registration of the operation,3606
NA,NA,,Verify the regular formalization of the operation,554
NA,NA,,Verify the regular formalization of the operation,889
NA,Manual,92.0,Monitor suspended accounts,3271
NA,Semi-automatic,1.0,Check the correct parameterization of the risk calculation engine,2928
NA,Manual,1.0,Verify that the data has been imported correctly,3385
NA,Semi-automatic,1.0,Check market data,3311
NA,Manual,1.0,Verify that the data has been imported correctly,5682
NA,Manual,0.1,Verify the correct loading of the resolution,3737
NA,Manual,0.1,Check the consistency of the terms of the operation,4029
Professional,NA,,Confirm the KIDs to the competent structure,771
NA,Manual,0.1,Verify the correct census,1744
NA,Manual,1.0,Tick the reports,1907
Professional,Semi-automatic,30.0,Evaluate driver behavioral analysis,1978
Professional,Semi-automatic,30.0,Check trend analysis of CPC volumes,667
NA,Manual,0.1,Carry out Business Clearing,3279
NA,Manual,0.1,Carry out maintenance check of the parameters,3278
NA,Manual,92.0,Check for misalignments,4821
NA,Automatic,30.0,Check the consistency of prices for quoted instruments received,5507
NA,Semi-automatic,30.0,Verify the correctness of the prices,5506
NA,Automatic,30.0,Check the consistency of the prices for unlisted instruments received,5508
NA,Manual,30.0,Compare prices,2365
NA,Manual,30.0,Check the new assessment,4820
NA,Manual,30.0,Check for price variance,2366
Professional,Semi-automatic,0.1,Carry out congruence and technical checks,4226
Professional,Semi-automatic,0.1,Verify the correct conclusion of the first phase of product costing,3094
NA,Semi-automatic,0.1,Verify the correct conclusion of the third and final costing phase of the products,4222
NA,Semi-automatic,0.1,Perform checks on FTE and external costs,4025
Professional,Semi-automatic,0.1,Verify the correct conclusion of the costing of Intermediate and Final products,3095
Professional,Semi-automatic,0.1,Check the correctness and completeness of the catalogue,2404
Professional,Semi-automatic,0.1,Carry out congruence and technical checks,1436
Professional,Semi-automatic,0.1,Verify that the transactional data is loaded correctly,2827
Professional,Manual,0.1,Check costing drivers,2161
Professional,Semi-automatic,0.1,Perform checks on FTE and external costs,1202
NA,Manual,0.1,Verify the takeover proposal,952
Operational,Manual,0.1,Check documentation completeness,4720
Operational,Manual,0.1,Verify consistency between the resolution and what was uploaded to the system,4114
NA,Semi-automatic,0.1,Verify the correctness of the calculation of the capital requirement with the TSA and BIA method,4835
NA,Semi-automatic,0.1, Verify the consistency of the results obtained,4802
NA,Semi-automatic,0.1,Verify the correctness of the calculation of the capital requirement with the AMA method,209
Operational,Manual,0.1,Tick the entered data,2458
Operational,Manual,0.1,Check the contracts,1814
NA,Manual,0.1,Verify the operation in the case of petroleum products and petrochemicals,2459
Operational,Manual,0.1,Carry out checks on AML/CTF or Countering Terrorism Financing,195
Operational,Manual,0.1,Carry out the fulfilments foreseen in terms of AML/CTF or Countering the Financing of Terrorism,196
Operational,Manual,0.1,Carry out the fulfilments foreseen in terms of AML/CTF or Countering the Financing of Terrorism,2616
Operational,Manual,0.1,Carry out checks on AML/CTF or Countering Terrorism Financing,2615
Operational,Manual,0.1,Check the correctness and consistency of the data entered,4509
NA,Semi-automatic,0.1,Verify the correct execution of the examination and evaluation phase of the preliminary investigation through certification of the Preliminary Filter,401
NA,Manual,0.1,Verify the correct certification of the resolution,4517
NA,Manual,0.1,Verify decision-making competence,4556
NA,Manual,0.1,Check the Deliberative Competence,5317
NA,Manual,0.1,Verify the presence of the Admissibility Opinion,724
NA,Manual,0.1,Verify the correct certification of the resolution,4518
NA,Semi-automatic,0.1,Check the correctness of the engine processing,2939
NA,Semi-automatic,0.1,Verify the correctness/completeness of the input data,4880
NA,Manual,0.1,Monitor phases,4653
NA,NA,,Check the correctness of the flow,2950
NA,NA,,Verify the correctness of the sign base,143
NA,Manual,0.1,Check the consent of the Trading Desk,1655
NA,Semi-automatic,1.0,Check the reconciliation result,1405
NA,NA,,Monitor the correctness of the documentation with impacts on health and safety in the Company,1949
NA,NA,,Verify that the training plan in place guarantees sufficient and adequate training on occupational health and safety,3787
NA,NA,,Monitor the use of mandatory courses by reporting the oldest training gaps and analyzing satisfaction data,1823
NA,Semi-automatic,365.0,Verify that there is no waste in the stream,1933
NA,NA,,Check the correctness of the data,1163
NA,Semi-automatic,365.0,Check and if necessary correct the flows produced by the system,3429
NA,Semi-automatic,365.0,Examine scraps and fix anomalies,3276
NA,Semi-automatic,365.0,Identify and fix anomalies,2313
NA,Semi-automatic,365.0,Review diagnostic results and correct flow,5030
NA,Manual,0.1,Check the list and activate the automatic evaluation procedure,2238
NA,NA,,Check the adequate formalization of the accident,5707
Operational,NA,,Check the proper formalization of the incident,4229
NA,Manual,0.1,Verify the correct closure of the problem,5470
NA,Manual,1.0,Verify that the problem has been dealt with by the competent structures within the foreseen times,1695
NA,NA,,Carry out checks on the location proposed in the request,20
NA,NA,,Verify correct management system alignment,19
NA,Manual,0.1,Verify the conclusion of the interventions and fulfilments consequent to the release of the opinion,956
Operational,Manual,365.0,Verify that the practices with approved risk are cloned,5104
NA,Manual,365.0,Check the closure of practices and active amendments,68
NA,Manual,365.0,Check the approval level of practices with estimated data,2402
Professional,Manual,0.1,Authorize Business Plan Light,1725
Operational,Manual,1.0,Verify exact assignment,118
NA,NA,,Carry out checks on any cancellation operations subject to reporting,1399
NA,NA,,Carry out checks on the cancellation operations subject to reporting,5280
NA,NA,,Carry out checks on any cancellation operations subject to reporting,4969
NA,NA,,Monitor the operations carried out by the supervisee in financial instruments or investment services,3589
NA,Manual,0.1,Check the consistency between the data in the procedure and the documentation received,743
NA,Manual,7.0,Monitor the deadlines for the approval of the loan,2409
NA,Manual,7.0,Monitor deadlines for completion,3942
NA,Manual,7.0,Monitor the timing of the practices being finalized,5288
NA,Manual,0.1,Check the consistency between the information and the disbursement documentation with the communication to be forwarded to the Body,3745
NA,Manual,0.1,Check the consistency between the data in the procedure and the documentation received,4987
NA,Manual,0.1,Check the consistency between the data in the procedure and the documentation received,3178
NA,Manual,0.1,Ascertain the correctness of the payment of the installments to the Entity,2140
NA,Manual,7.0,Monitor the timing of the practices being evaluated,5287
NA,Manual,0.1,Check the data entered in the manual reporting,1395
NA,Semi-automatic,0.1,Reconcile managerial data with accounting data,1247
NA,Manual,0.1,Check the amount distributed,4287
Professional,Manual,0.1,Verify the correct inclusion of the covenants in the contract,4286
NA,Manual,0.1,Verify the correct execution of the guarantees,5274
Professional,Manual,0.1,Verify the correct completion of the contract.,2493
NA,Manual,0.1,"Verify that you have performed the SPPI Test for changes during the approval/perfection phase and, based on the outcome of the Test, carry out the necessary activities",1547
Operational,Automatic,30.0,Check for the presence of the Syndicated Contract Identifier,2491
Professional,Manual,0.1,Check that the TEG has been checked,2492
NA,Manual,0.1,Evaluate and review the request,5209
Operational,Manual,0.1,Verify and publish the final card,911
NA,Manual,0.1,Verify the attribution of the accounts to official and reclassified balance sheet items,190
NA,Manual,0.1,Check the entered data,3853
Operational,Semi-automatic,30.0,Check that the card has been updated correctly,910
Operational,NA,,Verify the correct execution of the defined training plan,187
NA,Manual,0.1,Check the requirements - I level of authorization,2687
NA,Manual,0.1,Check the requirements - II level of authorization,2397
NA,Manual,0.1,Check the requirements,3058
NA,Manual,0.1,Check the requirements - III level of authorization,2483
NA,Manual,0.1,Verify that the settlement has been successful,2769
NA,Manual,0.1,Verify that the payment was successful,2770
NA,NA,,Verify that the request of the interested party has been correctly managed on the information systems,5644
NA,NA,,Verify that the request of the interested party has been correctly managed on the information systems,218
NA,NA,,Check that the documentation sent to the interested party does not contain personal data of third parties,2374
NA,NA,,Verify that the request of the interested party has been correctly managed on the information systems,5645
NA,NA,,Verify that the outcome of the automated decision process has been manually corrected,4057
NA,NA,,Verify that the corrections/integrations of personal data have been made,219
NA,NA,,Verify that the request of the interested party has been correctly managed on the information systems,5451
NA,NA,,Check that the documentation sent to the interested party does not contain personal data of third parties.,4056
Operational,NA,,Identify blocked operations in accounting and resolve any anomalies,4919
NA,Semi-automatic,0.1,Check individual options expiring positions,3922
NA,Semi-automatic,0.1,Verify regulation and make adjustments,4980
NA,NA,,Check the findings of the Branch,2074
NA,Semi-automatic,0.1,Verify in the system that the service has been deactivated,1028
NA,NA,,Verify that the guarantee acquisition phase is correct,5364
NA,Semi-automatic,0.1,Confirm cash collateral / personal guarantee in ledger systems,445
NA,Semi-automatic,0.1,Check that the metadata is entered correctly,1559
Professional,Manual,0.1,Check data entry congruence in WL,2232
NA,NA,,Check the timing,1738
NA,Manual,92.0,Check effective preparation and successful transfers,5327
NA,NA,,Check the timing,5700
Professional,Manual,30.0,"Check effective input data extraction of interest, commissions, account balance and write-offs",5139
Professional,Manual,30.0,Check effective margin input data extraction,5138
Operational,Manual,30.0,Carry out the consistency check,2689
NA,Manual,92.0,Check the effective communication of payment data,2002
NA,NA,,Check the timing,1739
NA,NA,,Check the timing,2774
NA,NA,,Check the data of the active invoice,5702
NA,Manual,30.0,Check the output,1651
Professional,Manual,30.0,Check effective input data extraction of perforating reasons,821
NA,Manual,92.0,Check accounting,897
NA,NA,,Check the timing,5701
Professional,Semi-automatic,92.0,Check simulation output,1215
NA,Semi-automatic,92.0,Perform diagnostics and verify the integrity/goodness of data and analysis parameters,1216
NA,NA,,Verify and validate the correct acquisition of the documentation,5038
NA,NA,,Validate the list,5039
NA,Manual,30.0,Carry out drift and trend checks,734
NA,Manual,30.0,Carry out deviation and performance checks of the measurements of the banks in the ISBD perimeter and other decentralized ones,5734
NA,Manual,30.0,Monitor compliance with operating limits,5735
NA,Manual,0.1,Verify correct limit update,735
NA,Manual,30.0,Verify proper loading of system tables,733
NA,Semi-automatic,30.0,Check the diagnostics of the calculation of the risk measures,5359
NA,Manual,182.0,Check Expected Loss update,5358
NA,Manual,0.1,Verify that the relief has been processed,4751
NA,Manual,0.1,Verify the information received or produced,3470
NA,Semi-automatic,0.1,Verify data entered to create Purchase Order,5318
NA,Manual,0.1,Check consistency of prepared documentation,1195
NA,Semi-automatic,0.1,Verify correct execution of the authorization procedure,738
NA,NA,,Check the suppliers order confirmation,1194
NA,NA,,Verify the Purchase Order issue data,1193
NA,Manual,92.0,Verify reconciliation with accounting,2869
NA,Manual,92.0,Verify correct data download,2471
NA,Manual,30.0,Verify correct accounting,3463
NA,Manual,92.0,Verify the consistency between the general ledger and the Budget application,2226
NA,Manual,30.0,Check risk retention percentages on GARC tranches,5289
NA,Automatic,30.0,Verify the correct entry in SIRE of the data relating to the generic reserve of the foreign branches,1564
NA,Manual,30.0,Compare the expected loss data with the definitive generic reserve,3496
NA,Manual,30.0,Verify consistency and completeness in determining the definitive generic reserve,5290
NA,Manual,30.0,Verify the correct determination of the generic definitive reserve for operating credits.,592
NA,Manual,92.0,Verify hedge accounting coverage,3462
NA,Manual,30.0,Check data acquisition for performing credit reserve calculation,2945
Professional,Manual,0.1,Verify Final Business Plan,3484
NA,Manual,0.1,Verify the correct discharge of the guarantee,3969
NA,NA,,Check the correspondence of the actual final recipient with the form,3565
NA,NA,,Check correct completion of the form,596
NA,NA,,Check for privacy consent C6,1006
NA,Semi-automatic,92.0,Verify the correctness of the reported data,4890
NA,Automatic,92.0,Check that the data has been loaded correctly,2732
NA,Semi-automatic,92.0,Verify the correctness of the data produced by the application,2581
NA,Semi-automatic,92.0,Verify the complete and correct loading of the data,1467
NA,Manual,92.0,Carry out a trend analysis of the data,550
NA,Semi-automatic,92.0,Check the correct import of data into the application,1238
NA,Manual,92.0,Verify the complete fulfillment of the reliefs,586
NA,NA,,Check that the data has been sent,1468
NA,Semi-automatic,92.0,Verify the correctness and completeness of the processing carried out,4889
NA,Manual,92.0,Verify that all packages in the phase are certified,2457
NA,Automatic,92.0,Verify that the errors have been corrected,2733
NA,Semi-automatic,92.0,Check the corrections of the structures responsible for entering the data,551
NA,Semi-automatic,92.0,Check the corrections of the structures responsible for entering the data,2456
NA,Semi-automatic,92.0,Run the diagnostic at the original scenario level and verify the diagnostics,3326
NA,Automatic,92.0,Verify the completion of the consolidation,5145
NA,Semi-automatic,92.0,Run the diagnostic procedure at the original scenario level and verify its outcome,1538
NA,Semi-automatic,92.0,Run the diagnostic procedure at the original scenario level and verify its outcome,5431
NA,Semi-automatic,92.0,Verify the correctness and completeness of the processing carried out,16
NA,Semi-automatic,1.0,Check for negative balances,5159
NA,NA,,Check that privileges are revoked if no longer needed,1292
Operational,NA,,"Check alignment between administrative privilege, enabling code and assignment code",3699
NA,Manual,92.0,Check the data calculated for exposure from securitizations of sponsoring companies,3756
NA,Manual,92.0,Check the data calculated for traditional own securitisations,3760
NA,Manual,92.0,Check the data calculated for synthetic securitisations,3758
NA,Manual,92.0,Check the data calculated for third party securitizations,3759
NA,Semi-automatic,365.0,Perform checks on totals,5386
NA,Semi-automatic,365.0,Check the data entered in Form 770,5387
NA,Semi-automatic,365.0,Check and correct the data,2986
NA,NA,,Take action in the event of an abnormal termination of processing,2985
NA,Manual,365.0,Compare the available evidence with the owner structures,5687
NA,Manual,0.1,Verify the correct registration of the guarantees,1829
NA,Manual,0.1,Check the completeness of the documents and the document registration data,488
NA,Manual,0.1,Check the correct compilation of any missing parts,2618
NA,Manual,0.1,Wrong preparation of the text,2617
NA,Manual,0.1,Verify all the data and signatures required in the Certification of Warranty Form,4497
NA,Manual,1.0,Tick error counting operations,387
NA,Manual,0.1,Check for permission to proceed,385
NA,Manual,1.0,Check for open positions,386
NA,Manual,0.1,Check that the data has been uploaded,3413
NA,Manual,0.1,Verify the correctness of the data subject to the contribution,854
NA,Manual,0.1,Verify the contribution has been made,717
NA,Manual,0.1,Verify assignment of YARL to new contributing facility,1726
NA,Manual,0.1,Check siding census,5728
NA,Manual,0.1,Verify the correct registration of the First Manual Note,3755
NA,Semi-automatic,1.0,Check for misalignments between ledger and accounting,5727
NA,Semi-automatic,1.0,Check the outcome of the processing performed by the system,4736
NA,Manual,1.0,Check the correspondence between ledgers and account balances,3479
NA,Manual,1.0,Verify accounting consistency within the Sire ledger,3482
NA,Manual,1.0,"Verify, and possibly complete, the census of elementary accounts",3481
NA,Semi-automatic,0.1,Check the outcome of sending the supplementary flow of the supervisory report,3754
NA,Semi-automatic,30.0,Check the result of sending data for supervisory reporting,5307
NA,Manual,30.0,Check the supervisory reporting form with the account balance,3480
NA,NA,,Verify effective compliance with the agreements,1101
NA,NA,,Verify effective compliance with the agreements,1210
NA,Manual,0.1,Verify correctness and congruence of the census of the voluntary mortgage,853
Professional,Manual,0.1,Check that the data entered manually is correctly entered,2112
NA,Manual,0.1,Verify correctness and congruence of the census of the judicial mortgage,852
