activityType,activityCategory,activity,activityID
process activity,Professional,Open the service level data collection session,29248
process activity,Professional,Turn on data collection,29462
process activity,Operational,Approve the management report on the quality of the services provided,29463
process activity,Professional,Prepare and submit reports,29250
control activity,Other,Check your submissions,32502
process activity,Professional,Obtain up-to-date data relating to service levels,29252
process activity,Operational,Acquire the additional information relating to the EBA regulatory evolution,28241
control activity,Other,Verify the correctness of the information acquired relating to the additional information,28242
process activity,Operational,Receive update stream related to hedging strategies from hedge links,9390
control activity,Other,Check the alignment between the data acquired from the historical archive and accounting,9391
process activity,Operational,Prepare flows for feeding the Budget application,24092
process activity,Operational,Receive and acquire value adjustments on non-performing derivatives,10262
control activity,Other,Verify the alignment between the data acquired relating to the adjustments on non-performing derivatives and the accounting,10263
process activity,Operational,Update the application,32403
control activity,Other,Verify the alignment between the balance sheet archive and accounting,9389
process activity,Operational,Generate balance sheet items,4603
control activity,Other,Reconcile the balance sheet items with the IAS ledger balances generated by the balance sheet archive,4605
control activity,Other,Examine the Report Generation error logs,4604
process activity,Operational,Acquire value adjustments on receivables extracted from the supporting application,13979
control activity,Other,Verify the correctness of the information acquired relating to credit adjustments,24663
process activity,Operational,Import the excerpts into the balance sheet archive,20505
control activity,Other,Check the imported data,27355
process activity,Operational,Prepare the extracts preparatory to the checks relating to the Corporate Financial Statements,6810
process activity,Operational,Prepare the environment,20503
control activity,Other,Supervise the processing phases,20504
process activity,Operational,Prepare the database for feeding the intercompany reconciliation application,6811
process activity,Professional,Monitor Action Plans,3499
process activity,Professional,Verify sharing with other Banks/Companies of the group,3501
process activity,Professional,Verify sharing with other Banks/Companies of the group,13913
process activity,Professional,Analyze the customer's position and define solution proposals,3503
process activity,Professional,Consult the positions to be worked,3502
process activity,Professional,Assign the level of criticality,13914
control activity,Other,Check criticality level locations to assign,18787
process activity,Professional,Monitor locations,18786
process activity,Professional,Check the location,19149
process activity,Professional,Update customer card and assign the level of criticality,19147
control activity,Other,Verify the correct assignment of the level of criticality,13911
process activity,Professional,Work on expired Action Plans,3498
process activity,Professional,Consult the lists,3500
process activity,Professional,Consult the intercepted positions and prepare the telephone contact,19529
process activity,Professional,Examine the intercepted positions by updating the data in the procedures,13912
process activity,Professional,Consult the positions intercepted with incomplete personal data,18784
process activity,Professional,Contact the customer,19146
process activity,Professional,Monitor locations,19145
process activity,Professional,Consult the proactive portfolio,19144
process activity,Professional,Consult the suspended list and validate the Plans,3504
process activity,Professional,PB - PHONE BANKING: Consult intercepted positions,19148
process activity,Professional,Contact the customer,18785
process activity,Operational,Invite the Guest user to access spaces and collaboration tools (Office 365),13097
control activity,Operational,Trace accesses (allowed and denied) to Cloud Azure systems by means of automatic tools,7392
process activity,Operational,Guest user request for suppliers and third parties,31152
process activity,Operational,Evaluate the need to change the expiration of the user or to revoke it,31151
control activity,Operational,Trace the use of the areas and spaces given for viewing by Guest users,15835
process activity,Operational,Enter the guest user data in the Salesforce application including the revocation date of the same,13096
control activity,Operational,Ensure that automated deprovisioning processes are operating properly through monitoring systems,24989
process activity,Operational,Evaluate the request,31153
process activity,Operational,Locate the information for creating the account,13095
control activity,Operational,Ensure that automatic provisioning processes are operating properly through monitoring systems,16537
process activity,Professional,Prepare the report,22295
control activity,Other,Carry out formal checks,15653
control activity,Other,Perform correctness and consistency checks,15654
process activity,Professional,Upload the data request forms,19547
process activity,Professional,Publish the report,22016
process activity,Professional,Oversee data processing,11653
control activity,Other,Carry out performance and consistency checks,14953
process activity,Professional,Fill in the data request forms and send any comments,19546
process activity,Professional,Oversee the upload of contributions,11652
control activity,Other,"Oversee the outcome of statistical, performance and consistency checks",32823
control activity,Other,Supervise the outcome of the automatic technical checks,32822
process activity,Professional,"If necessary, carry out the activities for closing or withdrawing from the account",3659
process activity,Professional,"For the minor account, carry out a documentary check",28213
process activity,Operational,Manage the documentation in dematerialized format and submit it to the customer's signature,21949
process activity,Commercial,Changing economic conditions,21950
process activity,Operational,Proceed with the generation of the modification of the Contract,21947
process activity,Professional,Modify the Customer's package,21944
process activity,Operational,Identify the applicant and ascertain their powers to carry out the operation,9993
control activity,Other,"In the post-sales management phase, check the completeness and correctness of the data in the registry",21952
process activity,Professional,Modify the object perimeter of the movable scope,21951
process activity,Professional,Explain to the customer the possible operations,21948
process activity,Professional,Change the perimeter of the real estate area,9992
process activity,Operational,Change the debit current account,9994
process activity,Operational,Recharge the contractual charges,7710
control activity,Other,Check data loaded into the system,15208
process activity,Operational,Submit SDD debit instructions,15209
control activity,Other,Check outstanding SDD debit provisions,7860
control activity,Other,Check consistency between billing data and SDD charge flows,15210
process activity,Operational,Feed the system with functional events for active billing,13805
process activity,Operational,Communicate the charges to be charged back to the customer,7709
process activity,Operational,Make payment to the Fund,25987
control activity,Other,"Check that the amount entered has been paid and communicate ""Payment made"" by email to the reference structure.",10177
process activity,Operational,Archive documentation,27126
process activity,Professional,Ask for the definition of pricing,19672
process activity,Professional,Formalize agreements with any third party guarantors,25721
process activity,Operational,Communicate the composition of the portfolio to the Fund,15999
control activity,Other,Verify the correctness of the submitted documentation.,2330
process activity,Operational,Communicate the concordance of the analysis,15998
process activity,Professional,Check analysis result,16864
process activity,Operational,Transmit the requests for clarifications forwarded by the Fund to the competent functions,25200
process activity,Professional,Determine the pricing,936
process activity,Professional,Evaluate requests for clarification from the Fund,25201
process activity,Operational,Receive communication from the Fund for regular closure of the loan portfolio,7841
process activity,Operational,Notify any further guarantor of the closure of the portfolio,29158
process activity,Professional,Monitor expiration and determine portfolio closure,28913
process activity,Operational,Fill in the application for admission to the portfolio guarantee.,18144
control activity,Other,Verify the correctness of the documentation produced,34876
process activity,Professional,Load the wallet into the application,13049
process activity,Operational,Send the requested clarifications to the Fund,25202
process activity,Operational,Receive the Fund's Portfolio Guarantee resolution,13048
process activity,Professional,Provide the results of the analyzes on the Portfolio,6639
process activity,Professional,Evaluate requests for clarification from the Fund,32317
process activity,Operational,Send the requested clarifications to the Fund,28912
process activity,Operational,Transmit the requests for clarifications forwarded by the Fund to the competent functions,32316
process activity,Professional,Prepare/revise the draft agreement in case of additional Guarantor other than the Special Section,30655
process activity,Operational,Notify the Fund of the closure of the portfolio,25199
process activity,Professional,Carry out the simulations in terms of pricing for the subsequent sending to the competent structures,24336
process activity,Operational,File the documentation and communicate the negative outcome to the third party guarantor,4366
process activity,Professional,Carry out portfolio analysis,16863
process activity,Operational,Inform the competent structures about the non-admissibility,4365
process activity,Professional,Check the adjustments to be made to the Portfolio,15996
process activity,Professional,Enter the fee payable to the Fund on Front's systems.,7842
control activity,Other,Check the correctness of the guaranteed amount,10176
process activity,Professional,Propose a new portfolio composition,15997
process activity,Professional,Prepare the activities for the definition of the portfolio,16584
process activity,Professional,Design the necessary training not present,19410
process activity,Professional,Communicate new professional figures or changes to the function chart,10607
process activity,Professional,Define the annual qualification review document,28877
process activity,Professional,Identify training gaps,28873
process activity,Professional,Identify the target audience,28876
process activity,Professional,Identify training needs,28874
process activity,Professional,Identify training courses,28875
process activity,Professional,Receive requests and address reports received from the Bank of Italy,6744
process activity,Professional,Verify the correctness of the data present in the DRM systems,10431
control activity,Other,Check the correctness of the data present in the LRS system,31472
process activity,Professional,Submit extraction,10341
process activity,Professional,Analyze received data,10338
control activity,Other,Analyze the received data,31471
process activity,Professional,Collect contributions and prepare the response to be sent to the Bank of Italy,6746
process activity,Professional,Prepare note for response to OdV,6742
process activity,Professional,Submit report,6745
process activity,Professional,Share accompanying note,6747
process activity,Professional,Normalize the received data,10340
process activity,Professional,Consolidate extraction,6748
process activity,Professional,Send reply for Banca d'Italia,6743
process activity,Professional,Check the data present in the managed systems,19583
control activity,Other,Verify the data present in Hermione,18461
process activity,Professional,Consolidate reporting for liquidity monitoring,10339
process activity,Professional,Acquire the interest rate risk,18776
process activity,Professional, Determine the risk positions from floating rate operations,22305
control activity,Other,Check the correctness of the downloaded database,23449
control activity,Other,Check that the entered data is correct,23451
control activity,Other,Verify the correctness of the data entered in the Front Office systems,23450
process activity,Professional,Submit elaborate reports,22306
process activity,Professional,Take charge of the flows and enter the deal in the Front Office system,4953
process activity,Professional,Enter the deal in the front office system,18779
process activity,Professional,Manage the risk,18778
process activity,Professional,Check the rates applied,18777
process activity,Professional,Receive tickets for post trading activities,4952
process activity,Operational,Collect risk metrics and share the Risk Data Report,23849
process activity,Operational,Produce the Risk Tableau de Bord on a quarterly basis,12246
process activity,Operational,Send the Risk Data Report template to each data contributor,2252
process activity,Operational,Submit the Risk Exposure Report to the NFA,29555
process activity,Operational,Identify pattern changes related to the Risk Management Program quarterly,12247
process activity,Operational,"Share the Risk Exposure Report with Control Functions, Senior Management and Governing Bodies",21442
process activity,Operational,Quarterly define the main issues to be included in the Risk Exposure Report,21440
process activity,Operational,Produce the Risk Exposure Report,21441
process activity,Operational,"Produce and send, monthly, the Total Stressed VaR (SVaR)",23846
process activity,Operational,Manage possible feedback received from the CFTC,29556
process activity,Operational,Submit the Risk Data Report to the NFA by the end of the month,25786
process activity,Operational,Produce and submit the Total Credit Valuation Adjustment,23848
process activity,Operational,"Produce and send, monthly, Total Swaps Current Exposure before Collateral, Total Swaps Current Exposure net of Collateral and 15 Largest Swaps Ctps Current Exposures",23847
process activity,Operational,"Produce and send, monthly, the Value at Risk (Var), Interest Rate Sensitivity (DV01) by bucket tenor, Credit Spread Sensitivity (CS01), FX Market Sensitivities, Commodity Market Sensitivities",2253
process activity,Operational,Send the Risk Exposure Report to Parent Company Compliance,29554
process activity,Operational,Handle any feedback from the NFA,25787
process activity,Professional,Analyze the RFI received and provide feedback to the KYC Competence Center within the set deadlines,16761
process activity,Operational,Draw up the Opinion Note with the determination proposal and send it to the Business Structure/Authorizing Entity,6997
process activity,Operational,Evaluate the documentation received and the opinion proposed by the KYC Competence Center,6998
process activity,Professional,Carry out the preliminary investigation and evaluation of the client,16760
process activity,Professional,Forward any Request for Information (RFI) to the Business Structure,16759
process activity,Operational,Evaluate the documentation received and the opinion proposed by the KYC Competence Center,4305
process activity,Professional,Carry out any additional activities as part of the position assessment,14085
process activity,Operational,Check the elimination of contingency payments,6030
process activity,Operational,Send faxes in Target format to transmit payment details,31114
process activity,Operational,Send details of payments made on a contingency basis,6029
process activity,Operational,Identify priority payment orders to execute,1616
process activity,Operational,Carry out embargo checks,10729
process activity,Operational,Activate the contingency plan following a Target 2 Platform block,12066
process activity,Operational,Send faxes in Target format to transmit payment details,10379
process activity,Operational,Advance to the single counterparties the details of the payments that will be made on a contingency basis,17788
process activity,Operational,Eliminate payment orders made on a contingency basis,6028
process activity,Operational,Evaluate activation of emergency procedures on controls on Embargoes,5878
process activity,Operational,Manually enter payment orders on the network interface,31113
process activity,Operational,Agree on the amount and prepare faxes in Target format,31115
process activity,Operational,Communicate/Check the anomaly,5880
process activity,Operational,Activate the contingency plan following an internal blockage of the Swift network,19419
process activity,Operational,Activate the ICM back-up module through the Bank of Italy,31111
process activity,Operational,Notify the Bank of Italy of the need to activate the contingency procedures,31110
process activity,Operational,Execute payment orders via ICM,31112
process activity,Operational,Agree on the methods of settlement of payment orders,6031
process activity,Operational,Carry out the accounting corrections of the operations carried out on a contingency basis,31116
process activity,Operational,Communicate the activation of contingency procedures,1615
process activity,Operational,Activate the contingency plan following the blocking of internal applications,19420
process activity,Operational,"Notify the ""core"" customer counterparties that a technical / operational problem is preventing the normal execution of payment instructions",17789
process activity,Operational,Agree on the amount and prepare faxes in Target format,10380
process activity,Operational,Communicate the activation of the emergency procedures on the controls on the Embargoes,5879
process activity,Operational,Take care of the liquidity supply and enter the payments,12067
process activity,Operational,Evaluate the need to make contingency payments,1614
process activity,Operational,Authorize payment orders to be sent via ICM,2434
process activity,Professional,Provide cost KPIs for communication to BUs,19260
process activity,Professional,Process and transmit the value of intragroup services,34788
process activity,Professional,Forward the cost data necessary for the definition of intra-group services,31479
process activity,Professional,Process and send the personnel cost proposal,34789
control activity,Other,Perform consistency checks,25247
process activity,Professional,Consolidate full year budget data,28469
process activity,Professional,Transmit personnel cost data,2734
process activity,Professional,"Upload budget data, certify and approve processed data",28183
control activity,Other,Check the correctness and completeness of the uploaded data,3856
process activity,Professional,Start the process with kick-off meeting and communicate the calendar of activities,12173
control activity,Other,Verify that the tabs are correct,13042
process activity,Professional,Submit full year budget data,15389
process activity,Professional,Define cost KPIs,12172
process activity,Professional,Capture bottom-up data,25246
control activity,Other,Verify the consistency of the acquired data,28468
process activity,Professional,Analyze consolidated operating expenses as a whole,15704
process activity,Professional,Process and transmit the ICT depreciation budget,25248
process activity,Professional,Process and transmit the real estate depreciation budget,2735
process activity,Professional,View the data collection forms and fill them in with the first budget proposal,28467
process activity,Operational,Approve the certificate request,6288
process activity,Operational,Fill out the paper application,19373
process activity,Operational,Activate the certificate,4729
process activity,Operational,"Identify the Applicant, complete the data and issue the certificate",2798
control activity,Other,Verify the identity of the applicant,32637
process activity,Operational,Archive the documents and enable the certificate,18443
process activity,Operational,Make the paper request,19374
process activity,Operational,Make the certificate request,6286
process activity,Operational,Download and install the certificate,19372
process activity,Operational,Fill out the paper application,2800
process activity,Operational,Fill out the request,19375
process activity,Operational,"Identify the Applicant, complete the data, issue the certificate",4730
control activity,Other,Verify the identity of the applicant,237
process activity,Operational,"Identify the requester, complete the data, process the request",18442
control activity,Other,Verify the identity of the applicant,32636
process activity,Operational,Archive documents,2799
process activity,Operational,Fill out the online application,6287
process activity,Operational,Make your request,18440
process activity,Operational,Fill in the certificate request,18441
process activity,Professional,"Analyze the reconciliation of the fund, of the receivables from the tax authorities in capital and interest accounts, of the correlated payables",4066
control activity,Other,Verify the correct recognition of the releases of the provision for risks,78
control activity,Other,"Carry out a reconciliation of the fund, of the receivables from the tax authorities in capital and interest accounts, of the related debts by comparing the management with the accounting",26249
process activity,Professional,Calculate the credit and debit interest and the accruals connected to the tax credits and proceed with the entry in the journal of the events relating to the postings of interest and accruals at the end of the period,24909
control activity,Other,Check and arrange scraps in Pandora,7843
control activity,Other,Verify the consistency of interest income and accruals for the period,25311
control activity,Other,Carry out an analytical reconciliation of the Miscellaneous Items and of the accounting of interest on payables and receivables,9304
control activity,Other,Check in Pandora the correct generation of the flow to be transmitted to the accounting system,9303
process activity,Professional,Determine the consistency of the provision for tax liability disputes and proceed with the entry in the journal of the event relating to the entry of the adjustment at the end of the period,24908
control activity,Other,Verify the correct generation of the event for posting the adjustment entry,22706
control activity,Other,Verify the consistency of the provision entered in the system with what was resolved,30357
control activity,Other,Verify the correct accounting of the flow transmitted by Pandora in the accounting system,22708
control activity,Other,Check in Pandora the correct generation of the flow to be transmitted to the accounting system,22707
process activity,Professional,Determine the size of the provision for tax dispute risks and proceed with the entry in the journal of the event relating to the posting of the adjustment at the end of the period,24907
control activity,Other,Verify the consistency of the provision entered in the system with what was resolved,12900
control activity,Other,Check in Pandora the correct generation of the flow to be transmitted to the accounting system,12902
control activity,Other,Verify the correct accounting of the flow transmitted by Pandora in the accounting system,12903
control activity,Other,Verify the correct generation of the event for posting the adjustment entry,12901
process activity,Professional,Consolidate templates,16468
process activity,Professional,Prepare and send the first version of the templates,16467
control activity,Other,Verify the valorisation proposal for the data pertaining to financial risks,14169
control activity,Other,Check the valorisation proposal for the credit risk data,14170
process activity,Professional,Send a request for publication in the Investor Relations section of the Group institutional website,16114
process activity,Professional,Proceed with the publication of the Templates on the institutional website,14168
process activity,Professional,Receive the outcome of the Template checks from the Asset Monitor,17097
process activity,Operational,Activate any request for the contextual opening of an investment relationship/service,17136
process activity,Operational,Activate the Customer's re-subscription via CUI,33667
process activity,Operational,Complete the census of any investment ratio set,25121
process activity,Operational,"If necessary, activate the ""suspension"" function",17133
process activity,Operational,Activate any request for the contextual opening of an investment relationship/service,20367
process activity,Operational,"Report Place and Date of subscription in case of activation of the ""suspension"" function",23610
process activity,Operational,Enter the preparatory data for the census of the Single Integrated MiFID Contract,9002
process activity,Operational,"Manage the interview with the ""Professional"" Corporate Customer at the reference CIB Territorial Structure",9001
process activity,Professional,Manage the interview with the Corporate Retail Customer not present at the reference CIB Territorial Structure,16031
process activity,Operational,"Report the details of the signatory subject(s) in the Signatures Section of the ""Request"".",23609
process activity,Operational,Have the Corporate Customer sign the contractual documentation,23612
process activity,Operational,Verify with the Customer the subject/s signatory/s of the contracts being defined,31346
process activity,Operational,Reprint the missing contractual document within the day,21835
process activity,Operational,Analyze the event following which the reprint of the contract should be carried out,21836
process activity,Professional,"Explain to the ""Professional"" Corporate Customer the Service Model of the CIB Division",16033
process activity,Operational,Request the settlement of any stamp duty,14255
process activity,Operational,Activate the Customer's re-subscription via CUI,16032
process activity,Professional,Proceed with due diligence requirements,31345
process activity,Operational,Check the signature powers of the Corporate Client,788
process activity,Operational,File signed documentation,23608
process activity,Professional,"Summarize to the Customer in ""Detail"" the summary of his Financial Profile and confirm it YES/NO",16030
process activity,Operational,Check the correctness of the personal data reported in the contract,787
process activity,Operational,Ascertain the personal data/operational characteristics of the Corporate Customer,31344
process activity,Operational,Manage the interview with the Corporate Retail Customer at the reference CIB Territorial Structure,33668
process activity,Operational,Proceed with the process according to the classification of the Client,17134
process activity,Professional,"Summarize to the ""Professional"" Client the summary of his Financial Profile and confirm it YES/NO.",20369
process activity,Professional,"Explain to the Corporate Customer in ""Detail"" the Service Model of the CIB Division",17135
process activity,Operational,"Manage the interview with the ""Professional"" Corporate Client not present at the reference CIB Territorial Structure",20368
process activity,Operational,"Make the Contract and/or the Financial Profile operational in the event of a ""suspension"" being activated",23611
process activity,Professional,Evaluate the needs of the Corporate Client,20049
process activity,Operational,Monitor the existence of conditions to delay publication,12605
process activity,Operational,Activate the procedure for delaying the dissemination of Inside Information of a systemic nature,31936
process activity,Operational,Activate delay procedure,10926
process activity,Operational,Prepare the press release to be disseminated to the market,12606
process activity,Operational,Monitor the existence of conditions to delay publication,31935
process activity,Operational,Communicate Privileged Information to the market,23183
control activity,Other,Verify the correctness of the communication,23184
process activity,Operational,Disseminate insider information on the market,12608
control activity,Other,Verify the correctness of the statement,23185
process activity,Operational,Submit the decision to delay the disclosure of Inside Information of a systemic nature,8413
process activity,Operational,Approve communication to be disseminated to the market,12607
process activity,Operational,Approve communication to be disseminated to the market,12423
process activity,Operational,Decide on the communication delay,27992
process activity,Operational,Communicate the publication of the information to the competent Authority,31933
process activity,Operational,Submit the decision to delay the communication of Privileged Information for the Parent Company/Subsidiary,10925
process activity,Operational,Prepare the press release to be disseminated to the market,31931
process activity,Operational,Evaluate the existence of the conditions to delay or not the publication,10924
control activity,Other,Verify the existence of the conditions for the delay,2143
process activity,Operational,Prepare the press release to be disseminated to the market,11721
process activity,Operational,Approve communication to be disseminated to the market,31932
process activity,Operational,Communicate privileged information to the market,31934
control activity,Other,Verify the correctness of the communication of the information,7829
process activity,Professional,Propose the hedging derivative (if necessary) and update the WL,16115
control activity,Other,Definitively check the presence and/or capacity of the credit line,34207
process activity,Professional,Carry out Product Governance activities,1581
process activity,Professional,Perform Product Governance Activities,17221
process activity,Professional,Prepare the draft of the preliminary term-sheet to be shared with the Issuer,3053
process activity,Operational,Agree with the customer the detail characteristics of the SSD,2986
process activity,Professional,Evaluate market conditions,27081
process activity,Professional,Request Coverage from the Issuer,19246
process activity,Operational,Receive the information package,739
process activity,Professional,Share indicative pricing with Group Networks,3087
process activity,Professional,Prepare the draft of the preliminary term-sheet to be shared with the issuer,19441
process activity,Operational,Provide for conflict disclosure,29896
process activity,Professional,Perform Due Diligence,19245
process activity,Professional,Ensure compliance with product conditions with group rules,19129
process activity,Professional,Review the contractual and offer documentation,17969
process activity,Professional,Start the decision-making process and integrate WL,19247
process activity,Professional,Negotiate and sign the mandate,19442
control activity,Other,Check that the Pricing Policy and the Allocation Policy have been sent to the Issuer.,22562
control activity,Other,Check the contents of the mandate,16518
control activity,Other,Verify the acquisition of consent by the Head of Management for the application of the commission not in line with the DCM Commission Tables.,8402
process activity,Operational,Prepare the Letter of Confidentiality to be signed by potential investors,7766
process activity,Professional,Request coverage from the Issuer,13586
process activity,Operational,Check the marketing documentation (“Information Package”),7765
process activity,Professional,Agree general characteristics operation,17968
process activity,Operational,Start organizing the union,738
process activity,Professional,Primary level trading with issuer,3054
process activity,Professional,Review the offer documentation,1582
process activity,Professional,Share preliminary termsheet and receive confirmation,3088
process activity,Professional,Define hedging derivative instrument characteristics and integrate WL,13587
control activity,Other,Definitively check the presence or capacity of the credit line,23657
process activity,Operational,Provide coverage for payments made.,20329
process activity,Operational,Communicate the activation of contingency procedures,2793
process activity,Professional,Assess the need to activate contingency procedures,26664
process activity,Operational,Check zeroing positions,20328
process activity,Professional,Agree on subsequent activities,10816
process activity,Operational,Communicate the anomaly,26662
process activity,Professional,Agree with the back-up bank how to send instructions,20327
process activity,Professional,Check the anomaly,26663
process activity,Commercial,Notify the Customer of the activation of the requested service,29530
process activity,Operational,Archive the documentation produced,29613
process activity,Commercial,"Print, verify, formalize and exchange the contractual documentation with the Customer",8193
control activity,Other,Verify the correct compilation and signing of the contractual documentation,23272
process activity,Commercial,Carry out any contractual changes requested by the Customer,33381
control activity,Other,Verify the correctness of the contractual documentation produced,16416
control activity,Other,Verify the correct compilation and signing of the contractual documentation,3140
control activity,Other,Verify the correctness of the data entered in the procedure,23271
process activity,Operational,Activate the service in procedure,30756
process activity,Professional,Define the product configuration,11320
control activity,Other,Verify the correctness of the data entered in the procedure,18568
control activity,Other,Verify the correctness of the contractual documentation produced,3789
process activity,Operational,Survey - if necessary - the Client in the procedure,24779
process activity,Commercial,"Print, verify, formalize and exchange the contractual documentation with the Customer",11321
control activity,Other,Verify the correct compilation and signing of the contractual documentation,27207
process activity,Operational,Engage Payments,30933
process activity,Operational,Select the required service and associate one of the offers,15446
process activity,Commercial,Identify the Customer and ascertain his powers to carry out the operation,12819
process activity,Commercial,Carry out any contractual changes requested by the Customer,29531
control activity,Other,Verify the correct compilation and signing of the contractual documentation,16842
control activity,Other,Verify the correctness of the data entered in the procedure,16841
control activity,Other,Verify the correctness of the documentation produced,12208
process activity,Commercial,Fulfill the fulfilments envisaged by the provisions on Transparency,30068
process activity,Professional,Configure the product,7773
control activity,Other,Verify the correctness of the data entered in the procedure,984
control activity,Other,Verify the correctness of the contractual documentation produced,11441
process activity,Operational,Check the correctness/validity of the interventions carried out according to the customer's requests,32898
process activity,Professional,Fill in the DAS (Designated Account Sheet) form and forward it to Banca Terza,10979
process activity,Operational,Link reports to the contract,7772
process activity,Operational,Survey - if necessary - the Client in the procedure,15445
process activity,Professional,Verify the existence of the Bilateral Agreement with the Third Bank,1607
process activity,Commercial,Notify the Customer of the activation of the requested service,29612
process activity,Operational,Link reports to the contract,24835
process activity,Operational,Check the correctness/validity of the interventions carried out according to the customer's requests,33660
process activity,Operational,Archive the documentation produced,29948
process activity,Operational,Select the required service and associate one of the offers,24780
process activity,Commercial,Fulfill the fulfilments envisaged by the provisions on Transparency,8192
process activity,Commercial,Identify the Customer and ascertain his powers to carry out the operation,8194
process activity,Professional,Carry out an investigation into the suspicious transaction and define the outcome,7745
process activity,Professional,Submit the report,7748
process activity,Professional,Send the request received from the Authorities,5375
process activity,Professional,Evaluate possible termination of the relationship with the customer,7746
process activity,Professional,Examine the request received and forward it to the competent structure,5376
control activity,Other," Verify the truthfulness, completeness, adequacy of the data and information",31549
process activity,Professional,Review the report received,7749
process activity,Professional,Process the request and check with the Authority,5377
control activity,Other," Verify the truthfulness, completeness, adequacy of the data and information",13688
process activity,Professional,Enter the data of the suspicious transaction in the application,7550
process activity,Professional,Send the report to the FIU and enter the report forwarded in the procedure or enter evidence of filing in the procedure,7747
process activity,Operational,Share information relating to reports of suspicious transactions on the same customer with insurance companies not belonging to the Group,32336
process activity,Operational,Process the diagnostic flow,28586
process activity,Operational,Prepare the file for sending,28588
process activity,Operational,Receive results,28589
process activity,Operational,Decode outcomes and communications of adjustments,28230
process activity,Operational,Encrypt and sign,28587
process activity,Operational,Decrypt the results,28229
process activity,Operational,Make the adjustments,28231
process activity,Operational,Acquire market share,29505
process activity,Operational,Request market quotes,29504
process activity,Professional,Extend comparison on positions with calculated parameter,29507
process activity,Professional,Proceed with statistical analysis,29506
process activity,Operational,Request preparation of an ad hoc Murex environment,25760
process activity,Operational,Carry out impact tests,1879
process activity,Operational,Request import on production environment,1880
process activity,Operational,Provide a dedicated Murex environment,25761
process activity,Operational,Apply risk premium on positions,1109
process activity,Operational,Import flat files on test environment,1110
process activity,Operational,Authorize and submit capital gains statement,35051
process activity,Operational,Authorize and submit capital gains statement,35052
process activity,Operational,Check for spreads or the nature of differences between depositors and capital gains and make adjustments,32570
control activity,Other,Verify the formal correctness of the arrangements,32572
process activity,Operational,Check for spreads or the nature of differences between depositors and capital gains and make adjustments,32571
control activity,Other,Verify the formal correctness of the arrangements,32573
process activity,Operational,Archive documentation,33356
process activity,Operational,Archive documentation,33357
process activity,Operational,Identify logical and formal gaps in procedure,29040
control activity,Other,Verify logical and formal differences in procedure,46
process activity,Operational,Identify logical and formal gaps in procedure,29041
control activity,Other,Verify logical and formal differences in procedure,47
process activity,Operational,Perform tasks related to capital gains tax payment management,29038
process activity,Operational,Perform tasks related to capital gains tax payment management,29039
process activity,Operational,Generate paper tax statements and related debit reasons,33354
process activity,Operational,Generate paper tax statements and related debit reasons,33355
process activity,Operational,Download sample reports,4782
control activity,Other,Verify capital gains statement to be sent to customers,35049
process activity,Operational,Download sample reports,4783
control activity,Other,Verify capital gains statement to be sent to customers,35050
process activity,Operational,Make a payment to the taxman,33358
process activity,Operational,Make a payment to the taxman,33359
process activity,Operational,Reset accounting ledger,4778
control activity,Other,Verify correct zeroing of masters,4780
process activity,Operational,Reset accounting ledger,4779
control activity,Other,Verify correct zeroing of masters,4781
process activity,Operational,Extract debit/credit movements on current accounts,50
control activity,Other,Check current account debit transactions,25050
process activity,Operational,Extract debit/credit movements on current accounts,51
control activity,Other,Check current account debit transactions,25051
control activity,Other,Verify operating results determined by procedure,48
control activity,Other,Verify operating results determined by procedure,49
process activity,Operational,Book capital gain closing processing,25052
control activity,Other,Verify the passage of debits on customer current accounts,25056
control activity,Other,Check monthly processing booking result,25054
process activity,Operational,Book capital gain closing processing,25053
control activity,Other,Verify the passage of debits on customer current accounts,25057
control activity,Other,Check monthly processing booking result,25055
process activity,Operational,Download certification sample,35053
control activity,Other,Verify and authorize sending certifications to customers,35055
process activity,Operational,Download certification sample,35054
control activity,Other,Verify and authorize sending certifications to customers,35056
process activity,Operational,Query the application in order to detect any deviations or differences,32650
process activity,Operational,Query the application in order to detect any deviations or differences,32651
process activity,Professional,Monitor the effectiveness of the adopted solution,12151
process activity,Professional,Activate classification process,3310
process activity,Professional,Monitor successful payment,1054
process activity,Professional,Start credit process,1055
process activity,Professional,Coordinate with the other Group Banks/Companies in case of shared customer,27868
process activity,Professional,Consult the portfolio of intercepted positions,27866
process activity,Professional,Contact the customer,27869
process activity,Professional,Fill in the qualitative questionnaire,21992
process activity,Professional,Define the solution,8441
control activity,Professional,Check the machining of the positions,15024
process activity,Professional,Analyze locations,27867
process activity,Operational,Submit the request,22736
process activity,Operational,Verify that the technical user is not in use,13633
process activity,Operational,"Enter further details in the ""Notes"" field",18075
process activity,Operational,Evaluate whether the request for creation or modification of the technical user requires further investigation,5888
control activity,Operational,Check if further information is needed to be included in the request for creation or modification of the technical user,17239
process activity,Operational,Check if the deactivated user needs to be eliminated,11839
process activity,Operational,Fill in the request for further details and send it to the Applicant,18078
process activity,Operational,Fill in the request for further details and send it to the Applicant,22739
process activity,Operational,Process the request for credentials in derogation,24440
process activity,Operational,"Access the ""Technical user disabling"" form and fill it out",12868
process activity,Operational,Delete the technical user,13634
control activity,Operational,Keep data updated (cancellation of technical users on local authentication systems),13635
process activity,Operational,Process the disabling request,11837
