level3GUID,level3,level3ID
73019490-349e-11e7-2688-00101818ed80,Compliance Management - Regulatory Management Money Market Statistical Reporting (MMSR),58
d1669021-61a4-11e7-2249-001dd8b721ea,Own account finance - TLTRO funding management (Targeted Long Term Refinancing Operation),263
0515dcf1-61a0-11e7-2249-001dd8b721ea,Own account finance - ETD derivatives,256
6fa73bc1-619d-11e7-2249-001dd8b721ea,Collections and Payments - Collection of F23 and F24 Proxies,35
39df3a61-619d-11e7-2249-001dd8b721ea,Portfolio - Portfolio Collection Management,278
22872a21-619e-11e7-2249-001dd8b721ea,Counter services - Management and balancing of workstations,104
0b0bef91-61a1-11e7-2249-001dd8b721ea,Institutional Relations and External Communication - Charity Fund,183
fe7e4511-619c-11e7-2249-001dd8b721ea,Accounts and Deposits - Financial Institutions Accounts,19
34a6f04b-5669-11e7-2688-00101818ed80,Rating - Attribution and Rating Management - Small Business Regulatory Segment,298
c1db9611-619e-11e7-2249-001dd8b721ea,Corporate governance and corporate obligations - Non-EU subsidiaries - Fulfillments pursuant to Article 15 of the RM,96
4186be11-076d-11e9-2249-001dd8b721ea,Cybersecurity and BC Governance - Control system in the field of Cybersecurity and Business Continuity,132
41362aa1-61a0-11e7-2249-001dd8b721ea,Loans - Loans in Euros and Currencies not related to specific commercial activities (Hot Money Transactions),201
6e16c5d1-619f-11e7-2249-001dd8b721ea,Service Operation - AM operational management,316
7b8d0d81-61a1-11e7-2249-001dd8b721ea,Rating - Legality Rating,301
3749f81e-c4c2-4b72-88fd-fb513f52ea73,Compliance Management - Management of the Market Abuse regulatory environment,51
85aac641-61a1-11e7-2249-001dd8b721ea,Third Party Finance - Regulated Securities and Derivatives,348
daf81a7f-3fb6-11e7-2688-00101818ed80,Organization - Creation and maintenance of Structures,231
565f3071-61a0-11e7-2249-001dd8b721ea,Integrated System of Internal Controls - System of internal controls and integrated reporting,189
8e193b04-0050-11e5-2688-00101818ed80,Other ancillary products and services - Portability Services,236
3b592f10-b8a3-11e7-2249-001dd8b721ea,Financial Products and Services - Proprietary and Third Party Indices,158
2b9eef21-619f-11e7-2249-001dd8b721ea,Property and Artistic Heritage - Management of real estate assets,290
e3598a81-619f-11e7-2249-001dd8b721ea,Accounting - Accounts Payable,10
42770de0-edba-11ea-6ab0-001dd8b72a56,Valuations for Financial Statements purposes - Loan valuation at fair value,352
456407c1-619e-11e7-2249-001dd8b721ea,Access Services to Digital Channels - Remote Access and Identification Services intended for Natural Persons,6
7ab0f041-619f-11e7-2249-001dd8b721ea,Budget and Pillar III - Financial Accounting Reporting to the Market,31
e7b32801-619c-11e7-2249-001dd8b721ea,"Customer Relationship Management - Complaints, grievances and disclaimers",127
3ebb1121-61a3-11e7-2249-001dd8b721ea,Credit Monitoring - Forborne Exposures,109
89819d50-3d4a-11ec-60ce-001dd8b72a56,Customer Relationship Management - Automated and semi-automated financial advisory services,126
b9e87536-acef-11e7-2249-001dd8b721ea,Valuations for Financial Statements purposes - Valuation of Provisions for Risks and Charges,354
e8cda341-619d-11e7-2249-001dd8b721ea,Administrative Processes - Interbank Agreements and Approvals,25
9b7c2491-61a2-11e7-2249-001dd8b721ea,Non-Performing Credit Management - Past Due Management,223
002e6e0d-accf-11e7-2249-001dd8b721ea,Risk Strategy and Internal Capital & Liquidity Adequacy Assessment - Risk Appetite Framework,312
21293d41-619d-11e7-2249-001dd8b721ea,Counter Services - Deposit,99
dbda0e31-619d-11e7-2249-001dd8b721ea,Institutional Relations and External Communication - Event Management and Sponsorships,185
30404e91-619d-11e7-2249-001dd8b721ea,Domestic Guarantees Passive and International Guarantees - International guarantees received,148
a7579700-f58d-11e9-1911-001dd8b72a55,Strategies - Funding Plan,333
93e88731-61a4-11e7-2249-001dd8b721ea,Valuations for Financial Statements purposes - Valuation of Equity Investments,353
5d65efc1-61a1-11e7-2249-001dd8b721ea,Service Design - Availability and Capacity Management,315
e7d52990-0252-11e7-2688-00101818ed80,Own Account Finance - Securities Lending with Market Counterparties,253
19cb8ab1-61a4-11e7-2249-001dd8b721ea,Mandatory Fulfillments - Tax Shield,219
27c7e953-6ac0-11eb-275f-001dd8b72a50,Own Account Finance - Exchange Management,244
bd2fac21-619c-11e7-2249-001dd8b721ea,Collections and Payments - Incoming SEPA transfers,37
ec487cb1-619e-11e7-2249-001dd8b721ea,Financial products and services - Services offered by trust companies,165
5c8d2681-61a2-11e7-2249-001dd8b721ea,"Concession - Private individuals - Mortgages to sole proprietorships, subsidized mortgages and particular cases",83
002e6df6-accf-11e7-2249-001dd8b721ea,Valuations for Financial Statements - Valuation of employee severance indemnities and other personnel funds,350
df9aca41-619e-11e7-2249-001dd8b721ea,"Property and Artistic Heritage - Design, maintenance and execution of works",288
7574e201-61a2-11e7-2249-001dd8b721ea,Valuations for Financial Statements - Valuation of tangible and intangible fixed assets,351
7b72cdd0-5724-11e7-2688-00101818ed80,Rating - Attribution and Rating Management - Bank Regulatory Segment,294
6aa0d8f1-619f-11e7-2249-001dd8b721ea,Service Transition - Change management,323
eda26001-61a1-11e7-2249-001dd8b721ea,Credit Risk Mitigation - Risk Participation Agreement,120
5f6f4691-619c-11e7-2249-001dd8b721ea,Mandatory Fulfillments - Penal Seizures and Confiscation,217
6e3af2d1-61a3-11e7-2249-001dd8b721ea,Credit Risk Mitigation - Agricultural Bill,114
d442d511-61a4-11e7-2249-001dd8b721ea,Compliance Management - Regulatory Management Volcker Rule,60
6d1a3471-5a9d-11e9-2249-001dd8b721ea,Reports - Reports of Harmonized (FinRep) and non-Harmonized Financial Information,310
bd04438b-7e8a-11e8-2249-001dd8b721ea,Credit Monitoring - Identification of positions and interception,110
6443f8c1-619f-11e7-2249-001dd8b721ea,Human Resources - External Selection and Hiring of Employees,172
fb95cc2b-4144-11e8-2249-001dd8b721ea,Corporate governance and corporate obligations - Consolidated non-financial statement,93
66cb4da1-61a4-11e7-2249-001dd8b721ea,Strategic Risk - Strategic Risk,330
3622aac1-61a1-11e7-2249-001dd8b721ea,Rating - Attribution and Rating Management - Retail Regulatory Segment,297
e437c341-61a4-11e7-2249-001dd8b721ea,Compliance Management - Armaments regulatory management,45
de33b8d1-61a1-11e7-2249-001dd8b721ea,Institutional Relations and External Communication - Brand Management,182
355aeac1-619d-11e7-2249-001dd8b721ea,Abroad - documented remittances receipts import documents,4
2d6c0371-619e-11e7-2249-001dd8b721ea,Counter Services - Night Bank,100
becf9921-619f-11e7-2249-001dd8b721ea,Reports - Reports Consob Resolution 17297-2010,309
