application,applicationID
Portal for uploading product sheets and Primary Market and PCT subscription sheets,1410
SAP Data Management,1542
PEF - Fido's Electronic Practice,1346
TWS - Automatic host and departmental batch processing scheduler,1736
New Asset Dialogue - Company Asset Management,1287
Credit Portal - Mortgages to Individuals,447
WePOG,1848
Tagetik Group VAT,1745
DQM Accounting Controls,513
External Database Portal Introduction to the Portal,684
LOAD Criticality Assessment Row Input Collection,1069
Qlik Data Visualization,1437
CDM Counterparty Data Manager,311
ALGO Management of collateral in finance,131
Intesasuite,993
Algosuite,176
Customer Journey Breakdown,480
Trust portal,1771
SAP Reporting Travel BW,1581
AdG MdG Management of supply chain groups,167
Credit Grant Dashboard Customer Eligibility,440
Credit Portal Management Watch List,452
E-CAM View Document,590
eMarket Storage,1919
NIS - Network Information System,1235
CAD Commissioning Promoters,286
Skyfall platform,1676
Application Chain - Enterprise Architecture Dashboard,182
Agency tool,170
Tenable Compliance Suite Console,1757
CRECO Customer credit accounting operations,369
RA.DO. UMDO Report Management,1443
XME Cheers,1866
XS01 – Capital gain menu,1870
F24 Online,690
Business channels and remote banking,281
Factoring - CZ Litigation Management,733
CERT0 – Event certification.,323
MOPLE Problem Loans Access to the application,1137
DQM extension,515
MOPLE Probable Defaults Suspended Lists,1135
155096 A GAUDI Automated Management of Mortgage Data - Branches,54
Credit Management Portal Credit Analytics,442
E-CAM New request,586
PRICE Membership disconnection from convention,1382
DRM - Process Launcher,518
CCWEB Cash Management Reporting Consultation,306
GVDC Data for Cash Verification,846
IPAR Query of institution parameters,955
MDST Document lists menu,1110
VDST Bill validation,1805
HU00 Cash and treasury services,881
MMAN Mandates menu,1118
GERMAN,784
ITBI Query of Banca Italia totals,966
ITES Query of year totals,968
IACB Query of Banki credits,896
IDIS Availability Query,908
IMOV Movement query,935
SAP R3 REFX Tax Registry,1579
CEBI Central Balance Manuals,317
Inbiz Approval Rules,975
Roller Cash Slots,1526
ANTIR - Anti-Money Laundering Reports,135
CRESP Use of Simple Credit,373
GM00 Anti-money laundering monitor management,827
"A000 Loading, unloading and compensation management",96
NU00 Management of Entry and List of Movement Requests from Branch for B.O.,1276
GSTA – Management of reserved prints,843
MSTA Reserved prints menu,1155
GEBS Management of stamp duties and expenses charged to the institution,769
MENT Menu management bodies and exercises,1112
INCC Account query,938
PMAN Reservation of document extinction for cash,1368
GDLE Cash management (mein),764
IDLE Query liquidity (mein),909
VECA Cash Check Online,1807
Document archiving,573
GRC - Controls Module,839
AdG MdG Registry research,168
Easy Loan For You,664
FINRI Early repayment loans,704
EBAAS Early Termination Policy,605
Modelity Structures system,1189
Deproem,562
Bit-LOL,271
Smart houses,1681
Single Industrial Accounting Registry and Service Contracts-CPC Management-Tables Management,1670
Unique Industrial Accounting Registry and Service Contracts-CPC Management-Volume Consolidation,1782
Unique Industrial Accounting Registry and Service Contracts-CPC Management-Volume Processing,1783
Unique Industrial Accounting Registry and Service Contracts-CPC Management-Volume Trend Analysis,1784
Unique Industrial Accounting Registry and Service Contracts-CPC Management-Flow Verification,1781
Unified Registry of Industrial Accounting and Service Contracts-CPC Management-Adjustment Management,1779
Industrial Accounting Registry and Service Contracts-Industrial Accounting- RDC Catalog,979
Register of Industrial Accounting and Service Contracts - Dashboard,1489
Galileo,849
Central Risks,395
Industrial Accounting Registry and Service Contracts-Industrial Accounting- Pricing Catalog,978
Adobe Acrobat Pro Legal Sign,169
Credit Portal PEF5 Preliminary filter,453
Resolution sheet,1509
GPD Credit Practice Management in Resolution,833
Office AnaCredit,1317
Document management of the Corrections,580
Tableau de Bord QD,1741
E-LEARNING TRAINING PORTAL,595
ENTER TEL,623
PAY 4 - Payroll Management,1339
SAP R3 Purchasing,1565
SAP PY Payroll,1553
PIGNO Management of Foreclosure Practices Central Structure,1357
VPC Evaluation of Factoring Customer Portfolio,1816
BJIS Inquiry,220
Non-Performing Credit Management Main application functions,1295
A000 SUBS Subscription management,103
150654 - Adequacy Assessment - Transaction R4 Assignment of financial profile,24
"A000 GOPP Management of OPA, OPS, OPV",78
A000 IPAF Branch basket,89
Pension Funds – Intesa Sanpaolo Agents4You,1402
150654 - R4A3-Application Menu,25
WFP Workflow Focal Points,1835
VAREC Change in contact details,1801
Wisemap,1862
A000 Securities Lending Form,104
FINV Transaction QVQ1 functionality menu,711
BU00 Access Certificates of Deposit,243
PAD Archiving of digital documentation of historical interest,1332
N600 Reservation remitted other values,1212
N650 Cumulative position management of initial load values,1215
CLOSE Closing work session management,334
N650 Management of cumulative positions of unloading values,1217
Calculation Agent for Servicing Bank,383
Wire transfers,1861
Dashboard EMC2 Enterprise Management Console for Pillar II,545
ERMAS User Manual - Regulatory Liquidity,630
Archdef,183
150385 PP00/CPC Credit Position Control,20
KC0X Electronic register management,1021
KC0X Extinguishment safety deposit box contract management,1022
E-Catalog Other Materials and Services,593
Salesforce CRM english version,1657
Protection Policies,1426
Protection policies,1427
SHS Office,1610
OUR ACCOUNT LIQUIDITY,1311
Remember Investigation,1497
BKT BACK OFFICE TITLES,222
CDR-D0,314
DNF Mod770 Ordinary Tax Substitutes,509
DN Dec. Substitute Tax,508
Mod770 Substitutes of Tax,1188
WORKFLOW management,1842
EPC Ex Parte Creditoris,625
PiRCo - Directors,1404
Microsoft Power BI,1183
Update Reference Price,1788
LAPS Local Administrator Password Solution,1046
ALCO0 Technical User Password Generator,126
DYNG Funct.04 Withdrawals/Revocations/Spins/Other,541
Centralized archiving OTC derivatives for BdT,397
E-CAM Task List,589
Assignment of one fifth of salary and Advance TFS reporting to Prestitalia,190
Prospect Registry – Front-end customer master data management,1425
TOTEM MARK-IT,1728
INTRANET AND OFFICE AUTOMATION,951
MicroStrategy - Web Reporting,1182
SLM Directorates DSI DCO ISCB,1627
BOFinance,229
MOPLE Problem Loans Administrative States Suspended Lists,1138
MOPLE Problem Loans Research Administrative States,1139
TdB Risk data upload portal,1754
KI portal,1033
MOGENI Monitoring institutional entities guarantees,1123
Liquidity Risk System,1078
SMART Supervisory reports,1629
153199 - GIC Management of credit loans - Sectional Registry,44
Reuters Dealing phase 1,1516
E-Mider,597
Exception and Investigations ENIF KYC activity,679
Cyrcular Anti-Money Laundering Portal,486
GIANOS 3D Risk profile revision,802
PEGA CIB Clients Onboarding,1351
TigerZ,1760
RCD Digital Certificate Request,1446
CRB Cash Management SWIFT CCCO-ESCO MT940,361
CRB Cash Management SWIFT MOVIM MT942,362
CRB Cash Management SWIFT CBE MT941,360
CoRe - CRB SWIFT BONREM,414
IAR Reporting of a suspicious money laundering transaction,897
OA Taxation of financial income,1297
150037 XS01 Tax Pole,3
SME Retail evolution,1631
Retail Group rating,1512
Guarantee Identity Manager,875
SAP Proxy Management,1555
Credit Management Portal Prelios Extended Management,443
SAP R3 Accounting Suppliers Flow INBIZ,1557
Judiciary investigations,1016
KC0X Mailbox management,1023
Employee loans,669
SAP PY TFR and supplementary pension,1554
JERICHO Map events by inserter role,1009
JERICHO Question map,1011
J6TP Premise,1004
J6TP CAPRI operating functions,1002
NACT0 - Letter to the Prefect,1227
ESTEROWEB Foreign transfer,639
150809 - EM04 - Foreign Freight - New interface for foreign transactions,29
WIMT Where is my Trade,1836
MMSR – Money Market Statistical Reporting,1119
GPO Cancellation of titles,835
GPO Interest Rates,837
N600 Confirmation of receipt of envelope,1206
AO0 Calling of shareholders' meetings,137
New Employee Loan Offer,1289
Hub Operations MIFID Service Contract Storage,893
Archiving of service contracts MIFID Anomaly management,186
Taxes and Duties DUNI Delegate F24 Central Operations Department,1750
Taxes and Duties DUNI Delegation F24 Branches,1751
PULSE Formalization platform,1387
Collection platform,418
OCS Personal Loans,1300
MV Patti Chiari Transferability of banking products DTT service for branches,1159
HW0R Personalized management of customer communications,883
Supplier Administration,1694
M/L term credit - Central Offices,1083
Revenue Agency - Telematic Desktop,1518
IMI-SYND,933
Issue Net,997
E-VISUM,598
JN0I Management and inquiry of swift messages,1013
N500 Wire Transfers Italy Permanent Wire Transfers Premise,1203
VWBR/VWPF Query and/or send Swifts,1818
ESICO Accounting operations disbursement of values,631
ESPOV Exposure value drawer management,632
PASS Management of value transfer drawer,1337
Credit Portal Improvement of Employee Loans,450
SCD Station Control Status,1595
SAP OM Organizational Management,1549
QUMA Quadrature Matrix,1436
SmartADI,1682
CHICO Web - RNI,325
GeVoc Accounting Volture Management,859
FLAG Service management contract data variation function,716
WEBCARDS Introduction,1831
NPAF Advance Invoices,1260
GK00 Common functions warranty actions,818
LAPE Check extinction request,1041
MOPLE Non-performing Access to the application,1127
FLAG Reservation function,715
KC0X Box management,1018
PL PriceLab Monitoring,1364
MOPLE Non-performing Legal Practice Research,1131
RPC,1473
SALENT,1532
BFD - Modeled Layer - Target Accounting Model,208
Management ADV Financial Institution,1163
GIANOS 3D MCI Due Diligence Questionnaire,800
SL - Securities Lending Management,1625
Anacredit reporting,179
DACO Investments,488
Pension Advance - Dashboard,1401
External databases,688
cms,1918
fx extension,1921
Sale of Amortization Options on mortgages and personal loans,1654
Industrial Accounting Registry and Service Contracts-Industrial Accounting- RVP Catalog,980
Engine Fair Value Guarantees,672
MACS1 Basel 2 Preprocessor Adjustments,1091
Coope - Checks and tests section,431
Olympus dashboard,1320
PINC Portfolio Collections Treasury Post,1359
Credit Portal Perfecting Private Loans,454
GK00 Functionality,819
M0 - Anti-wear adjustments to data collection instructions for TEG calculation,1085
For Merit Loan of Hope,750
CHCI0 - Integrated Change Console 2.0,324
RMOI0 - Availability management,1466
DSMatch,522
HZ01 Single Telematic Treasury,884
CAMS Loading mandates with only one sub,291
CABE Loading beneficiaries,282
ICCC CC balances between hu and cc procedure (mein),900
PL Price Lab,1363
MA MdG Inquiry Registry,1088
PL PriceLab Offer,1365
UN - UNITES,1774
Document Filing Check Area Filing Criteria,571
Date Dictionary,556
ZAFI Revocation Management Service execution mode,1911
NMF - Tax Monitoring,1252
Disc0 Disclaimers,566
WebCard Queries about Group cards and services,1858
SIMEC - Euro Card Monitoring System,1614
UCAMP - Notification of cards from other institutes,1772
DYNG,538
Assignment of the fifth of the Prestitalia pension,191
Easy Export Portal,663
MOPLE Unlikely to pay Classification proposal,1144
FLAGS Introduction,721
DBDRFM,493
Factoring - FO24 web,736
Factoring - Rules Management,739
Factoring - GS00,737
Optimy,1322
DAF payment portal,489
Hyperion Web Analysis reports,894
INCA Query budget chapters,937
VABI Change in budget chapters,1792
CABI Loading budget chapters,283
ICTS Query treasurer's account,904
GBIL Budget management,760
VAES Year change,1797
INES Query exercises,944
IFPV Interrogation of a tied multi-year fund,917
GDEL Management of resolutions for new schemes,762
GFPV Management of multi-year restricted fund,793
IDEL Query of resolutions for new schemes,906
VABE Change in beneficiaries,1791
INBI Query of financial statements,936
INDB Question of budget resolutions,939
GEDB Loading resolution totals,774
CAVB Loading changes in the financial statements,300
KC0X Management of cash payments,1024
KC0X Management of entry lockbox contract,1025
KC0X Custody services Safety deposit boxes and closed envelopes,1020
SPECO Expense management accounting operations,1638
GK00 Plant,824
Connective Box,425
DOD simulator,511
AdG MdG Group management 136,162
NOVIM New Real Estate Enhancement Offer,1253
SAP PA30 Master Data Management - Update,1550
GEO Organizational Entity Management,782
SAP R3 CdG Cost Center Master Data,1562
SAP SIGI SOA Unified Master Data,1582
Rubicon Certificates,1527
Swift Alliance ICM Webstation Central Bank,1699
150861 - FXJ0-cross-border payments,33
EBA PWS Interactive Workstation,602
ASNA Contract Management,147
DSI Private Cloud,521
NK00 Start contract pg,1248
NK00 Tariff,1250
NK00 Management of Multichannel Contracts Introduction,1241
NK00 List of contracts,1240
D401 Classification of customers,487
NK00 Matching opt,1242
NK00 Print management,1246
CEBI Spimi,318
GESDD Direct Debit Management,785
POSTEL Certain date service,1370
A000 ISOR Inquiry requesting subscriptions,94
LAPE Main menu,1043
GEBON Transfer Management,768
LAPE Communications to the customer,1042
TELEPASS FAMILY Information by location,1715
BRACC BRGES Management of savings bonds,238
ESTEROWEB Waiting Account Processing,650
ESTEROWEB Easy Export framework contract,637
AdG MdG Group monitoring and Historical Inquiry,163
BEMB International Banks MultiBanca,205
Quality synthesis dashboard,1438
GAUT Authorization management,759
Match Points,1174
MCT Accounting Model Target Inventory Book,1103
OU Omnibus accounts,1310
OG Gross net tax substitute tax,1301
ZAFI Credit Cards Company Debit and Deposit Card,1884
DSO - Loans - Balancing and controls,527
Current Accounts - IYOS - Time Cash in Euros,472
BU00 Certificates of Deposit,246
Wallet,1845
Datamart,555
KondorImport WEB Interface,1039
Web TP,1853
ALMPro,133
M770,1087
CCP reports,303
Mople Unlikely to Pay Credit Assessment,1194
Current accounts - Intesa Sanpaolo Agents4You,478
COBE0 Copernicus Fair Value Credits,352
MOPLE Non-performing Credit rating,1129
My Key - Intesa Sanpaolo Agents4You,1196
PINC Create Report,1358
NP00 - Service execution mode - same day cancellation - reports transfer,1256
BROWS Browser Operation,240
LIMOV Movement list,1059
BLOOMBERG DATA LICENSE,225
GIANOS 3D Completion of this adequate verification of company and incapable person,796
FLAG Specific procedure for ordinary account and similar,719
DWH and Reporting,536
JCLCheck,1006
JADe,1005
Estream Documentation,674
ESTEROWEB Payment schedule,645
BUY Search for documentation,254
VUMAS Vulnerability Management System,1817
TODEAL COLTIT - Access Client to Aste Bankit,1724
A000 ITDE Inquiry deposit transfers,95
A000 IRCF Inquiry confirm branch change request,91
A000 GRCF Branch change request management,83
SAP R3 Purchasing Certification of service performance,1566
Factoring - Repayment Plans,738
FOR motor,723
BU00 Issue of Certificates of Deposit,249
BU00 Changes in Certificates of Deposit,248
N650 Management of single positions closing position,1219
N650 Queries,1226
N600 Confirm package to carrier,1205
T300 Lottomatica Introduction,1704
T300 Lottomatica The reservation handling procedure,1705
N600 Delivery of remittance parcels,1207
N650 Management of single positions forwarding values,1221
"N650 Management of single positions, return of values to p.o",1224
Aladdin – Robo4 Advisor,171
PerTe Loan Public Employees and MEF,1403
INPS Retired Loan for you,947
N500 Bank transfers Italy,1200
Market HUB portal,1171
E-Boards,584
CRH Counterparty Risk Hub Counterparty Risk Management,375
ED Reference standard settlement instruction,615
SL Security Lending,1626
LC0S Management of customer orders Payment schedule,1048
GEFAX Fax Management,775
MAPS extension,1095
BOXR Central Box Operations,236
Exception and Investigations Securities investigation processes,681
Register of Derivatives Listed Orders - MOTP,1487
FFastFill Trading Pro,699
Web ICE,1852
Ice,971
Bloomberg Electronic Platform,273
AloneIDEM,177
Work Station GUI,1864
FIX TRADING,712
A000 IMOV Inquiry movements,88
SAS - interface with CDM Number machine,1586
LookOut,1081
GeRICo Risk Management Allocation of Income Statement,858
ABC CambiaBanca - Functionality by Branch,113
GEMUL Multiple bank transfers for distinct management,781
BOMUL Multiple transfers Entering provisions,230
Document archiving Documentation request search Other documentation area,578
DDCAM Transfer Orders,495
TX00 Clear terms of portability,1737
SAP CO - Management Control,1541
Abroad WEB Interfaces DOF Abroad,155
IntelliMatch Confirmation Matching,988
SWIFT Certificate Centre,1651
Qualys,1439
Sponsorship management,1687
BJPA Negotiation of Meal Vouchers and Holiday Vouchers,221
ZAFI Account Association,1875
KC0X Closed envelope contract management,1019
KC0X Management of late payment management,1026
KC0X Premise,1029
KC0X Management of reversal payments for overdue,1027
KC0X Payment management,1028
PAGEF Receipts,1334
TAS Teleclearing Express II,1708
MOPLE Probable Defaults Research Legal Practice,1134
LISTS Foreign currencies acquisition of price lists,1066
IRIS Customer Risk Management Segmented customers Corporate Regulatory,956
A000 STIT Synthetic securities inquiry,102
Taxes and duties DPTS Proxy F23,1752
E-Views,599
Matrix calculation engine,1175
Group rating - Bank model,874
A000 Management of Administered Deposits,97
NK00 Multichannel Contract Management,1243
Current Accounts IY12 Account movements,474
E-CAM Requestable documents,588
WEBCARD Warehouse management,1829
ZAFI Credit Cards Card Reissue Company,1882
DB Eng,492
JERICHO Map administration,1008
GarWatch Fund First House,851
CMLT Section 0 Introduction Application and Safety,343
CMLT Change in installment due date and contractual options on Domus mortgages,338
ABC Personal Loans Platform,117
NZ00 Foreign specialist,1282
CRB Remote Contracts Product configuration,367
NPL Simulator,1264
Industrial Dialogue – NPL Simulator,981
GIC - TEG APR calculation simulator,806
A000 GRBA Assembly Ticket Request Management,82
GVIN Restrictions Management in A000 Finance Area,847
SAS VA,1590
MICN0 Integration services for compliant storage,1114
MFED ACROMET,1113
Strengthening Control Systems,1692
Geocall,861
WEB App KYC,1821
CENOC Occasional customer census,322
DYNG Func.01 Contract management/Product variation,540
Remote Banking LC0M Branch Monitoring,1500
A000 GNPV Management of traveling consignments,77
MR00 CMLT Capital contributions Leasing Third-party interest,1150
MR00 CMLT Investment Program,1151
DTCC Management of credit derivative confirmations,529
155133 FH00 Bank Registry,61
MOPLE Bad debts Classification proposal,1125
MOPLE Non-performing Suspended Lists,1133
EPC,624
MOPLE Bad debts Accounting operations and allocations,1124
MOPLE Unlikely to Pay Transfer of files,1143
Checks,403
NAIM Foreword,1231
TOTAS Totalization checks settlement contract tit negotiated,1727
Accounting and Traveling Entries,158
N601 Institute parameters,1214
DSI Levels of Service,520
Tagetik TOOL DAC 6,1746
CAPMAN Performance and Consumption,294
BUY Validation of documentation,256
F24IN Collections Tax collection model F24,691
F24NW F24 processing with OCR for DCO,692
RETAS Check Revision Web Check Dematerialization,1459
WEBCARD Waiver of the Group's card,1828
ZAFI Waiver with refund,1913
WEBCARD Queries on positions,1825
NAIM Signal Management Service Execution Mode interbank.,1232
155135 ISAC SEPA,62
Check management and securities research Introduction,401
BJD1 Authorizations to charge,212
NK00 Switching on contract pf,1249
Gary 2000,854
Disc0 Disclaimers,566
Disc0 Disclaimers Patti Chiari,567
ICM Information and Control Module,902
Kondor + IMI,1038
VECON Affiliated customer credit,1808
Y0 SEPA Direct Debit management,1873
PW00 Placement Report Transfer Management,1391
Integration Services RUD->Arch. according to law,987
MA MdG Introduction,1089
IJBL Bank Check Management Check evidence management,922
NU00 Management of monthly movements,1278
CCWEB - Web Central Cashier,304
Characteristic elements of the screens,399
Checks RICAS search for checks,406
DDACC SDD selective management,494
FINDO Loans domiciliation payments,702
CBORI extension,302
FINV Exposure of movements,706
FINV Entering customer questions,705
SNOW Third Party Security Portal,1633
BU00 Accounting operations Certificates of Deposit,244
MDEP Security deposit menu,1108
CCWEB ATM Management Outsourced Management,305
Current Accounts LAPE Reservation of c/c extinction,476
CAD - GINP - Management of input parameters for accounting and reporting,284
SIRE Fixed Income,1619
NP00 Portfolio procedure,1259
155144 Foreign SFA,64
PUSP Procédures Unifiées Segments et Portefeuilles,1388
NPCE Wallet in use Centralized Back Office,1262
Bank transfers Italy N5K0 Transfers query,266
BODES Transfers destination transfers arriving,228
Trader Desktop,1769
Unique Registry of Industrial Accounting and Service Contracts-Personal Data-KPI,1786
Load log historical archive,1079
Management of vault packages,1167
"A000 GNCS Loading, unloading and compensation management",75
Reporting,1505
Data Management,551
DSO - Agenda 3270,523
MCT Accounting Model Processing Master Data Target,1100
COBL0 Collateralisation of bank loans,353
QUATM ATM MTA balancing work session management,1435
IJBL Cashier's checks,923
ICRO Question C.R.O,903
AUTH Authorization functions,153
LLIN Infrastructure Counts Inquiry Settlements and Account Situation,1068
150859 - ETJB-Exposure of international cash management operations,32
LB0M Cash Management Monitoring,1047
MCT Accounting Model Target Processing,1104
TV0D,1734
SCI New General Accounting DATAMART Balance sheet pyramid,1598
Payment HUB platform,1396
WeRep,1849
E-MID,596
Cash and Treasury TESIN Operation TESIN Collection Prov. ticket,388
Unique Contracts Repository,1780
SAP R3 REFX Integration with Geoweb,1576
Contracted expense management,429
Register of Industrial Accounting and Service Contracts - DBEI,1488
Algorithmic Indices Platform,174
Garwatch Management of portfolio guarantees,853
BL Billing Corporate,223
BL Billing Enterprises,224
PoRE Real Estate Portal,1407
WeData,1847
DWR,537
Related Party Transactions,1494
MDA Master Personal data,1106
CLEARSTREAM,332
Finance - ICS,745
Remember TITLES function,1499
SFT verifier,1608
Public Apps - Google Play Store and Apple App Store,1428
Private Apps - Airwatch,1420
IBM Control Desk,898
Endevor,670
STMS - Change Management SAP,1648
TivoliWeb 2.0,1764
FINV Plan management,710
GOBI Accounting Procedure,829
SMP/E System Modification Program Extended,1632
HCD Hardware Configuration Definition,877
EUReg Controls EU regulation 2015 847,657
NIS extension,1236
EM20 - Wire transfers,620
Checks STORA checks history search,407
RICAS Search for Web Securities Dematerialisation of checks,1462
PAES Search for payment instructions for Branches,1333
MBON Temporary transfer management,1098
TESIN Treasury institutions Collection management,1721
Cash and Treasury Services TESPA TESIN,387
TEMUL Treasury Services Management of Collections and Payments.,1718
Group Counterparties Registry,868
GTCZ Condition management,844
IDOC Query documents,912
GIROC Giro account,814
TESCC Treasury management bodies movements on treasury account,1719
155032 Cash and Treasury Services TESCC,49
INPR Provisional question,946
eb extension,1920
CAD - GOUT - Management of output parameters for accounting and reporting,285
Customer Satisfaction Survey,483
Contingency Toolbox,428
Credit Monitoring Portal,445
ESTEROWEB Management Unpaid,642
ESTEROWEB Operation Blocks,644
CIRCE,329
Credit Risk Mitigation CRM engine,460
Credit Portal Guarantees of new procedure Active Guarantees,449
SITRAEM,1624
EBSO Foreign Operations Statistics,610
CVA PV HUB Aggregator,382
ASE - Algo Scenario Engine,146
TAS Teleclearing System,1709
GTT Treasury Securities Management,845
A000 GPCT Repo management,80
A000 GCVP Basket trading management,72
ENRR Back Office foreign reporting requests,621
ETBL Block accounts in currency,653
Data Repository,553
CSA management,379
CSA management,379
GIROV Management of operator value drawer,815
CSA Operator Menu,378
FFastFill,698
IS,958
CAD Finance Area Procedures,287
Inflation Pricer,982
Promontory SCPV,1424
XRA Counting of continuous overruns,1868
Checks GEAS Management of bank drafts,404
PMPI Multiple Payment Foreclosures,1369
PPIG Single Payment Foreclosures,1372
Management of the New Born Credit Fund,1166
CMLT Inquiry WEB,341
DRM - Report Manager,519
A000 DAYS Order entry management,69
DYNG Offsite offer,543
ZAFI Balance available,1876
Netreveal Management of anomalous activities and suspicious reports,1286
New Supplier Portal,1292
TigerZ Premise,1762
EEAC - Exchange message management,617
Creation online,439
EC07 - Transfer in currency,612
GK00 Issue of pledge on administered deposit,822
A000 ISAV Inquiry balances,93
Request Business Cards,1507
CAUI Controls AUI Headquarters,299
G4LG-Commission Management,757
GPO Initialization of the database,836
Megarete assaults on staff,1178
ABC Control table Power supply parametrization rules,115
New PMI Agreement 2019 Lengthening ML,1290
New PMI Agreement 2019 Suspension of installments and BT extension,1291
Evolutionary Requests and Macro-estimates,676
Functional Test Dashboard,756
RECOI,1450
ZW0M Standard Table Management,1915
CRC Certifications for Auditors,368
Deposit Certificates,561
PINC Portfolio Evidence,1360
RECE0 Reporting and Hedging,1449
BJIS Collections at the counter,218
Factoring - Collection Portal,734
ZAFI Payment cards Carta SI Viacard Telepass,1900
BTS extension,242
SAP Expense Report Approval,1544
Credoc Web ISP General Principles and Common Standards,469
XS01- CAPITAL GAIN,1871
DEVCF Device Configuration,503
LRS WEB Rate Risk Data Management and Processing Dashboard,1072
DMP2 - Data management Pillar II,507
Irion DQ – Registry - data analysis for the Revenue Agency,995
Credit Risk Pillar II - Calculation of Economic Capital,461
Credit Risk Pillar II - PD and TD,462
Data acquisition and preprocessing for SSM,554
ZAFI Methods of execution of the contract reprinting service pos,1896
Post-Sales POS Customer Journey,1413
ZAFI Methods of execution of the contract variation service pos,1897
E-Catalog Ticket Web Values,594
AARN Registry report,110
RTC Rational Departmental Team Concert,1477
Aldon,172
GIT GitHub Enterprise,816
Rational Clear Case,1481
MORC Accounting Rules Engine,1147
PGA guarantees table,1353
MAC,1090
OMGEO-CTM,1303
TRAX extension,1730
GEC Communications Manager,770
FairPrice,742
151439 - Q8MN-Procedure for Insurance Premiums,40
Portal of Credit Guarantees PNRR,1411
Comma Web,420
RI AN.New Anti-Money Laundering Research,1461
GIANOS Internal controls AUI control modules,804
Developer Portal,563
Artifactory,187
150800 - 3 - T.P. Abroad Operations on behalf,27
Remember GENERAL function,1495
EBD7 NPE ignition,609
SetWEB Instructions Oper.Soc.Lista Assembly Tickets,1661
CoRe - CRB SWIFT BON101,413
CoRe - CRB INBIZ SWIFT Inbound information,412
Consolidated Tagetik - Disclosure Management,426
Consolidated Tagetik - Disclosure Management,426
Consolidated Tagetik - Disclosure Management,426
BEAC Foreign Banks Opening of Accounts,204
SAP HR Management of the deputy director,1547
SAP R3 Purchasing Purchase Request (Procurement Centralization),1568
IDST Separate query,913
ITRA Document transit archive query,969
152709 - CASH AND TREASURY SERVICES Integrated Management of Treasury Flows,41
GIFT Telematic flow management,812
PUSP Procédures Unifiées Segments et Portefeuilles,1388
PUSP Unified Groups and Portfolios Procedures,1390
SIRE Holders,1620
GK00 Guarantees received,820
NU00 Management of counterparty bank relationships,1277
A000 GRAO Single order revocation management,81
External fax system,689
SAP HR Curriculum Vitae,1546
BSF Balance Sheet Forecasting,241
FX ALL,727
360T,65
Reuters Dealing,1515
Acquisition FEX deal,160
NAG - replica db and access components,1228
BCS Bit Clearing Station,203
Nemo english version,1285
SETWEB Portal for Institutional,1607
DUNI Management of attached/withheld amounts,532
DUNI Transfers,533
Gianos 3D Evaluation Unexpected WEB,863
VDM - VolckerRule Data Management,1804
Jobs Journal,1015
Broker Tool,277
BX Credit Transfer,258
Leveraged Management Credit Portal and IFRS9,1076
ZAFI Introduction,1892
SAP R3 CdG Reporting Manual,1563
OTI Outsourcing and Internal Pricing,1309
ZAFI Company Credit Cards interrogation of credit balance position,1880
ABC Out of Office Offer Provision,116
DYNG - Centralized Withdrawal Off-Site Offer Operations BDT,539
"ZAFI Prepaid card, pre-delivery of card to company",1907
ClearPar,409
MTFAM Remittances abroad GETMONEY TO FAMILY and EXPRESS TO FAMILY,1156
ESTEROWEB Transfer expired,649
ASNA General introduction and product list,148
SAP BPM Workflow – certificates direct listing,1540
LOL of Borsa Italiana,1071
GIFI Initial fundraiser,811
INEN Query for institutions,943
ISPE Query of expenses (inhibited),965
GINC Transfer,813
FLAG Specific procedure for account in foreign currency,717
Back Office document archive management,259
CSR Tableau de Bord Loading data Social report,381
SIGMA Armament Materials Management Information System,1612
NQ00 Withdrawal management service execution mode,1270
NQ00 Method of execution of the payment management service,1267
Banca Vobis MicroCredit platform,263
RM File Viewer,1465
155042 IK95 Bridge UniversitHouse,50
User manual of the ABI-CEI Bank Module platform,1789
Comit indices,419
ESTEROWEB Time Cash in foreign currency,648
QMF Query Management Facility,1431
General Accounting Autce,860
NU00 Management of 034 messages sent by counterparties,1275
CCWEB Management of Damaged Banknotes,309
N650 Management of single currency positions after collection,1218
N600 Foreign currency remittance reservation,1208
A000 GPAS Management of request for permanent issue of Meeting Tickets,79
X Ceed Trading System,1865
J-Trader,1000
SAP R3 REFX Condominium Management,1574
ZV0L Table editor,1914
FW01 List of BIC codes,726
"155141 PAES Payments to Companies, Organizations and Companies",63
Gaudì - Mortgage management,856
Country Risk Expected Loss,437
TAX ONE,1711
Portfolio Repository,1412
RNAFlow SME Initiative,1468
Suspended monitoring dashboard,1696
ION,952
Reuters Dealing phase 2,1517
150316 Q Brochures Ordinary,19
150316 I Guide to the financial analysis of the balance sheet of manufacturing companies,13
150316 P Brochure IAS-IFRS,18
150316 L Guide to the financial analysis of the financial statements of financial companies,15
150316 Or Financial Brochures,17
150316 M Guide to financial analysis: self-financing and cash flow,16
TV0D DTE data management,1735
Interruptive dashboard,991
TARGET,1707
MOPLE Non-performing Legal Practice Closing,1130
BBG-STW,201
VAAS Change in advances and releases,1790
MOBU - Collections Payments Dashboard,1121
FLAG Contract data change function Account transfer function,714
PRICE Research and management of agreements,1385
Patsystem,1394
LSO_PSV1 Participation menu,1073
NPL Portfolio Focus,1263
Tick Manager,1759
Deal Manager,557
OPNET,1308
153408 FILEGATE SPACE (ex SGC3),47
WLTP Gari 2000,1838
Issuer website,998
