controlCategory,controlType,controLPeriodocityEnglish,control,controlID
Other,Manual,Per event,Check the requirements - II level of authorization,1607
Other,Manual,Per event,Check the requirements,1605
Other,Manual,Per event,Check the requirements - III level of authorization,1608
Other,Manual,Per event,Verify that the settlement has been successful,2866
Other,Manual,Per event,Verify that the payment was successful,2846
Other,Missing,Missing,Verify that the request of the interested party has been correctly managed on the information systems,2860
Other,Missing,Missing,Check that the documentation sent to the interested party does not contain personal data of third parties,814
Other,Missing,Missing,Verify that the outcome of the automated decision process has been manually corrected,2841
Other,Missing,Missing,Verify that the corrections/integrations of personal data have been made,2803
Other,Missing,Missing,Check that the documentation sent to the interested party does not contain personal data of third parties.,815
Operational,Missing,Missing,Identify blocked operations in accounting and resolve any anomalies,1845
Other,Semi-automatic,Per event,Check individual options expiring positions,666
Other,Semi-automatic,Per event,Verify regulation and make adjustments,2714
Other,Missing,Missing,Check the findings of the Branch,1444
Other,Semi-automatic,Per event,Verify in the system that the service has been deactivated,2624
Other,Missing,Missing,Verify that the guarantee acquisition phase is correct,2830
Other,Semi-automatic,Per event,Confirm cash collateral / personal guarantee in ledger systems,1772
Other,Semi-automatic,Per event,Check that the metadata is entered correctly,829
Professional,Manual,Per event,Check data entry congruence in WL,436
Other,Missing,Missing,Check the timing,1680
Other,Manual,Quarterly,Check effective preparation and successful transfers,473
Professional,Manual,Monthly,"Check effective input data extraction of interest, commissions, account balance and write-offs",470
Professional,Manual,Monthly,Check effective margin input data extraction,472
Operational,Manual,Monthly,Carry out the consistency check,226
Other,Manual,Quarterly,Check the effective communication of payment data,1413
Other,Missing,Missing,Check the data of the active invoice,1362
Other,Manual,Monthly,Check the output,1525
Professional,Manual,Monthly,Check effective input data extraction of perforating reasons,471
Other,Manual,Quarterly,Check accounting,305
Professional,Semi-automatic,Quarterly,Check simulation output,752
Other,Semi-automatic,Quarterly,Perform diagnostics and verify the integrity/goodness of data and analysis parameters,2011
Other,Manual,Monthly,Carry out drift and trend checks,173
Other,Manual,Monthly,Carry out deviation and performance checks of the measurements of the banks in the ISBD perimeter and other decentralized ones,172
Other,Manual,Monthly,Monitor compliance with operating limits,1902
Other,Manual,Per event,Verify correct limit update,2473
Other,Manual,Monthly,Verify proper loading of system tables,2680
Other,Semi-automatic,Monthly,Check the diagnostics of the calculation of the risk measures,1389
Other,Manual,Half yearly,Check Expected Loss update,281
Other,Manual,Per event,Verify that the relief has been processed,2854
Other,Manual,Per event,Verify the information received or produced,3916
Other,Semi-automatic,Per event,Verify data entered to create Purchase Order,2566
Other,Manual,Per event,Check consistency of prepared documentation,386
Other,Missing,Missing,Check the supplier's order confirmation,1668
Other,Missing,Missing,Verify the Purchase Order issue data,2908
Other,Manual,Quarterly,Verify reconciliation with accounting,2710
Other,Manual,Quarterly,Verify correct data download,2440
Other,Manual,Quarterly,Verify the consistency between the general ledger and the Budget application,3085
Other,Manual,Monthly,Check risk retention percentages on GARC tranches,743
Other,Automatic,Monthly,Verify the correct entry in SIRE of the data relating to the generic reserve of the foreign branches,3342
Other,Manual,Monthly,Compare the expected loss data with the definitive generic reserve,1763
Other,Manual,Monthly,Verify consistency and completeness in determining the definitive generic reserve,2359
Other,Manual,Monthly,Verify the correct determination of the generic definitive reserve for operating credits.,3330
Other,Manual,Quarterly,Verify hedge accounting coverage,2617
Other,Manual,Monthly,Check data acquisition for performing credit reserve calculation,426
Professional,Manual,Per event,Verify Final Business Plan,2194
Other,Manual,Per event,Verify the correct discharge of the guarantee,3335
Other,Missing,Missing,Check the correspondence of the actual final recipient with the form,1319
Other,Other,N.A.,Check correct completion of the form,397
Other,Missing,Missing,Check for privacy consent C6,590
Other,Semi-automatic,Quarterly,Verify the correctness of the reported data,3778
Other,Automatic,Quarterly,Check that the data has been loaded correctly,804
Other,Semi-automatic,Quarterly,Verify the correctness of the data produced by the application,3672
Other,Semi-automatic,Quarterly,Verify the complete and correct loading of the data,2997
Other,Manual,Quarterly,Carry out a trend analysis of the data,127
Other,Semi-automatic,Quarterly,Check the correct import of data into the application,1192
Other,Missing,Missing,Check that the data has been sent,805
Other,Semi-automatic,Quarterly,Verify the correctness and completeness of the processing carried out,3556
Other,Manual,Quarterly,Verify that all packages in the phase are certified,2755
Other,Automatic,Quarterly,Verify that the errors have been corrected,2825
Other,Semi-automatic,Quarterly,Check the corrections of the structures responsible for entering the data,1217
Other,Semi-automatic,Quarterly,Run the diagnostic at the original scenario level and verify the diagnostics,2092
Other,Automatic,Quarterly,Verify the completion of the consolidation,3059
Other,Semi-automatic,Quarterly,Run the diagnostic procedure at the original scenario level and verify its outcome,2094
Other,Semi-automatic,Daily,Check for negative balances,580
Other,Missing,Missing,Check that privileges are revoked if no longer needed,766
Operational,Missing,Missing,"Check alignment between administrative privilege, enabling code and assignment code",315
Other,Manual,Quarterly,Check the data calculated for exposure from securitizations of sponsoring companies,1335
Other,Manual,Quarterly,Check the data calculated for traditional own securitisations,1338
Other,Manual,Quarterly,Check the data calculated for synthetic securitisations,1336
Other,Manual,Quarterly,Check the data calculated for third party securitizations,1337
Other,Semi-automatic,Annualy,Perform checks on totals,2002
Other,Semi-automatic,Annualy,Check the data entered in Form 770,1343
Other,Semi-automatic,Annualy,Check and correct the data,325
Other,Missing,Missing,Take action in the event of an abnormal termination of processing,2120
Other,Manual,Annualy,Compare the available evidence with the owner structures,1762
Other,Manual,Per event,Check the completeness of the documents and the document registration data,1038
Other,Manual,Per event,Check the correct compilation of any missing parts,1170
Other,Manual,Per event,Wrong preparation of the text,4059
Other,Manual,Per event,"Verify all the data and signatures required in the ""Certification of Warranty Form""",2238
Other,Manual,Daily,Tick error counting operations,2130
Other,Manual,Per event,Check for permission to proceed,586
Other,Manual,Daily,Check for open positions,584
Other,Manual,Per event,Check that the data has been uploaded,806
Other,Manual,Per event,Verify the correctness of the data subject to the contribution,3677
Other,Manual,Per event,Verify the contribution has been made,3144
Other,Manual,Per event,Verify assignment of YARL to new contributing facility,2276
Other,Manual,Per event,Check siding census,748
Other,Manual,Per event,Verify the correct registration of the First Manual Note,3462
Other,Semi-automatic,Daily,Check for misalignments between ledger and accounting,578
Other,Semi-automatic,Daily,Check the outcome of the processing performed by the system,1521
Other,Manual,Daily,Check the correspondence between ledgers and account balances,1311
Other,Manual,Daily,Verify accounting consistency within the Sire ledger,2217
Other,Manual,Daily,"Verify, and possibly complete, the census of elementary accounts",4050
Other,Semi-automatic,Per event,Check the outcome of sending the supplementary flow of the supervisory report,1516
Other,Semi-automatic,Monthly,Check the result of sending data for supervisory reporting,1611
Other,Manual,Monthly,Check the supervisory reporting form with the account balance,1664
Other,Missing,Missing,Verify effective compliance with the agreements,2586
Other,Manual,Per event,Verify correctness and congruence of the census of the voluntary mortgage,2524
Professional,Manual,Per event,Check that the data entered manually is correctly entered,800
Other,Manual,Per event,Verify correctness and congruence of the census of the judicial mortgage,2523
Other,Semi-automatic,Per event,Check the correctness of the operation on the position keeping system,1287
Other,Semi-automatic,Per event,Check for stuck or error messages,602
Other,Semi-automatic,Per event,Check for errors or pending messages,568
Other,Missing,Missing,Verify successful completion of the transfer,2742
Other,Automatic,Per event,Check the valorisation of the fields necessary for the classification of a report in the non-finance area,1709
Other,Automatic,Per event,Verify that required information is entered when opening and closing the incident,2773
Other,Automatic,Per event,Check the enhancement of the priority level of an incident,1415
Other,Automatic,Per event,Check the enhancement of the priority level of an incident.,1416
Other,Automatic,Per event,Verify the closure of the Incident,2988
Other,Automatic,Per event,Verify the correct archiving of incidents,3244
Other,Automatic,Per event,Check the recovery note documentation for an incident,1576
Other,Semi-automatic,Daily,Verify the completeness and correctness of the day-end data downloads,3019
Other,Manual,Daily,Evaluate the acceptability of the price change proposed by the Trader,1811
Other,Semi-automatic,Daily,Check the completeness and correctness of the data received from infoprovider,1005
Other,Manual,Per event,Verify correct updating of the plan and connection of the accounts,2512
Other,Automatic,Monthly,Check the outcome of the processing phases of the Financial Engine,1522
Other,Automatic,Monthly,Report completion of the preparation of reports and diagnostics,2081
Other,Semi-automatic,Monthly,Carry out the performance check of the input data for the Euro Area Sub-consolidated perimeter,243
Other,Semi-automatic,Per event,Verify the consolidation process of the Euro Area Sub-consolidated perimeter,3139
Other,Semi-automatic,Monthly,Verify correct acquisition of the flows received in the Staging Area,2404
Other,Missing,Missing,Analyze the changes and verify the performance trends of the balance sheets,68
Other,Manual,Per event,Check the documents loaded in the envelope,1409
Other,Manual,Per event,Check the interventions carried out,1469
Other,Manual,Monthly,Make the balances of the economic items (Pecobill - NCG),1871
Other,Semi-automatic,Monthly,Check valuation of accruals on L&R securities,1728
Other,Manual,Monthly,Make balances between sectional accounting and general accounting,1865
Other,Semi-automatic,Monthly,Verify correct accounting of the amortized cost,2397
Other,Manual,Per event,Check the documentation signed by the Customer,1403
Other,Semi-automatic,Daily,Perform qualitative and quantitative controls,2016
Other,Manual,Per event,Carry out the preliminary checks on the possibility of operating on the foreign market for the debtor,245
Other,Manual,Monthly,Check correct compilation of the forms,395
Other,Semi-automatic,Monthly,Check your submissions,1742
Other,Semi-automatic,Quarterly,Verify the correctness of the information acquired relating to the additional information,3729
Other,Manual,Quarterly,Check the alignment between the data acquired from the historical archive and accounting,924
Other,Manual,Quarterly,Verify the alignment between the data acquired relating to the adjustments on non-performing derivatives and the accounting,2945
Other,Semi-automatic,Quarterly,Verify the alignment between the balance sheet archive and accounting,2944
Other,Manual,Quarterly,Reconcile the balance sheet items with the IAS ledger balances generated by the balance sheet archive,2067
Other,Semi-automatic,Quarterly,Examine the Report Generation error logs,1831
Other,Manual,Quarterly,Verify the correctness of the information acquired relating to credit adjustments,3728
Other,Semi-automatic,Quarterly,Check the imported data,1455
Other,Automatic,Quarterly,Supervise the processing phases,2115
Other,Manual,Weekly,Check criticality level locations to assign,419
Other,Manual,Monthly,Verify the correct assignment of the level of criticality,3246
Operational,Missing,Missing,Trace accesses (allowed and denied) to Cloud Azure systems by means of automatic tools,2141
Operational,Missing,Missing,Trace the use of the areas and spaces given for viewing by Guest users,2142
Operational,Missing,Missing,Ensure that automated deprovisioning processes are operating properly through monitoring systems,1797
Operational,Missing,Missing,Ensure that automatic provisioning processes are operating properly through monitoring systems,1798
Other,Semi-automatic,Quarterly,Carry out formal checks,179
Other,Semi-automatic,Quarterly,Perform correctness and consistency checks,2006
Other,Semi-automatic,Quarterly,Carry out performance and consistency checks,189
Other,Semi-automatic,Quarterly,"Oversee the outcome of statistical, performance and consistency checks",1988
Other,Automatic,Quarterly,Supervise the outcome of the automatic technical checks,2113
Other,Missing,Missing,"In the post-sales management phase, check the completeness and correctness of the data in the registry",1853
Other,Manual,Per event,Check data loaded into the system,441
Other,Manual,Weekly,Check outstanding SDD debit provisions,704
Other,Manual,Daily,Check consistency between billing data and SDD charge flows,382
Other,Manual,Per event,"Check that the amount entered has been paid and communicate ""Payment made"" by email to the reference structure.",783
Other,Manual,Per event,Verify the correctness of the submitted documentation.,3795
Other,Manual,Per event,Verify the correctness of the documentation produced,3694
Other,Manual,Per event,Check the correctness of the guaranteed amount,1280
Other,Semi-automatic,Per event,Check the correctness of the data,1259
Other,Manual,Per event,Check the correctness of the data present in the LRS system,1264
Other,Manual,Per event,Analyze the received data,77
Other,Manual,Per event,Verify the data present in Hermione,3843
Other,Manual,Daily,Check the correctness of the downloaded database,1273
Other,Manual,Daily,Check that the entered data is correct,816
Other,Manual,Daily,Verify the correctness of the data entered in the Front Office systems,3662
Other,Manual,Annualy,Perform consistency checks,2005
Other,Manual,Annualy,Check the correctness and completeness of the uploaded data,1233
Other,Manual,Annualy,Verify that the tabs are correct,2871
Other,Manual,Annualy,Verify the consistency of the acquired data,3100
Other,Manual,Monthly,Verify the correct recognition of the releases of the provision for risks,3459
Other,Semi-automatic,Monthly,"Carry out a reconciliation of the fund, of the receivables from the tax authorities in capital and interest accounts, of the related debts by comparing the management with the accounting",124
Other,Manual,Monthly,Check and arrange scraps in Pandora,322
Other,Manual,Monthly,Verify the consistency of interest income and accruals for the period,3089
Other,Manual,Quarterly,Carry out an analytical reconciliation of the Miscellaneous Items and of the accounting of interest on payables and receivables,133
Other,Semi-automatic,Monthly,Check in Pandora the correct generation of the flow to be transmitted to the accounting system,664
Other,Semi-automatic,Monthly,Verify the correct generation of the event for posting the adjustment entry,3390
Other,Semi-automatic,Quarterly,Verify the consistency of the provision entered in the system with what was resolved,3126
Other,Semi-automatic,Monthly,Verify the correct accounting of the flow transmitted by Pandora in the accounting system,3166
Other,Manual,Per event,Verify the valorisation proposal for the data pertaining to financial risks,4040
Other,Manual,Per event,Check the valorisation proposal for the credit risk data,1711
Other,Missing,Missing,Verify the correctness of the communication,3642
Other,Missing,Missing,Verify the correctness of the statement,3792
Other,Missing,Missing,Verify the existence of the conditions for the delay,3883
Other,Missing,Missing,Verify the correctness of the communication of the information,3643
Other,Manual,Missing,Definitively check the presence and/or capacity of the credit line,1788
Other,Missing,Missing,Check that the Pricing Policy and the Allocation Policy have been sent to the Issuer.,774
Other,Missing,Missing,Check the contents of the mandate,1138
Other,Manual,Missing,Verify the acquisition of consent by the Head of Management for the application of the commission not in line with the DCM Commission Tables.,2932
Other,Manual,Missing,Definitively check the presence or capacity of the credit line,1789
Other,Manual,Per event,Verify the correct compilation and signing of the contractual documentation,3280
Other,Manual,Per event,Verify the correctness of the contractual documentation produced,3651
Other,Missing,Missing,Verify the correctness of the contractual documentation produced,3651
Other,Missing,Missing," Verify the truthfulness, completeness, adequacy of the data and information",34
Other,Other,N.A.,Verify the formal correctness of the arrangements,3899
Other,Other,N.A.,Verify logical and formal differences in procedure,2631
Other,Other,N.A.,Verify capital gains statement to be sent to customers,2288
Other,Other,N.A.,Verify correct zeroing of masters,2513
Other,Other,N.A.,Check current account debit transactions,421
Other,Other,N.A.,Verify operating results determined by procedure,2646
Other,Other,N.A.,Verify the passage of debits on customer current accounts,3945
Other,Other,N.A.,Check monthly processing booking result,691
Other,Other,N.A.,Verify and authorize sending certifications to customers,2245
Professional,Semi-automatic,Per event,Check the machining of the positions,1490
Operational,Missing,Missing,Check if further information is needed to be included in the request for creation or modification of the technical user,650
Operational,Missing,Missing,Keep data updated (cancellation of technical users on local authentication systems),1858
Operational,Missing,Missing,Evaluate whether disabling the utility causes blocking operational impacts,1823
Operational,Missing,Missing,Keep data updated (change privileges associated with technical users on local authentication systems),1859
Operational,Missing,Missing,Evaluate whether the request for disabling or eliminating the technical user can be approved,1825
Operational,Missing,Missing,Check if further information is needed to be included in the request for credentials by way of derogation,651
Operational,Missing,Missing,Evaluate whether the request to create or modify the technical user can be approved,1826
Operational,Missing,Missing,Evaluate whether the request for derogatory credentials can be approved,1824
Operational,Missing,Missing,"Check, if the derogation is necessary, that it has already been approved and released",1744
Operational,Missing,Missing,Verify that the credential waiver has already been issued and approved,2805
Operational,Missing,Missing,Check if a derogation is needed,648
Operational,Missing,Missing,   Keep data updated (creation of technical user on local authentication systems),1
Other,Automatic,Per event,Check for the presence of the 'Syndicated Contract Identifier',625
Other,Manual,Per event,Verify and reconcile data between Loan IQ and SIRE,2263
Other,Semi-automatic,Monthly,Reconcile lines of credit,2064
Operational,Manual,Per event,Check the complete completion of the form,990
Professional,Manual,Per event,Check the supervisory flows,1663
Operational,Manual,Per event,Ensure the up-to-dateness of the checks carried out before authorizing the transfer,1800
Professional,Manual,Quarterly,Periodically monitor the capacity of the cumulative annual loss limits,2025
Operational,Manual,Per event,Verify the determination of any economic loss,3856
Professional,Manual,Per event,Verify the correct and complete compilation of the document/email,3208
Other,Manual,Per event,Check payment arrangement,710
Operational,Manual,Per event,Check payment arrangement,710
Operational,Manual,Per event,Verify the correctness of the asset's posting value,3615
Operational,Manual,Monthly,Verify accounting records,2225
Other,Manual,Per event,Verify acquisition of formal documents,2227
Other,Missing,Missing,Check the completeness of the documentation and instructions assigned,1033
Other,Missing,Missing,Manage documentation requests,1877
Other,Manual,Annualy,Verify the correct and complete implementation of the observations that emerged during the presentation of the package to the Corporate Governance Bodies,3221
Operational,Manual,Daily,Verify compliance with the deadlines for feedback on the draft contracts,2330
Operational,Manual,Per event,Verify the correct extinction,3378
Other,Manual,Per event,Verify exact accounting,2598
Other,Manual,Monthly,Check the correctness of the extracted handling,1277
Other,Automatic,Per event,Check the presence of the master data templates,1544
Other,Manual,Per event,Check the signing of salary-backed loans and/or previous foreclosures,1639
Other,Manual,Per event,Verification of the severance indemnity calculation,2188
Other,Semi-automatic,Daily,Check the Daily Report B08 and the MT 535 account statement of the Bank of Italy.,871
Other,Semi-automatic,Monthly,Verify TIT curves in derogation loaded in the system,2209
Other,Manual,Monthly,Check the consistency of the uploaded data,1127
Other,Manual,Per event,Verify the correctness and exhaustiveness of the Note,3568
Other,Missing,Missing,Check Process Guide/Chapters for formal verification,289
Other,Manual,Per event,Verify that the concordance opinion has been acquired/issued,2800
Other,Manual,Per event,Check that the accounting has taken place,780
Other,Manual,Per event,Verify the closure of the Varied Match,2989
Other,Manual,Per event,Verify closure of miscellaneous consignment,2290
Other,Manual,Annualy,Verify the correctness of the distribution made regarding the contribution to the ECB,3692
Other,Semi-automatic,Annualy,Check that the Fee Factor Report has been sent to the ECB,772
Other,Manual,Annualy,Verify the correctness and completeness of the Risk Exposure data,3533
Other,Semi-automatic,Annualy,Verify that the Total Assets data is correct,2782
Other,Manual,Annualy,Check the consistency of the estimate of the contribution to the ECB,1106
Other,Manual,Per event,Check the entered operation,1419
Operational,Manual,Per event,Carry out checks on the subject of Aml/CTF or Countering the Financing of Terrorism,163
Operational,Manual,Per event,Check the correct and complete execution of the cancellation,1158
Other,Manual,Per event,Check customer census and existence of a large credit line,422
Other,Manual,Per event,Check licenses,672
Other,Manual,Per event,Start checks on the operational and legal feasibility of the structure,2106
Other,Missing,Missing,Verify publication,2687
Other,Missing,Missing,Check published documentation,726
Other,Missing,Missing,Check front office system blotter,642
Other,Missing,Missing,Check relevant operations,735
Other,Semi-automatic,Daily,Verify the connection between the evidence of the deals in scope with the confirmation of the counterparty,3073
Other,Semi-automatic,Per event,Check for discarded deals,560
Other,Semi-automatic,Per event,Check for blocked deals,544
Other,Manual,Per event,Check data file to be sent,440
Other,Semi-automatic,Daily,Check the connection in FC HUB of the deals in the perimeter,1081
Other,Manual,Daily,Verify relevant operations,2717
Other,Missing,Missing,Check the correctness of the received data.,1295
Other,Manual,Per event,Verify the correct entry of the data subject to modification on the position keeping system (2),3354
Other,Manual,Per event,Verify the correct entry of the data subject to modification on the position keeping system (3),3355
Other,Manual,Per event,Verify the correct entry of the data subject to modification on the position keeping system (1),3353
Other,Manual,Monthly,Check for any anomalies,503
Other,Manual,Per event,Verify the correct entry of the data subject to modification on the position keeping system (4),3356
Other,Semi-automatic,Daily,Check for any squaring,539
Other,Manual,Per event,Verify that the settlement has taken place,2867
Other,Manual,Per event,Check sending and acceptances,744
Other,Manual,Per event,Verify the success of the transactions,4020
Other,Manual,Per event,Verify correct census of consent,2426
Professional,Manual,Per event,Verify the correct assumption of the resolution,3250
Operational,Manual,Per event,Verify completeness and correctness of the documentation,2305
Operational,Manual,Per event,Verify the correct accounting of the operation,3168
Operational,Manual,Per event,Check the correct forborne registration,1190
Other,Semi-automatic,Quarterly,Verify complete and correct data consolidation,2294
Other,Semi-automatic,Quarterly,Verify the performance consistency of the consolidated data,3953
Other,Semi-automatic,Quarterly,Check the consistency of the COREP_LR_CON base,1090
Other,Manual,Quarterly,Verify the correct and complete loading of the data,3223
Other,Manual,Quarterly,Verify the correct and complete entry of the first notes,3215
Other,Manual,Quarterly,Monitor the certification of phases,1934
Other,Semi-automatic,Quarterly,Verify the formal and behavioral correctness and the completeness of the data present in the phases,3894
Other,Semi-automatic,Quarterly,Verify the behavioral consistency of the data present in the phases,2969
Other,Missing,Missing,Check for rejects or anomalies in the phase generated by the system,596
Other,Semi-automatic,Per event,Check the correctness of the results obtained,1300
Other,Manual,Per event,Verify the correctness of the data entered in the Electronic Loan Practice or ONE,3661
Other,Manual,Per event,"Verify that you have performed the SPPI Test in the foreseen cases before completing the Proposal and, based on the outcome, carry out the necessary activities",2895
Operational,Manual,Per event,Possible incorrect execution of the SPPI Test,2027
Other,Manual,Per event,Verify the calculation of the Deliberative Competence,2972
Other,Semi-automatic,Per event,Check eligibility requirements,476
Other,Semi-automatic,Annualy,Verify correct data extraction,2441
Other,Semi-automatic,Annualy,Monitor the prepared flows,1956
Other,Manual,Per event,Verify that commissions are correctly accounted for,2761
Other,Missing,Missing,Monitor the progress of the action plan,1958
Other,Manual,Weekly,Monitor the expiry of the stipulation term,1948
Other,Manual,Per event,Verify the correct insertion of the resolution in the external portal,3409
Other,Manual,Per event,Check for elements impeding the issuance of the certificate of willingness to grant the loan,562
Other,Manual,Per event,Verify the correct entry of the stipulation data in the external portal,3360
Other,Manual,Per event,Verify and validate the prototype,2271
Other,Manual,Per event,Verify the correct reporting of the criticality to the Confidi with reference to the relative arrangement,3473
Other,Semi-automatic,Daily,Balancing interprocedural accounts,103
Other,Semi-automatic,Per event,Verify the correct value of the payout,3518
Other,Manual,Per event,Verify correct loading,2474
Other,Manual,Per event,Verify correct attribution to the system,2420
Other,Manual,Per event,Check coupon value and confirm,413
Other,Missing,Missing,Monitor the operations put in place by the supervised in financial instruments investment services,1953
Other,Manual,Annualy,Verify the correct and complete compilation of the file useful for the declaration and settlement,3209
Other,Manual,Annualy,"Verify data aggregation, calculation of consolidated IRES, balance and 1st down payment",2558
Other,Manual,Annualy,Verify that you have received the requested information from all interested companies,2903
Other,Manual,Annualy,Verify the correctness of the communications with respect to the results,3645
Other,Manual,Annualy,Check the completeness of communications with respect to the perimeter,1019
Other,Manual,Annualy,Verify the correctness of the payment,3753
Other,Manual,Annualy,Verify the payment of the IRES balance and 1st down payment to the Treasury,3948
Other,Manual,Annualy,Check the correspondence between the expected debit/credit balances,1315
Other,Manual,Annualy,Check data aggregation,428
Other,Manual,Annualy,Verify the payment of the 2nd down payment to the Treasury,3947
Other,Manual,Annualy,Guarantee the correct payment of the 2nd IRES advance to the tax authorities and the companies,1841
Other,Manual,Annualy,Check accounting,305
Other,Missing,Missing,Verify that you have received the requested information from all interested companies,2903
Other,Manual,Annualy,Verify the correspondence between the exposed expected debit/credit balances,3820
Other,Semi-automatic,Per event,Check for errors,565
Other,Manual,Per event,Check that the operation is entered correctly,833
Other,Manual,Quarterly,Run diagnostic checks,2088
Other,Manual,Quarterly,Verify and possibly adjust the Personnel entries,2260
Other,Manual,Monthly,Check the squaring and proceed with their arrangements,1648
Other,Manual,Monthly,Run diagnostic checks,2088
Other,Manual,Quarterly,Verify the correct generation of the matrix entries and the signaling flow,3391
Other,Manual,Per event,Check totals for technical shapes and items,1723
Other,Manual,Monthly,Carry out systematic balancing checks,217
Other,Manual,Monthly,Perform diagnostic checks,2009
Other,Manual,Quarterly,Verify the correctness of the flows relating to insurance policies,3720
Other,Manual,Per event,The effective and correct updating of the applications involved must be verified,2123
Other,Manual,Per event,Verify that the change log is correct,2797
Other,Manual,Per event,The effective and correct updating of the applications involved must be checked,2122
Other,Missing,Missing,Verify the correct updating of the Feasible Operation,3507
Other,Missing,Missing,Verify that the End of Validity Date is correct,2778
Other,Manual,Per event,Check payment proposal,712
Other,Manual,Per event,Verify correctness of data,2531
Other,Manual,Per event,Check the correctness of the data in the system,1263
Other,Manual,Per event,Check the adequacy of the adjustment to the value of the underlying,908
Other,Manual,Monthly,Verify accounting arrangements,2215
Other,Manual,Per event,Verify the correct association of the guarantees,3248
Other,Manual,Per event,Draw up the checklist with the list of interventions carried out,1792
Other,Manual,Quarterly,Check the performing loans referred to non-performing positions,1532
Other,Manual,Monthly,Check for waste,638
Other,Manual,Per event,Verify the non-interest bearing yield of the relationships,3933
Other,Manual,Per event,Prepare the checklist with the list of checks required for each position,2029
Other,Semi-automatic,Decadal,Monitor alignment between systems,1892
Other,Manual,Per event,Validate price and sensitivity,2153
Other,Manual,Per event,Verify correctness of mapping on system,2536
Other,Manual,Per event,Verify that the documentation relating to the pledge is complete and correctly filled in,2824
Other,Semi-automatic,Daily,Monitor position in foreign exchange,1921
Other,Manual,Daily,Check zeroing of interprocedural accounts,1743
Professional,Manual,Monthly,Check the correctness of the data,1259
Professional,Manual,Monthly,Check data consistency,434
Other,Semi-automatic,Monthly,Verify the correctness of the management models by making any changes,3747
Other,Semi-automatic,Monthly,Verify the correctness of the code/product data structures by making any updates,3640
Professional,Manual,Monthly,Verify the correctness and consistency of the reports,3565
Other,Manual,Monthly,Perform consistency checks,2005
Professional,Manual,Monthly,Verify the correctness of the consolidated data,3648
Other,Manual,Quarterly,Verify the correctness and consistency of the reports,3565
Professional,Manual,Monthly,Verify the correctness and consistency of data and reports,3560
Professional,Manual,Monthly,Carry out performance checks,191
Other,Manual,Monthly,Check the correctness of the data,1259
Other,Semi-automatic,Monthly,Check the correspondence between the accounting extractions and the system value,1312
Other,Semi-automatic,Monthly,Verify the stability of the chart of accounts by incorporating any changes,4013
Other,Semi-automatic,Monthly,Check for any corrections,513
Professional,Manual,Quarterly,Check the scope of consolidation,1624
Other,Missing,Missing,Check the completeness of the data and the declaration,1030
Other,Manual,Annualy,Verify correct attribution of Credit Spreads,2416
Other,Manual,Annualy,Verify the correct attribution of the prices of the securities in the perimeter,3253
Other,Missing,Missing,Verify the correct passing of the final test for the qualification of the teacher for initial training / professional updating,3430
Other,Missing,Missing,Check the Form SFTR collection request signaling,875
Operational,Manual,Per event,Verify correct attribution of skills,2418
Other,Manual,Per event,Certify that the upload has taken place by the date set in the migration calendar,261
Other,Manual,Per event,Verify the correct accounting of the payment,3170
Professional,Semi-automatic,Per event,Check the NAV of the fund,882
Professional,Semi-automatic,Per event,"Ascertain the shares held for Other, Hedge, Private Debt funds, Funds with AIV following notifications of changes that occurred during the quarter",94
Professional,Semi-automatic,Per event,Enhance the data of the underlying funds,1793
Professional,Semi-automatic,Per event,Check the correctness of the currency and structural leverage on positions taken in new funds,1257
Professional,Semi-automatic,Quarterly,Verify the adequacy and correctness of data for RRM,2934
Professional,Semi-automatic,Per event,Verify and correct loading offsets,2254
Professional,Semi-automatic,Per event,Check data consistency,434
Professional,Semi-automatic,Per event,Verify the complete and correct entry of the underlying assets,2994
Other,Missing,Missing,Check that the Periodic Checks and emergency drills have been performed and recorded,773
Other,Missing,Missing,"When providing the service, check the completeness and correctness of the data in the registry office",4058
Other,Missing,Missing,Verify the outcome of the report and notify the relevant structures,3943
Other,Missing,Missing,Check the outcome of the resolution on a sample basis,1523
Other,Semi-automatic,Daily,Verify proper alignment of systems,2673
Other,Semi-automatic,Daily,Verify proper alignment between systems,2672
Other,Missing,Missing,Monitor the correct reception of incoming data,1939
Other,Missing,Missing,Check movement regulation,692
Professional,Semi-automatic,Per event,Verify the correspondence between the costing results and the pricing results,3818
Professional,Semi-automatic,Per event,Verify the correct evaluation of the drivers,3361
Professional,Semi-automatic,Per event,Analyze the pricing volumes transmitted by the structures managed outside the Unica Registry,76
Professional,Semi-automatic,Per event,Analyze rates,58
Professional,Automatic,Per event,Evaluate inconsistencies,1809
Other,Missing,Missing,Verify that the transmission of information takes place in compliance with confidentiality principles and measures,2877
Other,Missing,Missing,Verify the correctness of the legitimacy of the request,3744
Operational,Missing,Missing,Verify the consistency of the information sent outwards,3118
Operational,Missing,Missing,Verify the effective updating of the Complex Accidents and Critical Events Register,3866
Other,Semi-automatic,Monthly,Check the correctness of the prepared flows.,1292
Other,Manual,Per event,Verify the correct update of the parameters,3503
Other,Semi-automatic,Per event,Verify the correct reception and application of the rectification flows,3456
Other,Manual,Monthly,Check 12-month and lifetime expected loss trend and detect anomalous deviations,275
Other,Manual,Monthly,Check the data entered in the historical DB,1350
Other,Manual,Monthly,Check exposure data,485
Other,Manual,Monthly,Check the completeness of the upload based on the balances,1057
