actorType,actor,actorID
Organizational unit,FICC Financial Institutions Sales London - IMI CIB Division,900
Organizational unit,Equity Sales,846
Organizational unit,Corporate Solutions London - IMI CIB Division,557
Organizational unit,Intesa Sanpaolo IMI Securities Corporation - Corporate Risk Solutions,1372
Empty group,Local Risk Unit,1483
Empty group, Reporter,5
Empty group,Delegated by the Head of internal reporting systems,731
Organizational unit,Management Control Committee,1519
Empty group,Function in charge of the verification,1024
Empty group,Personal function,1773
Empty group,Operational function,1658
Organizational unit,Chief Audit Officer,356
Person,The supplier,2258
Organizational unit,Concession of Consumer Credit and Third Party Networks,477
Empty group,Reference Manager,1957
Organizational unit,Pensions and Operations Welfare,1753
Empty group,Director/Manager,783
Person,Pension Fund owner of the pension treatment,1751
Organizational unit,SEPA and Commercial Collections,2059
Organizational unit,Executive Administration,867
Person,Pension Fund/Company,1752
Organizational unit,Rates & Currency Sales,1920
Organizational unit,Currency & Commodity Trading,654
Organizational unit,Credit Granting,604
Organizational unit,Network Italy,1613
Organizational unit,Pricing methodologies and tools,1823
Organizational unit,Budget and Management Control,220
Organizational unit,Anticipator and Data Presidium,77
Organizational unit,Analysis and Pricing Management,71
Organizational unit,Global Markets & Investment Banking - IMI CIB Division,1051
Organizational unit,Fideuram Intesa Sanpaolo Private Banking,919
Organizational unit,Fixed Income & Macro Portfolio Management,988
Organizational unit,Resource Management & Market Financing,2016
Organizational unit,DCM & Debt Syndication,678
Organizational unit,ISBD Corporate Finance,1247
Organizational unit,Principal Investments,1827
Organizational unit,Labor Processes,1430
Organizational unit,Digital Transformation & Legal Management,770
Person,Professional,1870
Organizational unit,"Criminal Litigation, Administrative and Corporate Crisis",648
Organizational unit,Civil Litigation,369
Organizational unit,Mortgages,1589
Organizational unit,Private Equity,1836
Organizational unit,Private Debt,1835
Organizational unit,Fideuram Life,947
Organizational unit,Intesa Sanpaolo Vita,1383
Organizational unit,Hedge Funds & Alternative Investments,1198
Person,External Legal Advisor,879
Organizational unit,Securitisation,2089
Organizational unit,Operations - Hub London,1662
Organizational unit,IMI CIB Legal Advisory Department - IMI CIB Division,1230
Organizational unit,Group Finance - DC Legal and Litigation - Group General Counsel,1104
Organizational unit,Treasury - Foreign Branch Hub,2294
Empty group,Recipients of escalation reports,1951
Organizational unit,Hub Hong Kong Branch,1209
Organizational unit,New York branch,1625
Organizational unit,Operational ALM,1651
Organizational unit,London branch,1493
Organizational unit,Portfolio Management,1806
Organizational unit,Government Outsourcing,1089
Organizational unit,Processing Interface and Business Support,1856
Empty group,Entry coordinator in the User Testing environment,837
Organizational unit,Data Infrastructure Solutions,696
Organizational unit,Central Innovation Department,323
Organizational unit,HR Development Models,1132
Organizational unit,Intesa Sanpaolo Innovation Center,1375
Organizational unit,Learning Accounts and Impact Learning,1437
Organizational unit,Operations - Foreign Branch Hub,1660
Organizational unit,Global Markets Desk - Foreign Branch Hub,1053
Organizational unit,ISB concession,1243
Organizational unit,Services Accessories Accounts,2103
Organizational unit,Cards and Assignments,302
Organizational unit,Business Development,230
Organizational unit,Financial Taxation,979
Organizational unit,Protection Products and Welfare Services,1887
Position,Agribusiness Commercial Director,60
Position,Commercial Director of the Third Sector,389
Position,Director of the Business Area,780
Position,Business Commercial Director,226
Position,Director of the Third Sector Area,782
Empty group,Client company,380
Organizational unit,Analytical Accounting,74
Organizational unit,"CIB Equity, Rates & Credit Solutions",268
Organizational unit,Equity Cash Sales,843
Organizational unit,Fideuram Intesa Sanpaolo Private Banking - Consolidated Financial Statements and Disclosures,925
Person,Administrative structure Bank / Company within the perimeter,51
Organizational unit,Digital Markets Structure,765
Organizational unit,Client Service,377
Organizational unit,Portfolio Financing,1805
Organizational unit,Planning & Optimization,1795
Organizational unit,Analysis & Monitoring,69
Organizational unit,Stock Lending,2130
Position,Specialist in Hedging Products and Liquidity Management,2124
Empty group,BdT manager,196
Empty group,front office,2352
Organizational unit,Risk Technology,2053
Organizational unit,Group Banking Book Modeling and Measurement,1095
Organizational unit,Group positioning and transversal initiatives,1126
Organizational unit,MLT Funding & Programs Management,1505
Organizational unit,Checks,355
Person,External service,890
Person,Ministry of Economy and Finance,1579
Organizational unit,OMR and Outsourcing,1640
Empty group,Representative of the Client Company,2010
Empty group,Paying Structures,1744
Organizational unit,Market and Counterparty Risk Monitoring,1558
Organizational unit,Market Risk Policies and Governance,1552
Organizational unit,Financial Markets Analytics & Digital Solutions,973
Organizational unit,Network Assistance and Coordination of BdT Logistics Needs,1609
Position,Network Assistance Specialist - Regional Management,1608
Person,Service,2097
Organizational unit,Funds and Management products,1033
Organizational unit,BdT Investment Services,184
Organizational unit,Transactional Products,2283
Organizational unit,Structured and Intercompany Funding,2166
Empty group,Foreign subsidiary,1014
Organizational unit,MLT Debt Origination & Sustainability Bond Structuring,1504
Organizational unit,Group Banking Book monitoring,1097
Organizational unit,Money Market & Settlements,1584
Organizational unit,Group Finance,1103
Empty group,Facilitated subject,909
Organizational unit,Budget Operating Expenses,217
Empty group,Responsibility Center (CdR),2019
Organizational unit,Treasury - Foreign Branch,2293
Organizational unit,Integrated ALM & Innovative Management,1317
Organizational unit,Credit Portfolio Management,613
Organizational unit,Bank Resource Management,166
Organizational unit,DVA Management & Cross Asset Investments,690
Organizational unit,Fixed Income Portfolio Trading,990
Organizational unit,Equity & Credit Trading,841
Organizational unit,Equity Portfolio Management,845
Organizational unit,EM & Macro Portfolio Management,806
Organizational unit,Market Treasuries,1555
Organizational unit,Derivatives Markets Regulation and Reporting,745
Organizational unit,Middle Office - Foreign Branch Hub,1575
Organizational unit,Capital Markets ISDA Advisory,297
Organizational unit,Treasury Management Control,2296
Organizational unit,ALM reporting,11
Organizational unit,FX Cash Trading,906
Person,Banca Fideuram Front Office,148
Organizational unit,Market Abuse,1547
Person,Competent authority,432
Organizational unit,Compliance Systems,456
Organizational unit,Global Banding & Performance Management,1046
Organizational unit,Remuneration and Incentive Policies and Systems,1993
Organizational unit,Group Management and Consolidated Reporting,1109
Organizational unit,Company Regulations,409
Organizational unit,Legal and Employment Consulting,1458
Position,Business Analyst - International Management,223
Organizational unit,Emerging Markets Banks & ECAs,816
Organizational unit,"Asset Management, Insurance & Government",112
Empty group,SFO-qualified financial advisor with mixed contract,2060
Organizational unit,Learning Accounts,1436
Organizational unit,Coordination of training needs BdT,532
Organizational unit,Private Banking and Fideuram projects,1832
Organizational unit,Data and Regulatory Projects,719
Organizational unit,Credit projects,640
Organizational unit,BdT Projects and Application Monitoring Coordination,189
Organizational unit,Risk Management BdT Central Department,2051
Organizational unit,Data Office Central Management,698
Organizational unit,Global Transaction Banking Department - IMI CIB Division,1070
Organizational unit,Strategies and Marketing Department - IMI CIB Division,2135
Organizational unit,Central Administration and Tax Directorate,310
Organizational unit,Central Management for Internal Validation and Controls,331
Empty group,Project yards,1882
Organizational unit,Internal Model & Capital Adequacy audits,1329
Organizational unit,Internal Validation,1333
Organizational unit,Connection with Cost Management and NPL Monitoring,481
Organizational unit,Budget and Group Management Reporting,219
Organizational unit,Performance Analysis of Parent Company and Corporate Centre,1765
Organizational unit,Organ Structures and Corporate Governance,1682
Empty group,Group companies concerned,1120
Organizational unit,Antitrust Affairs,78
Organizational unit,Consolidated Financial Statements and Supervision,486
Organizational unit,MLT Sector Specialist Consulting,1506
Empty group,Info Providers,1298
Organizational unit,"ICT Contracting, Procurement and Other Group Services",1217
Organizational unit,International Consulting,1338
Empty group,Lender Structure,1460
Organizational unit,Service and UX Design,2099
Organizational unit,Test Factory,2251
Organizational unit,ISBD Digital Business Partner,1248
Organizational unit,Digital Business Partner Governance Areas,761
Empty group,Business Owner,238
Organizational unit,Cybersecurity Group Architecture Cloud Integration and Innovation,665
Organizational unit,Networking & Collaboration,1621
Empty group,Facility manager,911
Empty group,Safety Representative,2069
Organizational unit,Network Hubs,1612
Organizational unit,Credit Controls - IMI CIB Division,600
Empty group,Assistant,119
Position,Corporate Analyst - Foreign Branch Hub,537
Organizational unit,Corporate and Third Sector Loans,567
External Organizational unit,VUB bank,2318
Person,Group banks and companies,1117
Empty group,Trustees,2299
Empty group,European Central Bank,859
Position,GTB Cash specialist,1036
Organizational unit,"RFP, Onboarding and Execution",1916
Organizational unit,GTB Cash Management,1035
Organizational unit,International Corporate Cash Management Sales,1340
Empty group,Organizational Unit contact person,1694
Empty group,Expenditure manager,870
Organizational unit,Purchasing Business and Personal Services,1904
Empty group,Support and Control Body,2212
Organizational unit,Accounting & Administration - Hong Kong,21
Organizational unit,Accounting & Administration - New York,23
Organizational unit,Accounting & Administration - London,22
Organizational unit,Rating Desk Validations,1926
Empty group,Applicant body,84
Empty group,Supplier,2202
Empty group,Internal/external proponent of the Purchasing Department,1335
Organizational unit,Engagement Committee - OtS session,827
Organizational unit,Facilitated Finance,908
Organizational unit,Rating Coordination & Desk Institutions,1923
Organizational unit,Tax litigation,2223
Organizational unit,Dubai Branch,793
Person,Group entity,1125
Organizational unit,Foreign Banks,994
Organizational unit,Factoring improvement,916
Organizational unit,Hub Factoring,1208
Organizational unit,Supply Chains and Business Tools,2209
Organizational unit,Network Management & Development - IMI CIB Division,1617
Organizational unit,Factoring and Leasing,914
Organizational unit,Accounting Advisory,27
Organizational unit,Credit Services,630
Organizational unit,International taxation,1354
Organizational unit,Planning & Controlling,1794
Organizational unit,Group Management Control,1108
Organizational unit,ICT costs,1224
Empty group,Porter's office,1803
Organizational unit,Stress Testing & Enterprise Risk Projection,2136
Organizational unit,Credit Risk Measurement,619
Organizational unit,Supervisory Oversight,2195
Empty group,Advisory Committees,57
Empty group,Divisions and Business Structures,787
Empty group,Competent CFO Area structure,418
Organizational unit,Commodity Trading,399
Organizational unit,Talent Management,2218
Organizational unit,People Management,1758
Organizational unit,People Development & Experience,1757
Empty group,Client structures,381
Organizational unit,Internal communication,1334
Organizational unit,LGD NPL Models and Infrastructure,1426
Empty group,Incident Management functions,1287
Empty group,Functions Impacted,1027
Empty group,Competent Functions,424
Person,Nexi Acquiring Office,1628
Organizational unit,Sales Network Italy,2071
Person,Company within the Service perimeter,415
Empty group,Manager of the BdT Manager/ IMI CIB Manager,1536
Organizational unit,"MLT/Leasing and Factoring specialists in Veneto, Trentino Alto Adige and Friuli Venezia Giulia",1510
Organizational unit,"MLT/Leasing and Factoring specialists Piedmont, Valle d'Aosta, Liguria and Sardinia",1509
Organizational unit,MLT/Leasing and Factoring Centre,1508
Organizational unit,MLT/Leasing and South Factoring specialists,1511
Organizational unit,Audit Financial Activities,128
Organizational unit,Internal Systems Operational Risks and ICAAP,1332
Organizational unit,Foreign Banks Validation,999
Organizational unit,International Bank Audit,1336
Organizational unit,Planning and Control Department - ISB Division,1798
Organizational unit,"Reporting, Sustainability & Methodologies",2007
Organizational unit,Risk Committee,2048
Organizational unit,FI Solutions & Securitized Products London - IMI CIB Division,899
Person,Additional structure not belonging to Div. IMI CIB,39
Organizational unit,Capital Markets and Private Banking Concession,299
Organizational unit,Protection and social security products,1890
Organizational unit,Life and pension products,1463
Organizational unit,Investment Services and Insurance Products,1401
Organizational unit,"Transparency and Desk Pricing Agribusiness, Third Sector and Third Party Networks",2289
Empty group,Applicant,80
Organizational unit,"Identity, Logical-Physical Access Solutions",1281
Empty group,Competent organization,439
Organizational unit,Privacy Consulting,1829
Empty group,PO manager,1731
Organizational unit,Cybersecurity Service Quality Management,672
Empty group,Manager responsible for preparing the corporate accounting documents,1537
Empty group,Contributing structures,500
Empty group,Reviewers,2042
Organizational unit,Correspondence Services,577
Empty group,OU manager,1644
Empty group,Physical Security Function,1788
Empty group,Technical function,2234
Empty group,Cybersecurity function,677
Empty group,ORMD extension,1641
Empty group,ORMR,1643
Empty group,Real estate function,1938
Organizational unit,"Operational, Technology & Information Risk Management",1659
Empty group,Business Continuity Function,227
Empty group,Governance and Process Development Function,1083
Empty group,Organization function,1689
Organizational unit,Foreign Banks ALM & Liquidity Risk Management,995
Organizational unit,"Cyber, IT & Data Quality Risk Management",661
Organizational unit,Process Risk Analysis,1849
Organizational unit,Evaluation and Monitoring of Project Benefits and Expenditures,861
Organizational unit,Corporate,535
Organizational unit,Investigations and Support,1392
Empty group,Group company,1122
Empty group,Risk assessment structure,2056
Organizational unit,Supervisory Regulations,2196
Organizational unit,Uses and Evolutionary Data Service Hub,2317
Empty group,New product activator,1626
Person,Vector,2323
Organizational unit,Trade Finance & Cross Border Transactions,2271
Organizational unit,Pricing optimization,1824
Organizational unit,BdT Personnel Development,186
Organizational unit,Fideuram Intesa Sanpaolo Private Banking - Training,944
Organizational unit,People Management Executives,1760
Organizational unit,Payments Investigation,1748
Empty group,Applicant Structures,82
Organizational unit,IT Governance and Digital Transformation (Area Chapter Governance),1277
Organizational unit,Cybersecurity By Design,662
Empty group,Data Owner,699
Organizational unit,Structuring & Execution,2176
Organizational unit,Origination Support,1704
Organizational unit,Loan Origination Strategies,1471
Organizational unit,Credit Risk Mitigation,620
Organizational unit,Transaction Management - DC Active Credit Portfolio Steering,2278
Organizational unit,Credit Market Strategies,608
Organizational unit,Global ICT,1050
Empty group,Organization function Subsidiary,1690
Empty group,Supervisory body,2201
Organizational unit,Transversal Compliance Controls,2290
Empty group,Company Compliance Officer,404
Empty group,Compliance Officer,452
Organizational unit,Compliance Governance and Controls Head Office Department,449
Empty group,General Secretariat of the Society,1044
Organizational unit,Management of Subsidiary Secretariat Services,1531
Empty group,Subsidiary Company,2180
Empty group,Process owners,1850
Organizational unit,Consulting for Extraordinary Transactions and Controlled Governance,491
Organizational unit,Regulatory Impacts Governance Functions,1975
Organizational unit,Process Intelligence,1847
Organizational unit,"Audit Coordination, Planning and Development Central Management",126
Empty group,Perimeter companies,1769
Organizational unit,Banking Services and Payment Systems,172
Organizational unit,Process Controls Regulatory Compliance,1846
Organizational unit,Credit Services and Pricing Compliance,631
Organizational unit,Purchasing Facility and Logistics,1905
Organizational unit,Infrastructure & Public Sector,1303
Organizational unit,M&A Advisory London - IMI CIB Division,1496
Organizational unit,Energy,824
Organizational unit,Real Estate Advisory - Investment Banking & Structured Finance Department,1932
Organizational unit,"Telecom, Media & Technology",2237
Organizational unit,Consumer & Retail,492
Organizational unit,Financial Institutions,967
Organizational unit,Industrial & Healthcare,1291
Organizational unit,M&A BDT,1497
Person,M&A Advisory London - IMI CIB Division,1496
Organizational unit,Mid-Cap Corporate Finance Department - IMI CIB Division,1574
Empty group,Application Referent,88
Empty group,Deliberative Body,734
Person,Deloitte,737
Organizational unit,Intesa Sanpaolo IMI Securities Corporation - ABCP Conduit,1368
Organizational unit,Transaction Management - Global Markets Solutions & Financing Department,2279
Organizational unit,ABCP Conduit Management London - IMI CIB Division,8
Organizational unit,Central Anti-Financial Crime Directorate,311
Organizational unit,Commercial Development Initiatives,388
Organizational unit,Network Performance and BdT Product Company,1618
Organizational unit,Business Marketing Coordination,235
Organizational unit,Commercial targeting,396
Empty group,Emergency Unit,814
Empty group,NOGE,1593
Empty group,Crisis Committee,649
Empty group,Control functions,501
Organizational unit,Media and Associations Relations,1570
Empty group,Organizational units involved,1700
Organizational unit,Proactive Management of Other Assets,1844
Organizational unit,Platform Government,1801
Empty group,User,2312
Empty group,Responsible manager / CEO and CEO / GM,2026
Organizational unit,Treasury,2292
Organizational unit,Digital Reports & Solutions CIB,767
Empty group,Recipients DCTFG Reporting,1947
Empty group,CIB Reporting Recipients,271
Empty group,Subsidiary company,2182
Organizational unit,HUB clearing,1137
Empty group,Front office desk,1021
Organizational unit,Finance Evaluation Office,955
Person,Engineering,828
Organizational unit,Branch Applications and App Factory,211
Empty group,Subject owner,2177
Empty group,Professor,1872
Organizational unit,Paper wallet,1733
Organizational unit,Equity & Credit Research,839
Empty group,Italian Stock Exchange,1414
Person,External Legal,878
Organizational unit,Regulations and Personal Transactions,1973
Organizational unit,Legal Advisory Extraordinary Finance,1444
Empty group,Issuer,1408
Organizational unit,ECM Marketing Institutional & Retail,801
Empty group,Applicant Structure,81
Organizational unit,Factoring supervision,918
Organizational unit,Credit Checks,599
Organizational unit,Government & Institutional Investors,1085
Organizational unit,Asset Management - Global Banking & Sovereign Institutions Department,110
Organizational unit,Risk Data & Infrastructure,2049
Empty group,Competent CRO Area Management,419
Empty group,Managing Director and CEO,1544
Empty group,Board of Directors,203
Organizational unit,Securitization Banks,2090
Empty group,Competent body,433
Empty group,Rating agency,1927
Empty group,External Counterparty,874
Empty group,Qualified Subject,1911
Empty group,ISP branch,1258
Organizational unit,Public Bodies and Treasuries,1897
Organizational unit,"Cybersecurity Strategic Intelligence, Policy and Culture",673
Empty group,Application or Infrastructural Representative,93
Empty group,Contact Person for the Coordination of Return Plans,496
Empty group,Applicant for Specific Technical Checks,85
Organizational unit,International Long Term Debt Origination & Private Placement,1344
Organizational unit,Interest Rate Swap Trading,1321
Organizational unit,Accounting Processes,28
Organizational unit,ALM & FVA Management,10
Organizational unit,Active Value Management Equity,36
Empty group,Reference manager,1958
Empty group,Local organizational structure,1484
Empty group,Structure contact person,2142
Organizational unit,HR transformation,1134
Empty group,Application Referents,89
Empty group,Management of reference personnel,1532
Empty group,Structure in charge of the management of critical events,2143
Person,CLS Bank,279
Empty group,Appointed Company,96
Person,Rating agency,1927
Empty group,Operating Points,1645
Organizational unit,Management coordination,1525
Organizational unit,Transformation and Strategic Projects,2286
Organizational unit,New Non-Banking Activities,1623
External Organizational unit,Intesa Sanpaolo Vita - Personnel and Organization,1388
Organizational unit,Personnel and Network Assistance - Agribusiness Management,1781
Organizational unit,Personnel and Network Assistance - Impact Management,1783
Organizational unit,Personnel and Network Assistance - Digital Branch Management,1782
Empty group,Responsible,2020
Organizational unit,Central Audit Global & Strategic Risks Department,313
Organizational unit,Model Risk Management,1581
Organizational unit,Coordination of Risk Management Initiatives,531
Organizational unit,Intesa Sanpaolo Bank Luxembourg,1360
Organizational unit,VUB bank,2318
Organizational unit,Intesa Sanpaolo Bank Ireland,1358
Organizational unit,Global Corporate Management - IMI CIB Division,1048
Organizational unit,International Management - IMI CIB Division,1345
Organizational unit,Global Banking & Sovereign Institutions Department - IMI CIB Division,1047
Organizational unit,Corporate and SME Sales Management - ISB Division,566
Organizational unit,Foreign Banks Risk Governance,998
Organizational unit,Credit Risk and Pillar 2 Internal Models Committee,627
Organizational unit,Cloud Center of Excellence,383
Organizational unit,Relations with the Privacy Guarantor and with the interested parties,1979
Organizational unit,Foreign branch,1011
Organizational unit,Intesa Sanpaolo Bank Romania,1362
Organizational unit,Privredna Banka Zagreb,1841
Organizational unit,CIB Bank,260
Organizational unit,Legal Advisory Documentation Emissions,1443
Organizational unit,Emissions Technical Support,818
Organizational unit,Investment Product Compliance Controls,1397
Organizational unit,FX Derivatives Trading,907
Organizational unit,Investment Products Sales,1398
Organizational unit,Credit Portfolio Management - DC Active Credit Portfolio Steering,614
Organizational unit,Coordination of Decentralized Treasuries,522
Organizational unit,Macroeconomic Analysis,1513
Person,"Intesa Sanpaolo Vita - Financial Statement Administration, Planning, Management Control Area",1385
Person,Intesa Sanpaolo Vita - Finance and Actuarial Area,1384
Person,Intesa Sanpaolo Vita - Risk Management,1389
Organizational unit,Cost check,581
Organizational unit,Business Plan and Presidium of Value,240
Empty group,Report recipients,1999
Position,Personnel Manager - Regional Management,1779
Empty group,Forestry Assignee,1015
Empty group,Authorized Subject,139
Empty group,Facility manager or person in charge,912
Empty group,Non-dependent person,1630
Organizational unit,Corporate Taxation and Finance,558
Person,Revenue Agency,2041
Organizational unit,SRF Consortium,2065
Organizational unit,Monitoring and transitions,1586
Organizational unit,Credit Analytics,596
Organizational unit,Data Owner and Credit Tools,704
Person,ICE Europe,1215
Organizational unit,PB & Foreign Networks Sales London - IMI CIB Division,1725
Person,CFTC/Exchanges,258
Organizational unit,Market Hub London - IMI CIB division,1551
Person,External lawyer,886
Organizational unit,Analysis and Oversight Network Italy,70
Empty group,Product Desk,1861
Empty group,Alternative Investments Table and SPAC - Alternative Investments Session,67
Empty group,Accountability Center,19
Organizational unit,Accounts Payable System Management,33
Organizational unit,"Purchases of goods, services and insurance",1902
Organizational unit,Purchasing IT Goods and Focal Points,1906
Person,Client,373
Person,Local purchasing function,1485
Organizational unit,People Tech & Change Management,1764
Organizational unit,Companies and Agent Networks,402
Empty group,The Evaluator,2254
Organizational unit,Structured Deals,2158
Empty group,PMLS extension,1728
Organizational unit,People Development & Change Management - International Subsidiary Banks Division,1756
Organizational unit,Products Hedging and Cash Management,1868
Position,Protection Specialist,1888
Person,Non-core company,1629
Person,Core company,534
Person,Infogroups,1299
Organizational unit,Administration and Operations HR,42
Organizational unit,Anti-Fraud Management,76
Empty group,Branch manager,213
Organizational unit,Concessionaire Bank,478
Empty group,Corporate Secretariat of the Group Company,554
Empty group,Participation manager,1737
Empty group,Compliance Officer of Group companies,455
Empty group,Structure Head of participatory investment operation,2137
Empty group,Competent credit structure,434
Organizational unit,Penalties and Operational Irregularities,1750
Empty group,Requesting Organizational Unit,2012
Organizational unit,CIB MLT/ Leasing and Factoring specialists,270
Position,Credit Officer Network Italy,611
Organizational unit,Digital Business Partner Business Areas,760
Organizational unit,Demand and Investment Monitoring,739
Organizational unit,"Demand, Capital Budget and Accounts Payable",740
Organizational unit,"Demand, Investment Monitoring & Business Continuity",741
Organizational unit,Demand & Investment Management,738
Organizational unit,Transformation Center,2284
Organizational unit,Central Purchasing Department,334
Organizational unit,Central Strategic Support Department,339
Empty group,Powered manager,1811
Organizational unit,Capital Budget and Investment Monitoring,294
Empty group,Investment Control Room,1396
Organizational unit,Intesa Sanpaolo Bank Albania,1357
Organizational unit,Bank Intesa Beograd,165
Organizational unit,Intesa Sanpaolo Bank (Slovenia),1356
Organizational unit,Alexbank,66
Organizational unit,Bank 5,162
Organizational unit,Intesa Sanpaolo Banka Bosnia and Hercegovina,1363
Organizational unit,Pravex Bank,1812
Organizational unit,Marketing tools,1566
Organizational unit,Performance DR North East and Agribusiness,1766
Organizational unit,Central South DR performance,337
Organizational unit,Commercial Performance Analysis,391
Position,Head of Industry - Global Corporate Management,1162
Position,Financial advisor,980
Organizational unit,International Corporate Trade Finance Sales,1341
Organizational unit,Supervisory Interface,2194
Empty group,Co-Head of the Financial Market Coverage Head Office Department,385
Empty group,Companies that use vehicles,403
Organizational unit,Central Directorate of Communication and Image,320
Organizational unit,Governance Parent Company and Subsidiaries,1077
Person,IMI Bank,1227
Organizational unit,"Corporate Consulting, Corporate Compliance and Parent Company Governance",543
Empty group,Council body,585
External Organizational unit,Intesa Sanpaolo Insurance,1377
Organizational unit,Industry Research,1296
Organizational unit,Data Warehouse & Analytics,717
Organizational unit,Commercial Performance Analysis - IMI CIB Division,392
Organizational unit,Central Directorate of Studies and Research,321
Organizational unit,Governance Systems and Strategic Initiatives Department - ISB Division,1079
Organizational unit,Regulations & Policies Business Impact analysis,1972
Organizational unit,Capital Management & Value Governance,296
Empty group,Customer,655
Organizational unit,Wealth Management & Protection Marketing Coordination,2329
Organizational unit,"Central Directorate for Safety at Work, the Environment and Privacy",317
Organizational unit,Transaction Banking Processes,2277
Organizational unit,Processes for Digital Work,1855
Organizational unit,Governance and Finance Processes,1080
Organizational unit,Credit Processes,615
Organizational unit,Multichannel Commercial Processes,1590
Organizational unit,Corporate and Physical Security,562
Organizational unit,Coordination of Group General Counsel - Legal Operations initiatives,526
Empty group,Customer Relationship Manager,659
Organizational unit,Disclaimers,784
Empty group,FM factories,904
Empty group,AM factories,12
Organizational unit,Middle Office Financial Statements and Tax Models,1576
Position,Innovation Specialist - Regional Directorate,1308
Organizational unit,Controls - Regional Directorate,515
Organizational unit,AML & Operational Risk BdT audits,13
Organizational unit,Prevention and Protection,1817
Organizational unit,Credit Sales,629
Organizational unit,Global Markets Desk - Foreign Branch,1052
Organizational unit,CIB Cross Applications,267
Organizational unit,Industry - Global Corporate Management,1295
Organizational unit,Foreign Branch Hub,1003
Organizational unit,Data Service Hub,712
Organizational unit,credit risk models,2344
Empty group,Project Director,1876
Empty group,Date user,722
Empty group,Holder,1204
Empty group,Operational contact person,1657
Person,External professional,887
Person,Delegated Body,730
Organizational unit,Purchasing Operational Support,1908
Person,Company Legal Function,407
Empty group,Technical body,2233
Person,Default Management Group,728
Person,Central Counterparty Clearing House - CCP,314
Empty group,Head of Capital Markets,1145
Empty group,Group banks,1116
Empty group,Critical Event Readiness Team (CERT),652
Empty group,Competent functions,438
Organizational unit,External Communication International Subsidiary Banks,872
Organizational unit,Head Office Departments and Staff Units reporting to the Collegial Bodies and/or to the CEO,1139
Empty group,Group banks and companies,1117
Organizational unit,Average CIB and Governance Areas,143
Organizational unit,Media Banca dei Territori and Local Media,1567
Organizational unit,"Media Institutional, Social and Cultural Activities",1568
Organizational unit,Media Wealth Management,1569
Position,ISPB - Private Area Assistant,1267
Empty group,Cathedral,307
Empty group,Romulus,2058
Empty group,Special Purpose Vehicle,2117
Empty group,CP Placement Agent,281
Empty group,ECP dealer,805
External Organizational unit,Fideuram Intesa Sanpaolo Private Banking - ISPB Resource Management and Fideuram Banking Network,935
Person,External resource,889
Organizational unit,Internal Corporate Credit Systems and Management Models,1325
Empty group,Perimeter company,1770
Empty group,Structure of the Company's Financial Statements,2144
Organizational unit,Monitoring and Control Outsourcing,1585
Empty group,Any other owners of the credits subject to securitizations who structured the transaction,79
Empty group,Insurance companies,1315
Organizational unit,Cost of Credit - IMI CIB Division,582
Organizational unit,Credit Cost & Asset Optimization,601
Organizational unit,Performance Management and TdB,1768
Organizational unit,Management Coordination and HR Initiatives,1521
Person,Personnel - Banks/Companies,1774
Organizational unit,Continuous auditing,499
Organizational unit,Real Estate Appraisal Checks,1933
Organizational unit,Foreign Network & Centralized Italian Subsidiaries Risk Management,1007
Empty group,Data Owner / Local Registry Representative,700
Organizational unit,Cybersecurity Project Management,671
Organizational unit,Cyber Audit and Physical Security,660
Empty group,Head of the UOG,1189
Empty group,FO desk,905
Organizational unit,"Business Continuity, Resilience and Crisis Management",228
Empty group,Business Owner Certifier,239
Organizational unit,Capital Markets Structuring,298
Organizational unit,Corporate and Investment Banking Regulatory Compliance Head Office Department,561
Organizational unit,People Management Governance Areas,1761
Empty group,London Local Compliance,1492
Organizational unit,ICT and Security Systems Audit,1222
Empty group,Issuer body,1409
Empty group,Receiving Body,1939
Organizational unit,Entities Treasury,834
Empty group,Foreign Branch HUB / Foreign Branch,1002
Organizational unit,Government Outsourcing and Purchasing Support,1090
Empty group,Process Owner,1848
Empty group,Outsourcing Coordinator,1717
Empty group,Outsourcing contact person,1718
Organizational unit,Corporate Bodies and Corporate Affairs Central Management,541
Organizational unit,Support Process Audit,2210
Position,Data Protection Officer,705
Empty group,Compulsory Evaluation Functions,460
Organizational unit,Group Non-Financial Risks and Controls Coordination Committee,1110
Empty group,Competent HR management,425
Organizational unit,International Mobility & Compensation Support,1346
Empty group,"Governance area, Function and/or Division involved",1084
Organizational unit,Performance Management,1767
Organizational unit,Transactional Assistance and Financing,2282
Empty group,Organizational unit dedicated to Data Ownership,1696
Empty group,Responsible Manager,2022
Organizational unit,Investment Products Structuring,1399
Organizational unit,International Research Network coordination,1350
Organizational unit,Eurizon Capital,851
External Organizational unit,Banca Intesa (Russian Federation),149
Organizational unit,Management Control and Data Protection,1520
Organizational unit,"Conflicts of Interest, Privileged Information and Personal Transactions",480
Organizational unit,Retail Research,2038
Organizational unit,Editorial and Operational Support,811
Organizational unit,Clearing & Data Processing,371
Organizational unit,IMI CIB Legal Advisory Department,1229
Organizational unit,Controls & Operational Risk,513
Organizational unit,Public & Social Infrastructure,1896
Organizational unit,Energy & Industry Specialized Lending,825
Organizational unit,Supervisory Response,2197
Organizational unit,Corporate Audit and Finance Head Office Department,538
Empty group,CEO manager,255
Organizational unit,Risk Assessment and Coordination of Compliance Initiatives,2046
Organizational unit,Specialist Principals,2122
