activityType,activityCategory,activity,activityID
process activity,Professional,Start the upgrade activities,22900
process activity,Operational,Uninstall the software product,24092
process activity,Professional,Start Derogation activities,22697
process activity,Professional,Enter your software product information,10106
process activity,Professional,Manage buyer trust,14284
process activity,Operational,Revoke SDD,21029
process activity,Operational,Send revocation letter to the supplier,21767
process activity,Commercial,Support the commercial network in case of revocation,23585
process activity,Professional,Carry out monitoring and management,3111
process activity,Professional,Manage any revocation,14255
process activity,Commercial,Manage the relationship with the buyer in case of revocation/modification,14683
process activity,Professional,Manage invoice loads in error,14379
process activity,Commercial,Manage relationship with suppliers in case of buyer revocation,14458
process activity,Professional,Manage buyer defaults,14283
process activity,Operational,Carry out the so-called Megarete activity,3818
process activity,Operational,Provide feedback to the data subject,17930
process activity,Professional,Submit CRIF position verification requests submitted by the customer,22952
process activity,Operational,"Examine the request received, if necessary, submit it to the competent central structure",10849
process activity,Operational,Archive the interventions carried out,1922
process activity,Operational,Take the appropriate action,23836
process activity,Operational,"Archive the documentation in case of subscription to ""Inbiz"" in the traditional way",1890
process activity,Operational,Send the pre-contract to the Customer,22218
process activity,Operational,Define the billing model,8660
process activity,Operational,Define the Company parameters and the authentication scheme and choose the Master-Configurator-Audit User,8638
process activity,Operational,Monitor the return of the signed contract,15181
process activity,Operational,Select the signatory Legal Representatives to send the proposal to (Distance Offering),21198
process activity,Commercial,Assign credentials to Users,2149
process activity,Operational,Carry out the customer search in procedure,3499
process activity,Operational,Connect reports,7992
process activity,Operational,Enter / validate approval rules,9589
control activity,Operational,Verify correct entry of approval rules,25192
process activity,Operational,Select the required service and associate one of the basic offers,21195
process activity,Operational,Enter any Affiliates,9635
process activity,Operational,Sign and exchange the contractual documentation with the Customer,22565
process activity,Operational,Print the contractual documentation (Traditional Inbiz),17226
process activity,Operational,Check the correctness/validity of the interventions carried out according to the customer's requests,5599
control activity,Operational,Check the correctness/validity of the interventions carried out according to the customer's requests,5599
process activity,Operational,Receive a request to activate the Customer's account on the Greentrade platform,18460
process activity,Commercial,Define the price,8770
process activity,Commercial,Communicate the price directly to the customer,7358
process activity,Professional,Carry out the preliminary activities for starting operations,3684
process activity,Operational,Activate the customer's account on the Greentrade Platform,884
process activity,Professional,Receive authorization to conclude spot foreign exchange transactions with primary corporate customers,18588
process activity,Commercial,Close operation,6474
process activity,Professional,Carry out checks on the customer and request pricing,2947
process activity,Professional,Send the pre-confirmation to the Client,22217
process activity,Commercial,Finish the operation,11453
process activity,Professional,Perform checks on customer credit lines for customers who settle out of account,15850
process activity,Professional,Communicate the price,7357
process activity,Operational,Send activation and demo preparation emails,21337
process activity,Commercial,Define the price to offer to the customer,8773
process activity,Professional,Inform the post-trading structure,13097
process activity,Professional,Send Confirmation for KID deposit,21215
process activity,Professional,Compile excel file for the opening of the investigation,7538
process activity,Professional,Request the securities census on Bloomberg,20692
process activity,Professional,Communicate reference prices to the Stock Exchange and upload admission documents,6964
process activity,Professional, Receive completeness and admission from Borsa Italiana by the date of issue,132
process activity,Professional,Display prices on an ongoing basis,9301
control activity,Other,Check price consistency,4835
process activity,Professional,Define and communicate listing schedule,8554
process activity,Professional,Complete the investigation through file load Value and its upload on LOL,7657
process activity,Professional,Request trading reference prices,20749
process activity,Professional,Open the Listing investigation via the application,15560
process activity,Operational,Certification of accounting data and discharge of balance sheet benefits,3909
control activity,Other,Application checks of quadratures between systems,1675
process activity,Operational,Carry out regulatory checks on Significance of Risk Transfer (SRT),3212
process activity,Operational,Enforce or reinstate guarantees,9487
control activity,Other,Check the accounting of the movements of the guarantees,5088
control activity,Other,Manual balancing with Front Office,14780
control activity,Other,Check the outcome of the application automatic checks,5941
process activity,Operational,Prepare and send information for supervisory reporting,16266
process activity,Operational,Carry out regulatory checks – Retention Requirement,3213
process activity,Operational,Certify investor reports,3929
process activity,Operational,Perform regulatory checks - implicit support,15944
process activity,Operational,Prepare the reporting of Operations,16999
process activity,Operational,Certify ESMA regulatory reports,3914
control activity,Other,Balancing with investor report,2434
control activity,Other,Application cut-offs,1676
process activity,Operational,Calculation of RWA benefits related to credit risk,2621
process activity,Operational,Fee recognition to guarantors,11084
control activity,Other,Correctness checks,8333
control activity,Other,Quadrature between systems,18308
process activity,Operational,Present the performance of the Operations in CRFG,17102
process activity,Operational,Send reporting to investors,21722
process activity,Operational,Carry out first level monitoring of operations,3041
process activity,Commercial,Deliver a copy of the documentation to the customer,8889
process activity,Operational,Save the suitability simulation,21115
process activity,Operational,Enter the order data in the procedure,9989
control activity,Other,Monitor the operations carried out by the supervisee in financial instruments or investment services,15128
process activity,Operational,Manage any blocks on financial instruments sanctioned for embargo purposes,14193
process activity,Commercial,"If necessary, advise against the operation",12704
process activity,Commercial,Read the transaction back to the customer and confirm it,18371
process activity,Operational,Insert the order in procedure,13243
process activity,Operational,Archive the sales documentation,1942
process activity,Operational,Trace any communications that may have occurred with the customer,23894
process activity,Operational,Manage the securities trading operations requested by the client,14711
process activity,Professional,Confirm the market entry of the transaction to the customer,7922
common process activity,Commercial,Check the MIFID contractual obligations,5065
process activity,Commercial,Create the investment proposal,8443
process activity,Commercial,Have the customer sign all the documentation produced,12159
process activity,Operational,Confirm the trade order,7964
process activity,Operational,Request an OTP code to enter the operation,20084
process activity,Operational,Transmit the data update request,23988
process activity,Professional,Process the data received on an accrual basis and calculate RWA and Economic Capital on a prospective basis,17510
process activity,Professional,Identify new phenomena with regard to Own Funds and AFR,12363
process activity,Professional,Identify the novelty phenomena regarding RWA and Economic Capital,12559
process activity,Professional,Transmit qualitative and quantitative contributions,23966
process activity,Operational,Collect the input data received and feed the RWA and Economic Capital calculation engine,6700
process activity,Professional,Collect the input data received and feed the Own Funds and AFR calculation engine,6699
control activity,Other,Check the completeness of the information set received,5312
process activity,Operational,Prepare and send the work start communication,16327
process activity,Professional,Produce reports for interest rate risk measurements,17640
process activity,Professional,Submit the report for validation,23405
control activity,Other,Validate the reporting for the Group Financial Risks Committee,24766
process activity,Professional,Distribute periodic reports,9316
process activity,Professional,Distribute reporting,9317
process activity,Professional,Send the reports produced for the ISBD perimeter and decentralized for verification,22274
control activity,Other,Validate the reporting intended for ISBD and decentralized banks,24767
process activity,Professional,Communicate transfer data to the Office concerned,7490
process activity,Operational,Update computer database,24151
process activity,Professional,Take care of the administrative management of closure,23722
process activity,Professional,Communicate the employee's need for permanence,7178
process activity,Operational,Send the documentation to the central personnel archive,22039
process activity,Professional,"Perform checks, carry out negotiation and provide opinion",15857
process activity,Operational,Send and file contracts,21348
process activity,Professional,Provide indications for the activation of the guesthouse,18029
process activity,Professional,Manage closure and any disputes with the property,14301
process activity,Professional,Confirm the final closure of the guesthouse,7909
process activity,Operational,Send documents and authorization to stipulate,21486
process activity,Operational,Feed the computer archive with data from the guesthouse,11109
process activity,Professional,Intercept variations for the monthly charge on the slip,13358
process activity,Professional,Send the notification of conclusion of the accommodation assignment process,22185
control activity,Other,Verify and authorize quotes and invoices,24912
process activity,Operational,Process periodic or on-demand reports,17487
process activity,Operational,Generate periodic slip data feed flows,11980
process activity,Professional,Detect deadlines and communicate them to the Office in charge,9064
process activity,Professional,Enter data in the procedure and return registered contracts,9679
control activity,Other,Check the entered data,5766
process activity,Professional,Extract data to support the calculation of the Fringe Benefit,11018
control activity,Other,Verify fringe benefits and submit related data,25393
process activity,Professional,Ascertain ownership consent,2002
control activity,Other,Carry out anti-corruption checks on the counterparty (Due Diligence),2862
process activity,Professional,Carry out any enhanced Due Diligence,2885
process activity,Professional,Examine the completeness of the guesthouse documentation,10815
process activity,Professional,Apply the criteria established by current legislation,1706
process activity,Professional,Communicate verification result,7498
process activity,Professional,Manage relationships with the property and report outcome,14459
process activity,Operational,Take care of administrative obligations extension,23721
process activity,Professional,Carry out an interview and define the general conditions of the transfer,2838
process activity,Professional,"Define the fulfilments for the assigned employees, referring to the new TASI tax",8722
process activity,Professional,Acquire useful information for the definition of the fee,690
control activity,Professional,Verify the adequacy of the fee,25863
process activity,Professional,Collect information for anti-corruption purposes,6626
process activity,Professional,Analyze and validate the requirement,1237
process activity,Professional,Fill in and sign the documents and send them to the competent office,11217
process activity,Professional,Prepare and submit lease and sub-lease agreements,16351
process activity,Operational,Archive the paper file,1926
process activity,Professional,Provide for the drafting and sending of the premises redelivery report,17991
process activity,Professional,Produce data flows for cost reversal to companies,17601
process activity,Operational,Acquire and file the documentation accompanying the badge request,455
control activity,Other,Acquire and file the documentation accompanying the badge request,455
process activity,Operational,Request permanent badges for non-employee personnel,20345
process activity,Operational,Examine the documentation,10820
control activity,Other,Examine the documentation,10820
process activity,Operational,Send the new badge for non-employee personnel,22175
process activity,Operational,Deliver the file with the existing legislation,8958
process activity,Operational,Submit the request for a personal non-employee permanent badge,23416
process activity,Operational,Produce the new badge for non-employee personnel,17693
process activity,Operational,Authorize the request for a non-employee permanent badge,2383
process activity,Operational,Confirm the request,7950
process activity,Operational,Remove the Anomaly,19692
control activity,Other,Verify the correct entry of data into the system,26329
process activity,Professional,Verify that the position is eligible for Automatic Review,25730
control activity,Other,Certify regularity of guarantees and anti-usury obligations,3934
process activity,Operational,Receive the Report of positions subject to Automatic Review,19041
process activity,Operational,Communicate the outcome of the Interlocution with AdE,7289
process activity,Professional,Issue a provisional opinion pending assessment by the AdE,13444
process activity,Professional,Manage the provision for risks and charges approved by the BoD,14677
process activity,Operational,Receive the outcome of the interlocution from the Revenue Agency,19185
process activity,Operational,Represent the disagreement with the AdE to the BoD,19965
process activity,Professional,Share the disagreement with the AdE with the higher hierarchies,22500
process activity,Professional,Prepare the communication procedure with AdE,16735
process activity,Operational,Submit the new reporting file to the Bank of Italy diagnostics.,23373
process activity,Operational,Archive databases,1821
process activity,Operational,Send reporting report,21721
process activity,Operational,Receive and analyze the diagnostic results from the Bank of Italy,18501
process activity,Professional,Send the NPL Base for definitive submission to the Bank of Italy,21849
process activity,Operational,Confirm activity completion and report report,7796
process activity,Operational,Submit the report file to the Bank of Italy diagnostics,23404
process activity,Professional,Extract clusters of justifiable anomalous locations,10995
process activity,Operational,Provide feedback on the settlement of findings highlighted by the Bank of Italy,17918
control activity,Other,Verify the arrangement of the findings found,25885
process activity,Operational,Regenerate NPL reporting,19536
control activity,Other,Verify absence of findings,24863
process activity,Operational,Circulate the results of the analysis carried out on the outcome of the Bank of Italy Diagnostics and distribute supporting reports,6433
process activity,Operational,Receive Form 102 B data,18403
process activity,Operational,Update Form 102S data in case of changes and annually,24119
process activity,Operational,Receive feedback from the CFTC,18768
process activity,Operational,Verify data entered by the customer,25324
process activity,Operational,Request the templates of the 102S form,20712
process activity,Operational,Manage the transmission to the CFTC/Exchange of the reportable position on the movement relating to the account of the day,14739
process activity,Operational,Select and send template relating to Form 102 B,21165
process activity,Operational,Receive request for Form 40 data relating to Intesa Sanpaolo,18963
process activity,Operational,Manage the transmission to CFTC/Exchange of the reportable position on the balance of the position on the account of the day,14738
process activity,Operational,Submit the Form 102S Form to the Commission,23204
process activity,Operational,Receive Form 102 B completed by the customer,18402
control activity,Other,Verify data filled in by customer,25330
process activity,Operational,Contact the structures supporting the compilation,8210
process activity,Operational,Receive Form 40S from customer,18404
process activity,Operational,Provide feedback to CFTC/Exchange,17923
process activity,Operational,Tick the completed Form 102 B on ETD Flow,23883
process activity,Operational,Analyze the feedback received from CFTC/Exchanges on Reportable Position related to the balance of the ETD position on the client's account,1490
process activity,Operational,Send the file to the Front Office Desks,22082
process activity,Operational,Upload the data to the web portal and submit the information to the CFTC/Exchange,24541
process activity,Operational,Create the generators in Murex,8439
process activity,Operational,Receive evidence from the customer that the completed Form (40 - 71) has been completed and sent to the applicant,18752
process activity,Operational,Manage the feedback received,14589
process activity,Operational,Check on the basis of the updated Covered Future Contracts which banking products are included in the LTR and request the census in the systems,4791
process activity,Operational,Send Form 102S to the customer,21220
process activity,Operational,Analyze feedback received from CFTC/Exchanges on Reportable Position related to ETD handling on client's account,1288
process activity,Operational,Start managing the Form 102S,22747
process activity,Operational,Manage requests for changing personal data communicated by the customer or proceed with the verification of Form 102 B (re-submit Form 102 to the Customer in both cases),14478
process activity,Operational,Create the curves in Murex,8434
process activity,Operational,Verify incorrect data and manage any re-submission of the Form to the Customer,25414
process activity,Operational,Manage feedback on the daily sending of the LTR,14359
process activity,Operational,Check for discrepancies,4507
process activity,Operational,Download the Form 102S templates and send them to Sales,9358
process activity,Operational,Backtesting,2415
process activity,Operational,Register the underlying in the system,19614
process activity,Operational,Check with the customer that the Form has been completed (40 - 71),6384
process activity,Operational,Submit the Form 40S CFTC request to the Front Office,23205
process activity,Operational,Enter the data relating to Form 102 B on the CFTC/Exchange Portal,9873
process activity,Operational,Monitor the submission of the 40S form to the CFTC,15207
process activity,Operational,Check error report received from CFTC/Exchanges,4388
process activity,Operational,Inform the customer of the need to fill in the data relating to Form 102 A,13083
process activity,Operational,Set the system parameters to manage the new product,22413
process activity,Operational,Manage customer activation for Large Trader Reporting operations,14321
process activity,Operational,Request the Form 102S template from Regulatory Reporting,20430
process activity,Operational,Check for regulatory updates and report the integrated list of Covered Future Contracts to the affected functions,4558
process activity,Operational,Provide the information,18160
process activity,Operational,Receive procedural warnings relating to exceeding thresholds - Reportable Position on account movements,18927
control activity,Other,Verify the correctness of the Reportable Position relating to the number of ETD operations on the Clients' account,26587
process activity,Operational,Launch reporting on exceeding thresholds - Reportable Position on the balance of the account position,13591
control activity,Other,Verify the correctness of the Reportable Position in relation to the balance of the ETD position on the Clients' account,26586
process activity,Operational,Submit available templates for Form 102 B,23033
process activity,Operational,Receive a request to complete a Form 40S from the Commission,18462
process activity,Operational,Prepare the compilation of Form 40,16742
process activity,Operational,Upload Form 102S data to the system,24432
process activity,Operational,Communicate Trading Number,6769
process activity,Operational,"Receive, check and send the Form 102S filled in by the customer for loading on the systems",19332
process activity,Operational,Confirm the data in the application,7898
process activity,Operational,Submit Form 102 B for system updates,22959
process activity,Operational,Receive a request from the applicant of the Form (40 - 71) for non-receipt of data from the customer,18458
process activity,Operational,Require the customer to complete Form 40S,20796
process activity,Operational,Sign and authenticate form 40,22563
process activity,Operational,Receive alerts for renewal of Form 102 A,18478
process activity,Operational,File Form 40,11127
process activity,Operational,Send request for reminder and reply to Client Service,21753
process activity,Professional,Prepare the documentation for the stipulation,16802
control activity,Other,Verify correct covenant insertion,25181
control activity,Other,Check the adequacy of the collected documentation,5110
process activity,Commercial,Preload the stipulation and calculate the TEG,16144
control activity,Other,Verify the correct calculation of the TEG in the pre-loading phase of the stipulation,26241
process activity,Operational,Enter the 'Syndicated Contract Identifier',9752
control activity,Other,Check for the presence of the 'Syndicated Contract Identifier',4627
process activity,Operational,Intervene on the aspects to be controlled indicated,13365
control activity,Other,Check the TEG calculation screen,5079
process activity,Commercial,Contact the customer for the definition of the contract,8188
process activity,Professional,Finalize Bank Agent documentation,11358
process activity,Professional,Evaluate the management structure of the mandate,10516
process activity,Operational,Notify of the stipulation and send any changes compared to what was previously sent,15337
process activity,Commercial,"Complete, within the accounting closure of the month, the stipulation in the procedure or in time to guarantee any disbursement of funds",7696
control activity,Other,Check the stipulation data uploaded,6231
process activity,Operational,Communicate the outcome of the pre-loading,7312
process activity,Professional,Carry out the simulation with the final data for calculating the TEG and communicate the simulation/verification,3816
process activity,Operational,Perfect Warranties,15747
process activity,Operational,Communicate the certification of the credit resolution,7083
control activity,Other,Verify the certification of the resolution,25928
process activity,Operational,Dissolve the approved priors/subordinates,9307
process activity,Operational,Validate the stipulation detection,24783
process activity,Operational,Confirm filing of documents,7818
process activity,Professional,Negotiate the Bank Agent fees,15268
process activity,Operational,Receive communication of the stipulation date,18641
process activity,Commercial,Obtain the attribution of the final TIT and/or PRICE,15504
process activity,Professional,Define the contractual documentation of the mandate,8678
process activity,Operational,Send a request for detection of the stipulation with relative supporting contractual documentation,21310
process activity,Operational,Notify the successful outcome of the stipulation validation,15484
process activity,Commercial,Manage the disinvestment (partial or total) from the Fund or the expiry of the investment,14560
process activity,Operational,Manage accounting obligations,14164
process activity,Operational,Register the operation in the system,19589
control activity,Other,Validate the operation in the system,24746
control activity,Operational,Verify the consistency of the NAV value of the Fund and register it in the system,26069
control activity,Operational,Check the transaction data entered in the system,6269
process activity,Commercial,Prepare the information note and present the divestment proposal to the dedicated Table,16876
process activity,Operational,Manage the settlement of the operation,14715
process activity,Operational,Communicate the transaction for registration in the participatory investment management system,7457
process activity,Commercial,Prepare the documentation relating to the divestment (partial or total) and forward the request,16807
process activity,Operational,Store documentation in electronic format,22940
process activity,Operational,Check the signing powers and confirm receipt of the contract in the procedure,6183
process activity,Professional,Store documentation in electronic format,22940
process activity,Operational,Engage the Customer Care Department and Financial Institutions Branch to manage the communication of the entitlement classification to the customer,9503
process activity,Operational,Communicate a favorable outcome with a request for acceptance and loss of protection,6773
process activity,Operational,Receive an upgrade request and carry out the up-grade test,18485
process activity,Operational,Print the classification upgrade acceptance letter,17215
process activity,Professional,"Attribute the classification ""on request"" (downgrade)",2269
process activity,Operational,Check the assigned MiFID classification and enter the requested services into the procedure,5157
process activity,Professional,Notify the other party of the assigned classification,15474
process activity,Operational,Verify the signature powers of the signatory subject,27233
process activity,Operational,Send the communication of the classification assigned to the customer and the related contract,21925
process activity,Operational,Check the classification data in the procedure and insert the requested services in the procedure,5230
process activity,Operational,Receive communication from the customer,18626
process activity,Professional,"Send the client the contract for the provision of investment services as a professional or retail client, the letter of acceptance of the request for change of classification (Downgrade) and activate the SUSPENSIVE",21912
process activity,Operational,Evaluate the outcome of the upgrade test,10592
process activity,Professional,Evaluate the downgrade request or the need to manage an upgrade,10443
process activity,Professional, Submit additional documentation to complete client MiFID onboarding,160
process activity,Professional,"Attribute the classification ""on request"" (up-grade)",2270
process activity,Operational,Gather FATCA and QIA supplemental documentation,11871
process activity,Operational,Submit documentation and request data entry authorization,23070
process activity,Operational,Proceed to open the report,17297
process activity,Operational,Order the acquisition of self-certification and supplementary documentation,15614
process activity,Operational,Enter the report opening request in the procedure,10022
process activity,Operational,Acquire self-certification and supplementary documentation,569
process activity,Operational,Fill out questionnaire,11332
process activity,Operational,Manage paper documentation,14417
process activity,Other,"Examine the proposal, view the proposal notes and carry out a creditworthiness assessment",10843
process activity,Other,Deliberate the practice,8871
control activity,Other,Check the consistency of the proposal data,5393
process activity,Other,Transmit the result to the Manager,24030
process activity,Other,Certify the resolution,3992
process activity,Operational,Address Purchase Request,996
process activity,Operational,Carry out the Authorization procedure,3275
control activity,Other,Verify correct execution of the authorization procedure,25201
process activity,Operational,Ensure spending autonomy,9575
process activity,Operational,Create Purchase Request for centralized purchases,8369
control activity,Other,Verify data entered to create Purchase Request,25328
process activity,Operational,Prepare technical documentation and draw up a Request for Intervention,16622
control activity,Other,Check that the input values have been entered correctly,4990
control activity,Other,Check budget capacity,4209
process activity,Operational,Check Authorization of the request to speak,4070
process activity,Operational,Verify the existence and capacity of a Framework Agreement,26922
process activity,Operational,Create a Purchase Request independently,8374
control activity,Other,Independently verify the nature of the expenses,12930
process activity,Operational,Evaluate Need,10162
process activity,Operational,Identify the type of expense required,12662
process activity,Operational,Make any request for extra budget,13855
process activity,Operational,Notify the appropriate function in advance of the need for a non-delegated centralized purchase,15412
process activity,Professional,Refuse to credit funds,19534
process activity,Professional,Carry out the appropriate checks on the operation,3416
process activity,Operational,Enter the block status in procedure,9802
process activity,Professional,Carry out the interventions in order to reject the blocked message as invalid,3590
process activity,Professional,Authorize the crediting of funds and inform COSIFI,2344
process activity,Professional,Carry out the overall assessment,3661
control activity,Professional,Verify the homogeneity of the assessments,26987
process activity,Professional,Provide feedback throughout the year,17922
process activity,Professional,Carry out the goal sharing interview,3579
process activity,Professional,Attribute the structure objectives and managerial indicators,2275
process activity,Professional,Carry out the feedback interview,3541
process activity,Operational,Survey or update the personal data of the borrower,23617
process activity,Commercial,Check census and/or request preclearance on the borrower,4223
process activity,Operational,Request completion of the borrower census,20214
process activity,Operational,"Evaluate the operation with a ""Medium"" or ""High"" AML risk profile",10569
process activity,Operational,Carry out anti-money laundering due diligence on the borrower,2867
control activity,Other,Verify that anti-money laundering due diligence has been completed within three months of the settlement date,25615
process activity,Commercial,Verify the purpose of the loan,27172
control activity,Other,Verify that the purpose of the loan falls within those envisaged,25735
process activity,Operational,Carry out checks in the field of armaments,2926
control activity,Other,Check for the presence of the Borrower's name in the whitelist,4628
process activity,Operational,Analyze the borrower's KYC package,1398
control activity,Other,Verify the conclusion of the analysis of the KYC Package within three months of the settlement date,26027
process activity,Operational,Fill in the borrower census form,11258
process activity,Operational,Request any intervention by the competent structures in the presence of sanctions and/or negative information and prepare a summary sheet,20137
control activity,Other,Check for the presence of sanctions and/or negative information,4623
process activity,Operational,"Verify, with reference to the borrower, that he is not included in the Sanction Lists issued by international authorities and/or lists internal to the Intesa Sanpaolo Group or the absence of negative information",27327
process activity,Operational,Manage the portfolio position based on the AML opinion received,14660
process activity,Operational,Start completing census of borrower and portfolio,22722
process activity,Operational,Request the borrower's KYC Package from the agent bank,20473
process activity,Professional,Evaluate and manage the proposal that falls within their faculties,10201
process activity,Operational,Perfect line,15755
process activity,Professional,Review and confirm the proposal,20966
process activity,Commercial,Enter the cross selling actions and authorize the proposal,9834
process activity,Operational,Enter data for calculating price corridors and profitability,9669
process activity,Professional,Validate the proposal,24756
process activity,Operational,Finalize the line,11406
process activity,Operational,Formalize the agreed conditions with the counterparty,11591
process activity,Professional,Send items to be subjected to Add-On from sales scenario and related parameters,21596
control activity,Operational,Verify perimeter of positions to be subjected to Add-On from transfer,25473
control activity,Professional,Verify correctness and completeness of what is present in the system,25269
process activity,Operational,Send the elaborations to the competent functions,22066
process activity,Operational,Consolidate system data,8055
process activity,Operational,Update the evaluation of the positions,24328
process activity,Professional,Send update of Add-On parameters from macro-economic scenario,22379
process activity,Operational,Update system add-on parameters,24231
control activity,Operational,Verify correct implementation of Add-On parameters,25209
process activity,Operational,Update position valuation for monthly close,24207
control activity,Operational,Check positions with relevant variations,4829
process activity,Operational,Massively update collection dates,14811
control activity,Professional,Verify correctness of collection dates update,25277
control activity,Operational,Verify correct Add-On application,25137
process activity,Professional,Analyze reports for cost monitoring and report any anomalies,1336
process activity,Operational,"Make available the report of ""non-standard"" requests",13867
process activity,Operational,Provide equipment inventory and mobile phone consumption reports,17887
process activity,Operational,Check the conditions for regularization,5350
process activity,Operational,Prepare the documentation for subsequent filing,16790
process activity,Operational,Check signing powers,4896
process activity,Operational,Enter the operating block and the data for regularization in the procedure,9974
process activity,Operational,Have the new contract signed,12194
process activity,Operational,Confirm data entry,7811
process activity,Operational,Print the letter of connection and the new contract kit,17238
process activity,Operational,Get contracts signed,12012
process activity,Commercial,Define any derogation from the economic conditions,8578
process activity,Commercial,Receives the request for termination of the Welfare Service,19350
process activity,Operational,Change IBAN code if incorrect,4003
process activity,Operational,Proceed to terminate the contract,17314
process activity,Operational,"In the event of suspension of the capital quota, take care of the collection of the interest quotas due for the loans in arrears",12907
process activity,Professional,Verify that the type of loan/loan reflects the requirements and illustrate the characteristics of the transaction,25769
process activity,Professional,Check if the customer is classified as Proactive Management or Impaired,4700
process activity,Professional,"Print the Suspension Request, collect the signatures and acquire the accompanying documentation",17206
process activity,Operational,Reverse any installment payments only partially paid,20949
process activity,Operational,For loans with ISMEA guarantee send communication to the Guarantor Body,11542
process activity,Professional,Start the sleep simulation,22895
process activity,Operational,Search the system for the mortgage/loan and activate the interruption of the suspension,21152
process activity,Professional,Identify and consequently register or update the personal data of the subject requesting the operation,12260
process activity,Professional,Finalize the deed of suspension and any guarantees,11397
process activity,Professional,Print the request and collect signatures,17253
process activity,Operational,Confirm the interruption of the suspension to the system,7920
process activity,Professional,Carry out the preliminary investigation and proposal activities,3718
process activity,Professional,Activate the suspension of installments and have the Declaration of expenses incurred signed,963
process activity,Operational,Receive the liquidation of the Fund and record the event in the relevant application,19156
control activity,Other,Verify that in the relevant procedure it assumes the correct state,25625
process activity,Professional,Proceed with the activation of the counter-guarantee,17358
process activity,Professional,Verify the regular execution of Eurofidi,27194
process activity,Operational,Send the letter of formal notice to comply with the request for enforcement of the first level guarantee and the documentation,22144
process activity,Professional,"Manage, if necessary, the request for supplementary documentation during the enforcement phase",14774
process activity,Professional,Manage the outcome of the enforcement request,14639
process activity,Operational,Acquire the outcome of the guarantee activation request,660
process activity,Operational,Receive a declaration of effectiveness/ineffectiveness of the first level guarantee from Eurofidi,18433
process activity,Professional,"Manage, if necessary, the request for integration of documents received due to ""ineffectiveness of the guarantee procedure"" pursuant to articles 7 and 8 of law 241/90",14773
process activity,Operational,Provide for reporting the negative enforcement,17951
process activity,Operational,"Upload the supplementary file for the ""Residual Life"" templates to APM",24607
process activity,Professional,"Fill in the supplementary file for the ""Residual Life"" templates",11304
process activity,Professional,Extract the first 800 Groups and the first 100 Indirect Exposures relating to the month preceding the reference month,11055
control activity,Other,Check the extracted lists and request validation of the perimeter identified,5794
control activity,Other,Check the list of discovered groups,5870
process activity,Professional,Revise the composition of the Groups for uploading to Tagetik,21027
process activity,Operational,Send communication to the companies in the perimeter,21412
process activity,Operational,Upload the CR codes to the application,24508
control activity,Other,Check that the CR codes have been loaded correctly on the application,4930
control activity,Other,"Check and, if necessary, modify the master data of the groups and components",4180
process activity,Professional,Prepare manual consolidation journal entries,16525
control activity,Other,Verify the correct and complete entry of the manual journal entries,26201
process activity,Professional,Create summary files,8416
control activity,Other,Verify the consistency of the consolidated regulatory data with the management results,26080
process activity,Professional,Produce the situation of groups and individual counterparties,17706
control activity,Other,Analyze consolidated data,1262
control activity,Operational,Check for any incomplete personal data codes,4457
process activity,Operational,Enter the data relating to the consolidated Admissible Capital,9875
process activity,Operational,Submit the list of changes made to Hermione's technical forms,23357
process activity,Operational,Retrieve the value of the Eligible Capital for the quarter,20901
process activity,Professional,Update the connection between Hermione's technical forms and Tagetik's voices,24305
process activity,Operational,Launch the RRM phase aimed at producing and sending flows to the Core Companies,13596
process activity,Professional,Extract the first 300 Groups and the first 100 Indirect Exposures relating to the reference quarter,11054
control activity,Other,Check the extracted lists and possibly integrate the WMT table of the groups in the perimeter,5793
process activity,Operational,Send the map of the economic groups and release the GR package in the support application,22163
process activity,Operational,Load the signal flow into the system,13713
control activity,Other,Check the completeness and consistency of the product flow in Smartreg,5257
process activity,Professional,Investigate the nature of the changes to the engineering shapes and communicate the new fitting,13396
process activity,Operational,Provide the missing CR codes,18170
process activity,Professional,Correct any anomalies and make the data available again,8316
control activity,Other,Check that the requested data has been corrected,5015
process activity,Professional,Enter the required data in the support application,10042
control activity,Other,Verify the correct preparation of the Packages (Core Company),26427
control activity,Other,Check the data entered in the support application,5653
process activity,Professional,Analyze the findings and send the batch of confirmations or corrections,1497
process activity,Professional,Produce the signal flow,17705
process activity,Professional,Certify the data and transmit the relative attestations,3965
control activity,Other,Verify the behavioral consistency of the data present in the packages,25903
control activity,Other,Monitor the publication of packages,15164
control activity,Other,Verify the correctness and completeness of the data in the Packages,26538
process activity,Operational,Send and log the report to the Bank of Italy,21352
control activity,Other,Check the sending result,6164
process activity,Operational,"Upload the codes of the groups subject to state control and sovereigns in the table related to the ""Silos""",24526
process activity,Professional,Update the super NDG codes of the groups subject to monitoring and possible reporting in WMT and extract their composition,24394
process activity,Professional,Send documentation proving the sale of the asset,21469
process activity,Professional,Prepare details of the devaluation of the assets,16419
process activity,Professional,Authorize storage,2324
process activity,Operational,Perform the procedures,15989
control activity,Other,Check the execution of the procedure,5786
process activity,Professional,Sign for replacement storage,22579
process activity,Professional,Authorize or not the request for write-down of fixed assets,2310
process activity,Operational,Carry out the preparatory activities for the accounting of ICT costs,3729
control activity,Other,Check for any anomalies,4428
process activity,Operational,Accounting for values,399
process activity,Operational,Implement the authorized value adjustments,12817
