risk,riskID,riskType,financialDisclosureRisk
Incorrect accounting of the disbursement,1119,Other risks (operational),False
Wrong/incomplete contractual documentation received from the notary,3224,Financial Information Risk (ex 262/2005),True
Incorrect/incomplete entry of the contractual economic conditions in the System,2081,Financial Information Risk (ex 262/2005),True
Incorrect or incomplete inclusion of the necessary clauses in the contractual draft,1771,Financial Information Risk (ex 262/2005),True
Incorrect accounting of the disbursement,1119,Financial Information Risk (ex 262/2005),True
Failed to rerun SPPI Test,423,Financial Information Risk (ex 262/2005),True
Incorrect acquisition of the contractual scheme,1149,Financial Information Risk (ex 262/2005),True
Inconsistency between the economic conditions indicated in the contract and what is present in the System,965,Financial Information Risk (ex 262/2005),True
Errors in the acquisition of the contractual scheme,379,Financial Information Risk (ex 262/2005),True
Incorrect acquisition of guarantees,1147,Financial Information Risk (ex 262/2005),True
Incorrect calculation and/or system allocation of the effective interest rate and the 'catch-up adjustment',1287,Financial Information Risk (ex 262/2005),True
Incorrect dispensing count,1513,Financial Information Risk (ex 262/2005),True
Incorrect data entry to system,1437,Financial Information Risk (ex 262/2005),True
Wrong acquisition of the policy,2941,Financial Information Risk (ex 262/2005),True
Formally incomplete documentation,727,Financial Information Risk (ex 262/2005),True
Incorrect draft contracts,1518,Financial Information Risk (ex 262/2005),True
Incorrect entry of refund amounts,1545,Financial Information Risk (ex 262/2005),True
Risk of making incorrect accounting,2729,Other risks (operational),False
Errors in the acquired documentation and/or errors in entering the related data in the procedure,377,Financial Information Risk (ex 262/2005),True
Incorrect identification of the counterparty and/or its legal representatives,1630,Financial Information Risk (ex 262/2005),True
Errors in the acquired documentation and/or errors in entering the relative data in the procedure,378,Financial Information Risk (ex 262/2005),True
Failure to align the Group's Administrative Status,459,Financial Information Risk (ex 262/2005),True
Wrong final dossier PDF incomplete,3084,Other risks (operational),False
Wrong/incomplete translation,3240,Other risks (operational),False
Failure to balance the Enasarco contributions,467,Other risks (operational),False
Incorrect amounts,1174,Other risks (operational),False
Incorrect MAV,1058,Other risks (operational),False
Failure to balance the FIRR contributions,468,Other risks (operational),False
Failure to detect the accounting entry,550,Other risks (operational),False
Unsuitable documentation,2882,Other risks (operational),False
Wrong or missing entry of the new conditions,3133,Financial Information Risk (ex 262/2005),True
Incorrect or missing entry of the option exercise,1796,Financial Information Risk (ex 262/2005),True
Economic conditions not entered in a timely manner,348,Financial Information Risk (ex 262/2005),True
Document required by the ontology model incomplete or incorrect,334,Other,False
Presence of any inconsistent formal data between the delta stock and the flow items of the items relating to the assets sold,2538,Other risks (operational),False
Non-definitive balance sheets,2386,Other risks (operational),False
 Incorrect individual salary position update,25,Financial Information Risk (ex 262/2005),True
 Non-payment (non-automatic crediting of the system) of serial numbers outside the time frame or non-inclusion in the request files relating to company serial numbers of our competence (so-called forced liquidations),39,Financial Information Risk (ex 262/2005),True
Incorrect/incomplete determination of withholding taxes to be paid,2077,Financial Information Risk (ex 262/2005),True
Wrong loading of the flow in the application,3109,Financial Information Risk (ex 262/2005),True
Mismatch between communicated data and accounting,2265,Financial Information Risk (ex 262/2005),True
Incorrect preparation of payment instructions,1850,Financial Information Risk (ex 262/2005),True
Failure to charge all proxies in progress,485,Financial Information Risk (ex 262/2005),True
 Incorrect/incomplete determination of withholding taxes to be paid,35,Financial Information Risk (ex 262/2005),True
Incomplete and incorrect documentation,785,Financial Information Risk (ex 262/2005),True
Wrong certification,3000,Financial Information Risk (ex 262/2005),True
Incorrect or incomplete downloads,1764,Financial Information Risk (ex 262/2005),True
Incorrect reporting flows,1915,Financial Information Risk (ex 262/2005),True
Incorrect accounting of losses/profits from disposal,1103,Financial Information Risk (ex 262/2005),True
Migration account squaring,2228,Financial Information Risk (ex 262/2005),True
Incorrect accounting of the use of funds,1138,Financial Information Risk (ex 262/2005),True
WRONG SEND OR LOSS OF DOCUMENTS,2909,Financial Information Risk (ex 262/2005),True
Incorrect feeding of procedures,1598,Financial Information Risk (ex 262/2005),True
Wrong cancellation of the mortgage.,2992,Financial Information Risk (ex 262/2005),True
"Incorrect certification, Migration account squaring",1342,Financial Information Risk (ex 262/2005),True
Receiving an incorrect transfer amount or currency,2639,Financial Information Risk (ex 262/2005),True
Incorrect imputation of the rectification,1639,Financial Information Risk (ex 262/2005),True
Incorrect setting of the Pilot flow,1937,Financial Information Risk (ex 262/2005),True
Incorrect accounting data and dubious results,1087,Financial Information Risk (ex 262/2005),True
Wrong VAR measurement calculation,2933,Other,False
Incorrect power supply or incomplete group map,1842,Other,False
Incorrect or incomplete input of the structural exchange risk and interest rate risk positions,1772,Other,False
Incorrect or incomplete reporting,1778,Other,False
Performance inconsistency of VaR metrics,2465,Other,False
Streams not received correctly,2801,Other,False
Miscellaneous or missing game opening,2252,Financial Information Risk (ex 262/2005),True
Wrong reclassification of balance sheet data,3167,Other risks (operational),False
Incorrect entry of personal data,1544,Other risks (operational),False
Mismatch between tax results and accounting balances,2273,Financial Information Risk (ex 262/2005),True
Incorrect payment to the Treasury compared to the instructions given,1826,Financial Information Risk (ex 262/2005),True
Incorrect / incomplete compilation of the facsimile of part GN and part RZ,1042,Financial Information Risk (ex 262/2005),True
Incorrect / incomplete communication of the results to the structures concerned,1040,Financial Information Risk (ex 262/2005),True
Incorrect definition of the taxable IRES and IRAP,1483,Financial Information Risk (ex 262/2005),True
Incorrect updating of worksheets (so-called attachments) and determination of variations,2019,Financial Information Risk (ex 262/2005),True
Wrong calculation of the 2nd down payment,2984,Financial Information Risk (ex 262/2005),True
Incorrect / delayed / omitted return of the declaration,1034,Financial Information Risk (ex 262/2005),True
Incorrect drafting of the UNICO SC declaration and of the IRAP declaration,1520,Financial Information Risk (ex 262/2005),True
Incorrect / incomplete communication of the results,1039,Financial Information Risk (ex 262/2005),True
Inconsistent compilation of the attachment with respect to the payments made,988,Financial Information Risk (ex 262/2005),True
Failure / incomplete receipt of the requested information,426,Financial Information Risk (ex 262/2005),True
Incorrect payment compared to what was calculated,1817,Financial Information Risk (ex 262/2005),True
Possible incorrect entry of data in the procedure,2499,Financial Information Risk (ex 262/2005),True
Wrong entry of data in the procedure,3068,Financial Information Risk (ex 262/2005),True
Incorrect identification of the Deliberating Body,1629,Financial Information Risk (ex 262/2005),True
Incorrect registrations for the purposes of mandatory reporting,1908,Other risks (operational),False
Incorrect execution of the endorsement authentication operation,1583,Other risks (operational),False
Incorrect execution of the endorsement operation by mandate of the Bank,1584,Other risks (operational),False
Failure to monitor suspended accounts,607,Financial Information Risk (ex 262/2005),True
Incorrect power supply to the risk calculation engine,1845,Financial Information Risk (ex 262/2005),True
Inconsistent imported data,1005,Financial Information Risk (ex 262/2005),True
Discrepancy between the pre-loaded resolution and the actual resolution,329,Financial Information Risk (ex 262/2005),True
Possible Incorrect terms of the operation,2483,Financial Information Risk (ex 262/2005),True
Non-compliant KIDs,2374,Other risks (operational),False
Wrong volume consolidation,3208,Other risks (operational),False
Incorrect valorisation of meters,2031,Other risks (operational),False
Inconsistent data and/or invalid technical characteristics,994,Other risks (operational),False
Processing not completed correctly,2613,Other risks (operational),False
Incorrect and/or incomplete data,1198,Other risks (operational),False
Incorrect or incomplete catalogue,1739,Other risks (operational),False
Incorrect upload,2020,Other risks (operational),False
Incomplete data,841,Other risks (operational),False
Incorrect proposal preparation,1874,Financial Information Risk (ex 262/2005),True
Incorrect operation entry,1726,Financial Information Risk (ex 262/2005),True
Risk of error in the calculation of the capital requirement with the TSA and BIA methods,2692,Financial Information Risk (ex 262/2005),True
Risk of error in the calculation of economic capital for reputational risks,2690,Financial Information Risk (ex 262/2005),True
Risk of error in the calculation of the capital requirement with the AMA method,2691,Financial Information Risk (ex 262/2005),True
Incorrect data loading,1453,Other risks (operational),False
Incomplete or invalid contract,900,Financial Information Risk (ex 262/2005),True
Incorrect file upload or data entry,1603,Other risks (operational),False
Incorrect or incomplete execution of the examination and evaluation phase of the investigation,1766,Financial Information Risk (ex 262/2005),True
Incorrect assessment and entry of data relating to creditworthiness in the procedure (Law 262/05),1250,Financial Information Risk (ex 262/2005),True
Admissibility Opinion for IMI Corporate & Investment Banking Division customers not included,91,Financial Information Risk (ex 262/2005),True
Incorrect assessment and inclusion of creditworthiness in the procedure (Law 262/05),1252,Financial Information Risk (ex 262/2005),True
Incorrect processing,1862,Other risks (operational),False
Data errors,266,Other risks (operational),False
Wrong phases,3149,Other risks (operational),False
Errors in the signage base,385,Other risks (operational),False
Lack of documentation on occupational health and safety,2165,Other risks (operational),False
Failure to comply with mandatory occupational health and safety training,510,Other risks (operational),False
Non-compliant and/or non-quality training plans,2376,Other risks (operational),False
Presence of rejects in the flow,2580,Financial Information Risk (ex 262/2005),True
Failure to balance the flows produced by the system,471,Financial Information Risk (ex 262/2005),True
Wrong CU,2921,Financial Information Risk (ex 262/2005),True
Errors in the consolidated flow,380,Financial Information Risk (ex 262/2005),True
Incorrect or incomplete Supplier data,1734,Financial Information Risk (ex 262/2005),True
Incorrectly formalized threats,2101,Other risks (operational),False
Failure to identify solutions that resolve the root cause of the Major Incident.,576,Other,False
Failure to investigate and diagnose the causes of the Major Incident,583,Other,False
Location inconsistent with Company values and strategies,2199,Other risks (operational),False
Failure to activate the interventions following the release of the opinion,453,Financial Information Risk (ex 262/2005),True
No practical cloning to be reviewed,2353,Other risks (operational),False
Failure to close the file and/or active repentance,490,Other risks (operational),False
Higher approval level,740,Other risks (operational),False
Incorrect management of the position and related costs,1705,Financial Information Risk (ex 262/2005),True
Incorrect assignment of positions,1259,Financial Information Risk (ex 262/2005),True
Possible cancellation of the operation,2484,Other risks (operational),False
Incorrect cancel operation,1324,Other risks (operational),False
Wrong/inconsistent structuring of the loan in the GIC procedure during the final disbursement phase,3245,Financial Information Risk (ex 262/2005),True
Failure to comply with the time limit for communication of the resolution,533,Other risks (operational),False
Failure to meet the deadline established for signing and disbursement.,601,Other risks (operational),False
Incorrect data communication to the Body,1420,Other risks (operational),False
Wrong/inconsistent structuring of the loan in the GIC procedure,3244,Financial Information Risk (ex 262/2005),True
Wrong/inconsistent structuring of the loan in the CMLT procedure,3243,Financial Information Risk (ex 262/2005),True
Incorrect payment to the Entity of installments of third-party funds,1825,Financial Information Risk (ex 262/2005),True
Failure to meet the deadline established for approving the loan.,598,Other risks (operational),False
Incorrect or incomplete manual integration of information,1774,Other risks (operational),False
Incorrect determination of installments of third-party funds to be paid to the Entity,1490,Financial Information Risk (ex 262/2005),True
Possible incorrect distribution of credit,2498,Financial Information Risk (ex 262/2005),True
Wrong completion,3014,Financial Information Risk (ex 262/2005),True
Failure to enter Syndicated Contract Identifier,554,Legal and non-compliance,False
Incomplete request,921,Financial Information Risk (ex 262/2005),True
Incorrect board integration,1281,Financial Information Risk (ex 262/2005),True
Incorrect attribution,1265,Financial Information Risk (ex 262/2005),True
Incorrect update,2006,Financial Information Risk (ex 262/2005),True
Failure or inconsistent execution of the defined training plan,434,Other risks (operational),False
Incorrect trader requirements,2000,Other,False
Invalid requirements,2128,Other,False
Settlement errors,2773,Financial Information Risk (ex 262/2005),True
Payment error,2461,Financial Information Risk (ex 262/2005),True
Request not correctly managed on the information systems,2675,Legal and non-compliance,False
Incorrectly handled request / Illegal processing and/or disclosure of third party data,2103,Legal and non-compliance,False
Request not properly handled,2676,Legal and non-compliance,False
Correction/integration not carried out,233,Legal and non-compliance,False
Incorrectly handled request / Illegal processing and / or dissemination of third party data,2102,Legal and non-compliance,False
Correct receipt of the confirmation of the delivery instruction settlement and therefore a correct and coherent feed between the sectional accounting system and the regulated movements,231,Financial Information Risk (ex 262/2005),True
Misalignment of findings between Market and procedures,2249,Other risks (operational),False
Risk of squaring,2744,Financial Information Risk (ex 262/2005),True
Incomplete matches,877,Other risks (operational),False
No service deactivation,2358,Other risks (operational),False
Sectional accounting power supply error,2757,Financial Information Risk (ex 262/2005),True
Incorrect acquisition of guarantees,1147,Other risks (operational),False
Incorrect data entered,1423,Other risks (operational),False
 Incorrect data entry in WL,20,Other risks (operational),False
Timing not respected,2829,Other risks (operational),False
Risk of non-provision of payments,2742,Financial Information Risk (ex 262/2005),True
No data extraction,2339,Financial Information Risk (ex 262/2005),True
Incomplete and/or incorrect report data,821,Financial Information Risk (ex 262/2005),True
Failure to send communication,661,Financial Information Risk (ex 262/2005),True
Incorrect invoice data,1660,Other risks (operational),False
Incomplete and/or incorrect calculation results,801,Financial Information Risk (ex 262/2005),True
Incomplete and/or incorrect calculation results,801,Other,False
Incorrect data consolidation,1421,Financial Information Risk (ex 262/2005),True
Incorrect data received,1459,Financial Information Risk (ex 262/2005),True
Limits not updated correctly,2188,Other risks (operational),False
Operating limits not respected,2420,Other risks (operational),False
Incorrect or incomplete loading of the supporting tables,1773,Financial Information Risk (ex 262/2005),True
Incorrect acquisition of credit risk data,1146,Financial Information Risk (ex 262/2005),True
Incorrect entry and incompleteness of accounting data,1527,Financial Information Risk (ex 262/2005),True
Inconsistency with actual data,975,Financial Information Risk (ex 262/2005),True
Unconfirmed order,2860,Other risks (operational),False
Wrong/incomplete Purchase Order,3220,Other risks (operational),False
Wrong square,3192,Financial Information Risk (ex 262/2005),True
Incorrect data download between procedures,1422,Financial Information Risk (ex 262/2005),True
Incorrect accounting of the Generic Reserve,1113,Financial Information Risk (ex 262/2005),True
Misalignment between general accounting and the financial statements application,2238,Financial Information Risk (ex 262/2005),True
Incorrect determination of the Generic Reserve,1494,Financial Information Risk (ex 262/2005),True
Presence of misalignments between calculation and accounting of the generic reserve,2564,Financial Information Risk (ex 262/2005),True
Incorrect determination of the generic reserve with respect to the expected loss,1502,Financial Information Risk (ex 262/2005),True
Incorrect determination of the generic reserve with respect to hedge accounting hedges,1501,Financial Information Risk (ex 262/2005),True
Incorrect determination of the Generic Reserve for operating credits,1496,Financial Information Risk (ex 262/2005),True
Incorrect determination of the Generic Reserve for ISP,1495,Financial Information Risk (ex 262/2005),True
Wrong discharge of warranty,3054,Financial Information Risk (ex 262/2005),True
Inconsistent form data,1003,Other risks (operational),False
"Accompanying document absent, inaccurate or incomplete",70,Other risks (operational),False
Absence of privacy consent C6 - Consent to the processing of particular data,62,Other risks (operational),False
Performance data inconsistency,2464,Financial Information Risk (ex 262/2005),True
Incomplete and/or incorrect data upload,811,Financial Information Risk (ex 262/2005),True
Incomplete and/or incorrect processing,820,Financial Information Risk (ex 262/2005),True
Incorrect and/or inconsistent data,1229,Financial Information Risk (ex 262/2005),True
Incorrect accounting entry,1089,Financial Information Risk (ex 262/2005),True
Privileges not pertaining to the performance of the new job maintained,2607,Other risks (operational),False
Administrative privilege conferred improperly and without assuming the related responsibilities (failure to read the letter of authorization for processing),90,Other risks (operational),False
Incorrect RWA calculation,1068,Financial Information Risk (ex 262/2005),True
Form 770 incorrect or incomplete,722,Financial Information Risk (ex 262/2005),True
Incorrect totals,1999,Financial Information Risk (ex 262/2005),True
Anomalous interruption of processing,115,Other risks (operational),False
Data inconsistent with available evidence,272,Financial Information Risk (ex 262/2005),True
Incompleteness and incorrectness of the data entered,945,Financial Information Risk (ex 262/2005),True
Incorrect registration of documents,1897,Financial Information Risk (ex 262/2005),True
Possible lack of completeness/correctness of the guarantee,2507,Financial Information Risk (ex 262/2005),True
Wrong preparation of the text/text inconsistent with what was resolved,3157,Financial Information Risk (ex 262/2005),True
Incomplete or incorrect Warranty Certification Form,884,Financial Information Risk (ex 262/2005),True
Presence of operations not corrected correctly,2570,Financial Information Risk (ex 262/2005),True
Presence of correct authorizations,2543,Other risks (operational),False
Presence of open positions,2569,Financial Information Risk (ex 262/2005),True
Data not loaded,281,Other risks (operational),False
Data not provided,284,Other risks (operational),False
Enabling not done,350,Other risks (operational),False
Incorrect census of elementary accounts,1333,Financial Information Risk (ex 262/2005),True
Incorrect/incomplete registration of Prime Notes,2090,Financial Information Risk (ex 262/2005),True
Misalignment between ledger and accounting,2240,Financial Information Risk (ex 262/2005),True
Incorrect automatic loading of operations,1273,Financial Information Risk (ex 262/2005),True
Presence of accounting squaring,2533,Financial Information Risk (ex 262/2005),True
Incorrect integration of supervisory reporting,1655,Financial Information Risk (ex 262/2005),True
Incorrect supervisory flow fittings,1973,Financial Information Risk (ex 262/2005),True
Incorrect supervisory reporting,1974,Financial Information Risk (ex 262/2005),True
Agreement not respected,92,Other risks (operational),False
Agreements not respected,93,Other risks (operational),False
Incorrect voluntary mortgage census,2043,Financial Information Risk (ex 262/2005),True
Incorrect judicial mortgage census,1663,Financial Information Risk (ex 262/2005),True
Incorrect collateral amount to be exchanged,1357,Financial Information Risk (ex 262/2005),True
Incorrect or late movement of collateral,1789,Financial Information Risk (ex 262/2005),True
Wrong or missing collateral movement,3132,Financial Information Risk (ex 262/2005),True
Titles not available on the custodian,2832,Financial Information Risk (ex 262/2005),True
Not timely and effective response to user requests or failure to restore normal service. Failure to register requests and/or relevant information.,2409,Other,False
Incorrect classification of incidents and service requests,1352,Other,False
Incorrect prioritization of incidents,1859,Other,False
Lack of documentation of identified solutions and application of remedial actions,2164,Other,False
Failure to verify that an Incident has been closed satisfactorily and within an agreed/acceptable time frame.,701,Other,False
Inability to carry out trend analyzes due to failure to register requests and/or relevant information or from maintaining a complete history.,753,Other,False
Incomplete or incorrect input of contributed bond prices,891,Financial Information Risk (ex 262/2005),True
Incorrect proposed price,1875,Financial Information Risk (ex 262/2005),True
Feeding from infoprovider incomplete or incorrect,707,Financial Information Risk (ex 262/2005),True
Incomplete or incorrect bond revaluation price feed,885,Financial Information Risk (ex 262/2005),True
Correct power supply and alignment,230,Financial Information Risk (ex 262/2005),True
Deviations found in processing phases,318,Financial Information Risk (ex 262/2005),True
Incorrect reporting preparation,1917,Financial Information Risk (ex 262/2005),True
Incorrect data aggregation,1416,Financial Information Risk (ex 262/2005),True
Incomplete system power supply,927,Financial Information Risk (ex 262/2005),True
Differences in performance on operations were identified,322,Other risks (operational),False
Incorrect loading in procedure,1668,Financial Information Risk (ex 262/2005),True
Incorrect data entry into the system,1434,Other risks (operational),False
Incorrect data update,1465,Other risks (operational),False
Incomplete or incorrect non-linear market data feed,892,Other risks (operational),False
Parameter used not consistent with limits,2457,Other risks (operational),False
Start of operations in foreign market not allowed,2797,Other risks (operational),False
Wrong loading of data,3107,Other risks (operational),False
Incorrect or incomplete transmission of reports,1781,Other risks (operational),False
Incorrect data population,1455,Financial Information Risk (ex 262/2005),True
Mismatch between applications,2263,Financial Information Risk (ex 262/2005),True
Wrong generation of the balance sheet,3089,Financial Information Risk (ex 262/2005),True
Mismatch between balances received and balances on file,2264,Financial Information Risk (ex 262/2005),True
Incorrect/incomplete loading of data during import,2085,Financial Information Risk (ex 262/2005),True
Incomplete transposition of the parameters,931,Financial Information Risk (ex 262/2005),True
Wrong criticality level assigned,3025,Other risks (operational),False
Unauthorized access to cloud systems,2845,Other risks (operational),False
Violation and viewing of content for which you have not been authorized,2908,Other risks (operational),False
Use of utilities that are no longer operational,2891,Other risks (operational),False
Operational disservice and inconvenience to customers and to the operations of colleagues and suppliers,2430,Other risks (operational),False
Incorrect and/or inconsistent data,1229,Other risks (operational),False
Incorrect format,1618,Other risks (operational),False
Incomplete data and/or incorrect data format,843,Other risks (operational),False
Personal data not updated,2471,Other risks (operational),False
Incorrect data upload to the system,1466,Financial Information Risk (ex 262/2005),True
Risk of non-payment,2739,Financial Information Risk (ex 262/2005),True
Balancing between billing and SDD flow,143,Financial Information Risk (ex 262/2005),True
Non-payment to the Fund,2394,Financial Information Risk (ex 262/2005),True
Incorrect documentation,1514,Financial Information Risk (ex 262/2005),True
Incorrect entry of the amount,1552,Financial Information Risk (ex 262/2005),True
Correctness of data in LRS,234,Financial Information Risk (ex 262/2005),True
Inconsistency of the aggregations produced,973,Financial Information Risk (ex 262/2005),True
Presence of discrepancies between Risk data and Matrix reports,2544,Financial Information Risk (ex 262/2005),True
Banking Book database error,144,Other risks (operational),False
Error on data entered in the system,367,Other risks (operational),False
Incomplete and/or incorrect data acquisition and/or inconsistent data,804,Financial Information Risk (ex 262/2005),True
Wrong Identification of Applicant,2925,Other risks (operational),False
Incorrect identification of the Applicant,1628,Other risks (operational),False
Incorrect quantification of the provision for risks,1884,Financial Information Risk (ex 262/2005),True
Incorrect accounting of interest and accruals,1102,Financial Information Risk (ex 262/2005),True
Incorrect determination of interest and accruals,1491,Financial Information Risk (ex 262/2005),True
Incorrect accounting of the registration of adjustment of the liability provision,1133,Financial Information Risk (ex 262/2005),True
Incorrect accounting of the adjustment entry of the active fund,1115,Financial Information Risk (ex 262/2005),True
Incorrect data exposure for investors,1442,Financial Information Risk (ex 262/2005),True
Incorrect statement,1960,Other risks (operational),False
Failure to identify the conditions of the delay,577,Other risks (operational),False
Need to modify or introduce a new credit line,2325,Other risks (operational),False
Failure to send the Issuer the Pricing Policy and the Allocation Policy.,666,Other risks (operational),False
Mandate not compliant with company policies,2216,Other risks (operational),False
Need to change or need to open a new line of credit,2324,Other risks (operational),False
Incorrect compilation of the contractual documentation,1375,Financial Information Risk (ex 262/2005),True
Lack of validity of the contractual documentation produced,2183,Financial Information Risk (ex 262/2005),True
Incorrect loading of data into the system,1678,Financial Information Risk (ex 262/2005),True
"Failure to verify the truthfulness, completeness, adequacy of the data and information",703,Legal and non-compliance,False
Improper data entry,750,Other,False
Block tax positions concerned,153,Other,False
Incorrect statement to be sent to customers,1961,Other,False
Master not correctly reset,2223,Other,False
Incorrect debit transactions,1473,Other,False
Incorrect operating results,1724,Other,False
Wrong execution of the procedure,3080,Other,False
Debits not recorded on current accounts,304,Other,False
Certification to be sent to the wrong customer,174,Other,False
Unworked positions,2887,Other risks (operational),False
Failure to enter necessary information and impossibility of correct census of users,555,Other risks (operational),False
Technical user not updated,2819,Other risks (operational),False
Disabling of a technical user necessary for carrying out processes that are still active,324,Other risks (operational),False
Elimination of a necessary technical user,349,Other risks (operational),False
Failure to enter the necessary information and impossibility to correctly process the request,556,Other risks (operational),False
Census of a potentially risky technical user,168,Other risks (operational),False
Unjustified disclosure of the credentials of a technical user,2868,Other risks (operational),False
Census of a user who does not comply with the safety rules (non-approved derogation),170,Other risks (operational),False
Credential disclosure not approved by Security,245,Other risks (operational),False
Census of a user who does not comply with the safety rules (absence of derogation),169,Other risks (operational),False
Failure to enter Syndicated Contract Identifier,554,Other risks (operational),False
Incorrect or incomplete data entry into the system,1754,Financial Information Risk (ex 262/2005),True
Failure to carry out the required checks,483,Other risks (operational),False
 Presence of variations compared to the previously verified conditions.,42,Financial Information Risk (ex 262/2005),True
"Exceeding the loss limits on the assignment of ""performing"" single name credits",398,Other risks (operational),False
 Incorrect determination of economic loss,22,Financial Information Risk (ex 262/2005),True
Incorrect or incomplete compilation of the document/email,1743,Financial Information Risk (ex 262/2005),True
Wrong payment arrangement,3143,Financial Information Risk (ex 262/2005),True
Incorrect registration of the asset,1900,Financial Information Risk (ex 262/2005),True
Failure to carry out accounting records,478,Financial Information Risk (ex 262/2005),True
No formal documents available,2344,Other risks (operational),False
Production of documentation on time,2614,Other,False
Incomplete or incorrect documentation,887,Other,False
Failure or incomplete implementation of the required adjustments,433,Financial Information Risk (ex 262/2005),True
Incorrect extinction in procedures,1592,Financial Information Risk (ex 262/2005),True
Wrong accounting excerpt,2937,Financial Information Risk (ex 262/2005),True
Absence of master data models relating to movements,61,Other risks (operational),False
Incorrect extracted movements,1593,Other risks (operational),False
Calculation of the fifth wrong,160,Financial Information Risk (ex 262/2005),True
Wrong severance indemnity skills,3189,Financial Information Risk (ex 262/2005),True
Squaring detected,2792,Financial Information Risk (ex 262/2005),True
Loading anomaly,2194,Financial Information Risk (ex 262/2005),True
System upload anomalies,2808,Financial Information Risk (ex 262/2005),True
Incomplete note,881,Financial Information Risk (ex 262/2005),True
Not timely and effective response to user requests or failure to restore normal service. Failure to register requests and/or relevant information,2408,Other,False
Incorrect prioritization of incidents.,1861,Other,False
Failure to verify that an Incident has been closed satisfactorily and within an agreed/acceptable time frame,700,Other,False
Concordance opinion not collected,201,Financial Information Risk (ex 262/2005),True
Non-compliance with the Rules,2371,Other risks (operational),False
Failure to account,443,Financial Information Risk (ex 262/2005),True
Failure to close miscellaneous consignment,487,Financial Information Risk (ex 262/2005),True
Communication not sent,193,Other risks (operational),False
Possible regulatory violation on the subject of AML/CTF contrasting the financing of terrorism,2515,Other risks (operational),False
Cancellation performed incorrectly or incompletely,163,Financial Information Risk (ex 262/2005),True
Misalignment of actual data from reported data,2247,Other risks (operational),False
Operation not validated,2427,Other risks (operational),False
Perimeter deals discarded,2466,Other risks (operational),False
Incorrect data provided upon request by the Bank of Italy,1458,Financial Information Risk (ex 262/2005),True
Deal in perimeter not included in the report,301,Other risks (operational),False
Incorrect entry into the system.,1532,Financial Information Risk (ex 262/2005),True
Mismatches,2280,Financial Information Risk (ex 262/2005),True
Presence of operations not corrected correctly,2570,,False
Presence of correct authorizations,2543,,False
Presence of open positions,2569,,False
Incorrect accounting of differences,1097,Financial Information Risk (ex 262/2005),True
Failure to settle with the counterparty,674,Financial Information Risk (ex 262/2005),True
Incorrect instructions,1653,Financial Information Risk (ex 262/2005),True
Failure to settle claims,673,Financial Information Risk (ex 262/2005),True
"""Lack of consent for privacy purposes""",55,Other risks (operational),False
Wrong transaction accounting,3196,Financial Information Risk (ex 262/2005),True
No forborne license plate,2343,Financial Information Risk (ex 262/2005),True
Incomplete and/or incorrect data consolidation,805,Financial Information Risk (ex 262/2005),True
Inconsistent consolidated data,989,Financial Information Risk (ex 262/2005),True
Report submission incomplete and/or incorrect,2661,Other risks (operational),False
Basic provision of inconsistent signage,145,Financial Information Risk (ex 262/2005),True
Incomplete and/or incorrect data,803,Financial Information Risk (ex 262/2005),True
Uncertified phase,2859,Financial Information Risk (ex 262/2005),True
Presence of rejects or anomalies in the automatic process,2581,Other risks (operational),False
"Partial compilation errors, calculation of results, incorrect interpretation",2459,Other risks (operational),False
Incorrect entry of data into Electronic Loan Practice,1539,Financial Information Risk (ex 262/2005),True
Incorrect execution of the SPPI Test,1579,Financial Information Risk (ex 262/2005),True
Incorrect and failed execution of SPPI test,1181,Financial Information Risk (ex 262/2005),True
Attribution of Deliberative Competence inconsistent with the Credit Regulations,136,Financial Information Risk (ex 262/2005),True
Incorrect eligibility requirements,1523,Financial Information Risk (ex 262/2005),True
Incorrect data extraction,1443,Financial Information Risk (ex 262/2005),True
Incorrect flow arrangement,1613,Financial Information Risk (ex 262/2005),True
Incorrect accounting of commissions,1094,Financial Information Risk (ex 262/2005),True
Failure to complete/partial execution of interventions aimed at increasing the security levels on the Network with consequent unchanged/increased vulnerabilities,502,Other risks (operational),False
Failure to meet the deadline established for signing the loan agreement,603,Other risks (operational),False
Incorrect entry of the resolution communication on the external portal,1563,Other risks (operational),False
Presence of obstacles to ordinary operations with the Bank,2568,Other risks (operational),False
Incorrect entry of the stipulation communication on the external portal,1565,Other risks (operational),False
Prototype not compliant with the request.,2619,Other risks (operational),False
Failure to report criticality detected,650,Financial Information Risk (ex 262/2005),True
Operation carried out in the absence of the enabling requirements,2422,Other risks (operational),False
Incorrect update of the file useful for the declaration and settlement,2013,Financial Information Risk (ex 262/2005),True
Failure to receive the requested information,638,Financial Information Risk (ex 262/2005),True
Incomplete communication,834,Financial Information Risk (ex 262/2005),True
Incorrect/incomplete communication of Financial Regulation instructions,2060,Financial Information Risk (ex 262/2005),True
Incorrect/delayed payment of IRES to the tax authorities with respect to the instructions given,2055,Financial Information Risk (ex 262/2005),True
Incorrect/incomplete payment of IRES by the companies adhering to the tax consolidation compared to the instructions given,2086,Financial Information Risk (ex 262/2005),True
Incomplete communication of the instructions to the Companies with respect to the perimeter of the Companies adhering to the Tax Consolidation,835,Financial Information Risk (ex 262/2005),True
Incomplete supporting documentation provided.,926,Financial Information Risk (ex 262/2005),True
Incorrect definition of the 2nd IRES advance.,1476,Financial Information Risk (ex 262/2005),True
